take_dir,category,onset_forward_s,onset_back_s
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-10_235201,forward,0.07,0.23
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-10_235322,back,-0.36,0.06
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-10_235441,back,12.59,0.07
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-10_235603,back,-0.84,0.06
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-10_235725,forward,0.06,10.74
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-11_000651,back,-2.0,0.07
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-11_001452,forward,0.07,1.27
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-11_002350,back,0.05,0.06
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-11_002534,back,-0.92,0.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-11_002905,back,13.41,0.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-11_003049,back,10.6,0.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-11_003240,back,12.55,0.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-11_003613,forward,0.05,2.61
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-11_004400,back,6.1,0.06
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-11_004754,forward,0.06,1.9
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-11_011205,forward,0.05,5.8
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_191541,back,9.79,0.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_192946,back,11.33,0.04
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_000214,back,8.47,0.04
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_000348,forward,0.05,0.32
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_000921,back,-0.67,0.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_001828,back,-1.2,0.04
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_002716,back,10.23,0.04
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_102706,back,12.4,0.04
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_010221,back,11.93,0.09
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_011559,forward,0.05,3.83
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_012952,back,-2.0,0.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_112422,back,-1.18,0.04
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_020355,back,5.65,0.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_114447,back,10.86,0.06
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_114816,back,11.29,0.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_042552,forward,0.07,7.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_044258,back,-0.1,0.07
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_050210,back,-0.28,0.07
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_051734,forward,0.06,1.58
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_053559,back,-2.0,0.07
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-13_061434,back,8.18,0.07
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_184039,forward,0.05,1.88
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_184155,back,12.25,0.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_184515,back,8.91,0.05
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_184621,forward,0.05,0.59
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-10_232207,back,-0.96,0.02
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-10_234240,forward,0.03,1.63
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-10_234357,back,-0.71,0.03
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-10_234514,forward,0.03,1.07
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_182210,forward,0.05,-2.0
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_182903,forward,0.05,9.62
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_183007,forward,0.03,1.17
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_183200,forward,0.04,-1.34
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_183359,forward,0.03,1.63
/Volumes/UBUNTU 24_0/ESP32_PMW_flights/droneB/2026-09-12_183455,forward,0.03,4.34
