# generated, 2026-08-15T20:59:12+00:00
# source, /private/tmp/claude-501/-Users-meli-Desktop-Kevin-UCB-FlyingRobotsLinLiweiLab/d4e3a70c-feb0-47c5-aa39-e26184537ccd/scratchpad/frames
# radius_mm, 10.2446
# axial, True
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,t_seg_ms,t_est_ms,t_total_ms
0,660814.068599,660814.068599,0.0849,3.8182,231.5610,25.2706,-0.0175,91.9960,0.426894,-0.000130,-0.904302,0.0000,0.0000,0.0000,497.006,378.921,124.595,112.730,91.996,1788.0,0.1270,50.529,2,,3.4506,1.3635,4.8142
1,660814.081318,660814.081318,0.9353,3.7497,235.2305,29.9985,9.8905,101.4023,0.492546,0.085879,-0.866039,65.5526,-5.2825,154.2730,502.017,377.952,122.659,105.898,101.402,1750.0,0.1200,60.687,2,6.579,3.2376,0.4087,3.6463
2,660814.092612,660814.092612,1.7939,3.7213,243.2421,27.8086,18.2071,109.5822,0.443163,0.145766,-0.884511,70.9817,-3.9756,383.2647,506.967,376.923,118.616,104.334,109.582,1672.0,0.1116,56.898,2,4.573,3.0895,0.4188,3.5083
3,660814.103867,660814.103867,2.6984,3.4761,247.3909,30.3043,27.4226,118.2293,0.447893,0.232390,-0.863358,74.9810,-10.0118,426.5649,511.992,375.005,116.635,99.807,118.229,1642.0,0.1167,62.378,2,5.118,3.1598,0.4002,3.5600
4,660814.115100,660814.115100,3.3876,3.1437,247.4145,32.4574,35.9323,126.2409,0.434549,0.314935,-0.843791,71.8322,-17.5537,361.5482,515.966,372.954,116.636,97.302,126.241,1624.0,0.1241,66.949,2,4.922,2.8490,0.3718,3.2208
5,660814.126231,660814.126231,4.1349,2.6836,251.7094,32.6013,45.2767,135.0510,0.379138,0.382817,-0.842440,69.3899,-27.0871,343.7632,519.961,369.964,114.659,95.433,135.051,1574.0,0.1194,67.309,2,5.023,2.8981,0.3794,3.2775
6,660814.136965,660814.136965,4.5768,2.3239,247.7801,34.2412,54.2553,143.6106,0.328702,0.456685,-0.826676,60.5898,-32.3837,263.4462,522.935,368.002,116.498,95.096,143.611,1590.0,0.0897,70.506,2,5.206,3.0186,0.3838,3.4024
7,660814.148516,660814.148516,5.2660,1.8001,247.9712,34.2626,63.2229,152.0682,0.253637,0.502615,-0.826466,56.8303,-38.4658,204.0677,526.983,364.927,116.429,95.135,152.068,1589.0,0.1349,70.292,2,5.044,2.9269,0.3687,3.2956
8,660814.159718,660814.159718,5.4865,1.2729,243.8322,34.0695,71.0293,159.5162,0.182112,0.529771,-0.828359,44.3725,-43.2941,128.4442,528.895,361.963,118.423,97.218,159.516,1644.0,0.1235,69.480,2,4.386,2.9401,0.3832,3.3233
9,660814.170517,660814.170517,5.6149,0.5742,235.7406,36.0320,81.0317,169.2846,0.091699,0.581046,-0.808688,30.5526,-51.1482,24.4795,530.933,357.882,122.512,98.542,169.285,1685.0,0.1403,72.704,2,6.064,2.8671,0.3603,3.2273
10,660814.181831,660814.181831,5.8137,0.1011,232.1936,35.8379,90.1336,178.1572,-0.001365,0.585492,-0.810677,21.2852,-51.4085,-59.2910,532.854,355.013,124.394,100.708,178.157,1715.0,0.1441,71.663,2,5.341,2.9098,0.3943,3.3041
11,660814.192837,660814.192837,5.5982,-0.5366,224.5211,35.6308,98.7542,6.7447,-0.088663,0.575774,-0.812787,5.9541,-53.3995,-153.8173,532.917,350.962,128.644,104.917,6.745,1802.0,0.1028,70.491,2,5.036,3.0111,0.3856,3.3967
12,660814.204252,660814.204252,5.4920,-1.1636,221.6005,33.6260,107.7892,15.7355,-0.169185,0.527292,-0.832670,-4.5964,-54.6332,-220.1376,532.915,346.982,130.324,109.332,15.736,1817.0,0.1185,65.743,2,5.507,2.8108,0.4016,3.2125
13,660814.215429,660814.215429,5.1199,-1.7285,214.2580,35.7793,116.6559,25.0620,-0.262298,0.522524,-0.811275,-17.0464,-53.8806,-293.6359,531.930,342.971,134.776,110.705,25.062,1894.0,0.0830,69.408,2,5.483,2.7953,0.3342,3.1295
14,660814.226349,660814.226349,4.6413,-2.2068,214.5422,33.9555,126.2651,35.0940,-0.330394,0.450351,-0.829472,-29.3891,-50.7057,-319.2319,528.933,340.012,134.564,113.197,35.094,1892.0,0.1044,65.387,2,5.783,3.0155,0.3784,3.3938
15,660814.238341,660814.238341,4.0986,-2.6484,211.4949,33.5930,134.5883,43.9818,-0.388413,0.394036,-0.832989,-39.3988,-44.9574,-331.9579,525.944,336.976,136.479,115.422,43.982,1917.0,0.0998,64.486,2,4.638,3.0699,0.4870,3.5569
16,660814.250144,660814.250144,3.3917,-3.1865,214.7690,31.8036,144.2394,54.3801,-0.427650,0.307984,-0.849860,-49.6295,-43.0563,-296.6230,520.981,333.963,134.373,115.785,54.380,1885.0,0.1347,61.032,2,5.506,3.3450,0.4090,3.7539
17,660814.262158,660814.262158,2.6505,-3.4183,217.4982,30.1544,152.9958,63.7654,-0.447564,0.228086,-0.864675,-57.3102,-34.5576,-235.1933,515.941,332.949,132.672,115.996,63.765,1896.0,0.0871,58.146,2,4.795,2.7761,0.3384,3.1145
18,660814.274036,660814.274036,1.7434,-3.6541,220.8798,29.8698,161.8009,73.1034,-0.473117,0.155545,-0.867160,-66.2212,-26.7699,-157.8706,509.923,331.992,130.635,114.189,73.103,1859.0,0.0963,58.202,2,4.410,3.0194,0.3750,3.3944
19,660814.286301,660814.286301,0.8343,-3.7429,224.3918,27.4865,170.9230,82.6740,-0.455760,0.072813,-0.887119,-72.1016,-17.3610,-73.9356,503.981,332.020,128.582,114.524,82.674,1844.0,0.0986,54.182,2,4.978,3.1506,0.4037,3.5543
20,660814.298483,660814.298483,0.0624,-3.9000,231.3605,25.3957,179.7965,91.8482,-0.428864,0.001523,-0.903368,-71.2192,-12.5680,26.0276,499.004,331.960,124.704,112.747,91.848,1788.0,0.1270,50.701,2,4.465,3.1323,0.3736,3.5059
21,660814.310782,660814.310782,-0.9316,-3.8279,235.0725,25.1870,-171.4243,100.4888,-0.420816,-0.063460,-0.904924,-74.1800,-4.6121,112.5783,492.988,332.924,122.734,110.807,100.489,1767.0,0.0991,51.045,2,3.753,2.7882,0.3352,3.1234
22,660814.321707,660814.321707,-1.8005,-3.6222,243.1419,22.3263,-162.8260,108.9255,-0.362943,-0.112169,-0.925035,-76.7333,4.8939,204.0322,487.959,334.984,118.657,109.311,108.926,1728.0,0.1074,45.914,2,4.486,3.1664,0.3830,3.5495
23,660814.332906,660814.332906,-2.6924,-3.5261,247.3576,22.0429,-153.4004,117.8507,-0.335578,-0.168042,-0.926903,-78.5429,9.5047,275.8109,482.968,336.006,116.639,107.462,117.851,1697.0,0.1168,45.870,2,3.567,2.8070,0.3332,3.1402
24,660814.343866,660814.343866,-3.3790,-3.0436,247.7733,21.6820,-143.7488,126.7595,-0.297941,-0.218468,-0.929249,-74.6267,21.1888,311.4987,479.004,338.894,116.452,107.464,126.759,1679.0,0.1220,45.387,2,3.608,3.0445,0.3792,3.4236
25,660814.355407,660814.355407,-4.1196,-2.7206,251.9863,18.2674,-134.7844,134.9825,-0.220809,-0.222477,-0.949604,-69.8892,27.8041,338.9527,475.007,340.992,114.514,108.063,134.983,1698.0,0.0800,38.676,2,4.578,3.2507,0.3771,3.6278
26,660814.367902,660814.367902,-4.5897,-2.3560,247.5642,21.8085,-126.0270,143.0131,-0.218507,-0.300451,-0.928431,-56.9639,30.8213,311.8757,471.919,342.974,116.581,107.413,143.013,1682.0,0.1049,45.690,2,4.633,2.6921,0.3343,3.0264
27,660814.378577,660814.378577,-5.2489,-1.8255,247.7614,18.4002,-116.8379,151.0582,-0.142507,-0.281653,-0.948875,-53.9574,37.1811,277.5901,468.029,345.971,116.504,109.894,151.058,1712.0,0.1070,38.628,2,4.637,3.0057,0.3583,3.3640
28,660814.390497,660814.390497,-5.4843,-1.2935,243.1098,19.1957,-107.2186,159.9563,-0.097330,-0.314060,-0.944401,-41.7591,42.0392,209.7860,465.997,348.951,118.754,111.595,159.956,1750.0,0.1019,39.737,2,3.196,2.7421,0.3417,3.0838
29,660814.401119,660814.401119,-5.6143,-0.5826,235.2310,19.4535,-97.8023,168.6972,-0.045212,-0.329958,-0.942912,-29.2158,50.7003,107.3361,464.037,353.045,122.750,115.378,168.697,1788.0,0.1295,39.577,2,3.124,2.9768,0.4173,3.3941
30,660814.412573,660814.412573,-5.8546,-0.0984,231.7191,18.9468,-89.0723,176.7798,0.005257,-0.324647,-0.945821,-21.8260,51.4998,11.6314,461.938,355.948,124.620,117.714,176.780,1835.0,0.1068,37.933,2,2.913,3.0438,0.7432,3.7870
31,660814.424198,660814.424198,-5.6337,0.5217,224.2797,19.6379,-80.9957,4.8838,0.052599,-0.331933,-0.941835,-6.2796,52.3785,-99.0228,462.012,359.895,128.754,121.381,4.884,1899.0,0.1137,38.585,2,2.754,3.0870,0.3661,3.4530
32,660814.435314,660814.435314,-5.5314,1.1803,221.0690,15.7526,-72.0260,12.7723,0.083776,-0.258235,-0.962443,3.9579,54.7271,-183.6821,462.055,363.969,130.610,126.012,12.772,1951.0,0.1160,30.081,2,4.736,3.0307,0.3799,3.4106
33,660814.446303,660814.446303,-5.1196,1.7722,217.4781,16.6666,-63.3568,22.4409,0.128611,-0.256348,-0.957990,17.4827,55.3526,-248.9904,463.998,367.941,132.745,127.745,22.441,1964.0,0.1476,31.285,2,2.584,2.9066,0.3983,3.3049
34,660814.457350,660814.457350,-4.7087,2.1910,214.2918,20.0709,-54.4156,33.0805,0.199698,-0.279096,-0.939269,28.3695,50.5211,-295.0581,465.986,370.941,134.696,127.448,33.080,1983.0,0.0904,37.668,2,4.410,2.7433,0.3716,3.1149
35,660814.469543,660814.469543,-3.9943,2.6099,210.9670,23.0786,-45.0246,43.9662,0.277062,-0.277300,-0.919968,42.6883,43.2523,-324.9829,470.024,373.969,136.796,127.052,43.966,2009.0,0.0951,43.531,2,4.571,2.9721,0.3712,3.3432
36,660814.480773,660814.480773,-3.4570,3.1363,214.2114,20.2183,-37.3436,52.5976,0.274754,-0.209637,-0.938383,49.3194,41.7648,-302.3230,473.981,376.951,134.701,127.456,52.598,1989.0,0.0929,37.869,2,4.021,2.8650,0.4035,3.2685
