# generated, 2026-08-15T22:04:08+00:00
# source, camera:0
# radius_mm, 10.2446
# axial, True
# fps_measured, 120.3796171216232
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,t_seg_ms,t_est_ms,t_total_ms
0,664710.798122,664710.798122,1.1481,3.5333,21.8351,51.5207,103.9549,10.5880,-0.188787,0.759728,-0.622232,0.0000,0.0000,0.0000,625.286,449.682,1427.046,774.389,10.588,519950.0,39.7345,107.994,2,,19.2896,4.8429,24.1325
1,664710.824004,664710.824004,2.0019,3.5172,23.8373,43.3243,110.2124,13.5852,-0.237057,0.643874,-0.727482,32.9606,-0.6200,77.5249,676.278,449.803,1277.335,857.723,13.585,519370.0,36.7081,89.599,2,9.395,5.5124,0.4370,5.9494
2,664710.828594,664710.828594,1.1630,3.5325,21.8861,51.2687,103.8476,10.4444,-0.186706,0.757416,-0.625669,7.1882,-0.1479,0.9467,625.536,449.215,1422.438,777.420,10.444,520093.0,39.8412,107.473,2,9.212,7.7236,0.4654,8.1890
3,664710.836695,664710.836695,1.1624,3.5336,21.8600,51.4170,103.9020,10.5076,-0.187814,0.758808,-0.623648,-5.4112,0.1166,-32.2219,625.937,449.538,1424.896,775.524,10.508,519877.0,40.0294,107.778,2,0.154,8.4191,0.5282,8.9473
4,664710.845088,664710.845088,1.1578,3.5566,21.7978,51.5315,104.2052,10.7905,-0.192133,0.759010,-0.622084,-9.5691,0.8022,-36.0325,627.121,451.547,1430.092,774.885,10.790,519727.0,39.0348,108.082,2,0.263,4.8940,0.3628,5.2569
5,664710.852700,664710.852700,2.0170,3.5133,23.8758,43.0784,110.4148,13.6890,-0.238240,0.640100,-0.730420,10.9638,-0.1016,36.6617,677.121,449.743,1274.624,860.476,13.689,519334.0,36.3891,89.045,2,9.599,4.5717,0.5047,5.0765
6,664710.860559,664710.860559,1.0947,3.4479,21.8784,52.4060,104.4347,11.2172,-0.197515,0.767341,-0.610062,-2.6567,-1.9572,-5.2516,622.460,445.403,1426.266,759.915,11.217,519996.0,41.7851,109.398,2,10.317,4.9547,0.4975,5.4523
7,664710.868867,664710.868867,2.0201,3.4879,23.8983,43.0739,110.7261,13.9564,-0.241693,0.638743,-0.730474,11.9186,-1.5898,42.3701,677.789,448.398,1273.360,861.192,13.956,519364.0,37.2725,88.849,2,10.421,4.7622,0.3889,5.1511
8,664710.876467,664710.876467,1.1547,3.5336,21.8560,51.4695,103.9503,10.5696,-0.188591,0.759204,-0.622931,-1.8373,-0.1737,-11.7228,625.553,449.656,1425.335,774.645,10.570,519701.0,39.9437,107.888,2,9.751,5.0068,0.3502,5.3570
9,664710.884827,664710.884827,2.0251,3.4921,23.9138,43.0718,110.8091,14.0215,-0.242609,0.638367,-0.730499,10.5687,-0.3302,33.5599,678.129,448.758,1272.509,860.678,14.021,519551.0,37.3277,88.844,2,9.784,6.2487,0.5507,6.7994
10,664710.892797,664710.892797,1.0897,3.4627,21.8301,52.3219,104.2985,11.0866,-0.195470,0.766939,-0.611225,-5.5770,-0.9901,-22.0361,622.131,446.139,1429.635,762.349,11.087,520135.0,41.3525,109.313,2,10.419,5.1205,0.3766,5.4970
11,664710.901418,664710.901418,1.9967,3.5000,23.8546,43.4517,110.4527,13.8342,-0.240320,0.644388,-0.725955,7.5356,-0.3038,26.3396,676.405,448.916,1276.620,856.227,13.834,519240.0,36.2623,89.724,2,9.968,5.2910,0.4329,5.7239
12,664710.909948,664710.909948,1.9721,3.5414,23.7396,44.2969,110.9352,14.4431,-0.249538,0.652273,-0.715731,11.9226,1.0194,36.8749,677.817,452.061,1285.579,847.212,14.443,519375.0,37.2638,91.472,2,0.909,5.2921,0.3730,5.6651
