Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.00000000,0.32972198,0.03985717,0.01300089,0.01605274
0.00100000,0.34278390,0.03186132,0.02404859,0.01605274
0.00200000,0.24054689,0.05285806,0.01702933,0.02008118
0.00300000,0.34479812,0.05285806,0.01702933,0.01507614
0.00400000,0.33375042,0.02191229,0.01806696,0.01403851
0.00500000,0.29767754,0.03985717,0.01501511,0.01306192
0.00600000,0.33875546,0.02392651,0.01403851,0.01910459
0.00700000,0.28363903,0.04785302,0.02008118,0.01910459
0.00800000,0.34076968,0.05084384,0.02710044,0.05432295
0.00900000,0.34577471,0.01593066,0.01904355,0.01709037
0.01000000,0.21747490,0.03790399,0.01403851,0.01403851
0.01100000,0.34577471,0.03485214,0.01403851,0.01806696
0.01200000,0.32972198,0.04687643,0.01806696,0.01306192
0.01300000,0.30768761,0.05981628,0.01702933,0.01709037
0.01400000,0.33979308,0.01989807,0.01702933,0.02209540
0.01500000,0.26355785,0.03387555,0.02209540,0.01806696
0.01600000,0.33674123,0.03186132,0.01605274,0.01403851
0.01700000,0.33576464,0.03888058,0.01501511,0.01306192
0.01800000,0.26660970,0.05383465,0.01904355,0.01507614
0.01900000,0.33875546,0.04986724,0.01605274,0.01104770
0.02000000,0.30164495,0.02587970,0.01702933,0.01306192
0.02100000,0.34376049,0.03485214,0.02508621,0.02514725
0.02200000,0.34278390,0.02288888,0.01904355,0.01806696
0.02300000,0.24555193,0.05285806,0.01605274,0.01306192
0.02400000,0.35077975,0.05383465,0.01806696,0.02111881
0.02500000,0.34174627,0.01593066,0.01904355,0.01507614
0.02600000,0.27863399,0.03686636,0.01806696,0.01403851
0.02700000,0.34076968,0.02587970,0.01806696,0.01709037
0.02800000,0.28962065,0.05285806,0.01605274,0.01104770
0.02900000,0.33173620,0.05481124,0.02008118,0.01910459
0.03000000,0.34278390,0.01495407,0.01702933,0.02111881
0.03100000,0.22449416,0.03686636,0.01403851,0.01507614
0.03200000,0.33472701,0.03888058,0.01403851,0.01605274
0.03300000,0.32172613,0.04187140,0.01702933,0.01306192
0.03400000,0.30970183,0.05682546,0.01605274,0.02008118
0.03500000,0.33875546,0.03888058,0.01300089,0.02111881
0.03600000,0.27259133,0.02990814,0.01904355,0.01605274
0.03700000,0.34076968,0.03790399,0.01806696,0.01709037
0.03800000,0.33979308,0.03485214,0.01702933,0.01806696
0.03900000,0.25458541,0.05682546,0.01605274,0.01403851
0.04000000,0.34876553,0.04785302,0.02404859,0.01806696
0.04100000,0.31171606,0.03186132,0.01702933,0.01910459
0.04200000,0.32270272,0.03790399,0.01202429,0.01306192
0.04300000,0.34174627,0.02392651,0.02008118,0.01507614
0.04400000,0.24152348,0.05584887,0.03814814,0.01306192
0.04500000,0.34577471,0.05285806,0.01702933,0.01403851
0.04600000,0.33979308,0.01593066,0.01501511,0.01806696
0.04700000,0.27362896,0.03588977,0.01702933,0.01507614
0.04800000,0.34076968,0.02789392,0.01904355,0.01202429
0.04900000,0.30671102,0.04687643,0.01605274,0.01202429
0.05000000,0.33075961,0.05383465,0.02105777,0.01507614
0.05100000,0.34577471,0.01593066,0.01806696,0.01806696
0.05200000,0.23249001,0.03387555,0.01501511,0.01202429
0.05300000,0.34174627,0.03588977,0.01904355,0.01605274
0.05400000,0.33277383,0.03985717,0.01605274,0.01306192
0.05500000,0.29663991,0.05883969,0.01702933,0.01403851
0.05600000,0.34577471,0.04089480,0.01501511,0.01605274
0.05700000,0.28565325,0.03686636,0.01702933,0.01605274
0.05800000,0.33777886,0.03686636,0.01904355,0.02111881
0.05900000,0.33875546,0.02691733,0.01904355,0.01806696
0.06000000,0.23249001,0.05682546,0.01806696,0.02111881
0.06100000,0.34577471,0.04882962,0.01904355,0.02209540
0.06200000,0.32270272,0.03387555,0.01501511,0.01507614
0.06300000,0.31171606,0.03485214,0.01806696,0.02111881
0.06400000,0.34376049,0.09173864,0.02105777,0.07446516
0.06500000,0.25959044,0.05084384,0.02008118,0.01507614
0.06600000,0.33875546,0.05182043,0.01605274,0.01403851
0.06700000,0.33979308,0.01593066,0.02105777,0.01806696
0.06800000,0.25959044,0.03790399,0.03509629,0.01709037
0.06900000,0.33777886,0.03088473,0.01904355,0.01403851
0.07000000,0.30365917,0.04486221,0.01702933,0.01507614
0.07100000,0.32874538,0.05285806,0.01702933,0.01709037
0.07200000,0.34577471,0.01593066,0.01501511,0.01403851
0.07300000,0.24854274,0.03588977,0.01501511,0.01403851
0.07400000,0.34278390,0.03289895,0.02008118,0.01403851
0.07500000,0.33674123,0.03186132,0.01904355,0.01403851
0.07600000,0.28662984,0.05481124,0.01904355,0.01605274
0.07700000,0.33875546,0.04486221,0.01403851,0.01507614
0.07800000,0.29267251,0.03088473,0.01702933,0.01507614
0.07900000,0.33576464,0.03790399,0.01806696,0.01806696
0.08000000,0.34076968,0.02490310,0.01702933,0.01507614
0.08100000,0.22046571,0.05883969,0.01702933,0.01403851
0.08200000,0.34278390,0.05584887,0.01904355,0.02008118
0.08300000,0.32270272,0.02191229,0.01904355,0.02111881
0.08400000,0.31067843,0.04583880,0.01806696,0.02313303
0.08500000,0.34076968,0.02490310,0.01702933,0.01306192
0.08600000,0.26557207,0.05481124,0.02008118,0.01605274
0.08700000,0.34376049,0.05780206,0.01904355,0.01806696
0.08800000,0.35779901,0.01092563,0.01702933,0.01507614
0.08900000,0.25257118,0.03588977,0.01702933,0.01806696
