Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.00000000,0.11130100,0.13467818,0.18781091,0.20801416
0.00100000,0.10928678,0.18805506,0.20236824,0.20850246
0.00200000,0.08523820,0.18506424,0.21994690,0.13699759
0.00300000,0.11630604,0.11822871,0.15115818,0.22312082
0.00400000,0.10577715,0.17508469,0.21240883,0.20950957
0.00500000,0.10779138,0.15512558,0.20841090,0.18433180
0.00600000,0.10980560,0.16312143,0.17627491,0.21506394
0.00700000,0.08923612,0.18356883,0.21442305,0.16367077
0.00800000,0.10928678,0.14017151,0.18478957,0.21607105
0.00900000,0.11581774,0.17108676,0.20740379,0.22211371
0.01000000,0.09125034,0.17160558,0.21442305,0.16016114
0.01100000,0.11581774,0.12869655,0.13406781,0.21555223
0.01200000,0.10226753,0.18607135,0.22345653,0.19339579
0.01300000,0.11230811,0.16611225,0.20538957,0.21152379
0.01400000,0.11331523,0.16110721,0.19684439,0.21555223
0.01500000,0.09024323,0.18308054,0.23502304,0.15512558
0.01600000,0.11331523,0.12121952,0.17374187,0.21353801
0.01700000,0.10831019,0.18655965,0.21695608,0.21253090
0.01800000,0.10077212,0.17859432,0.21494186,0.17426069
0.01900000,0.11279641,0.12320322,0.14813684,0.22260201
0.02000000,0.10077212,0.17358928,0.21393475,0.19895016
0.02100000,0.11029389,0.14566485,0.19684439,0.20447401
0.02200000,0.10879849,0.18106632,0.20236824,0.21103549
0.02300000,0.08120975,0.18857387,0.21793268,0.13800470
0.02400000,0.11783197,0.11822871,0.16370128,0.22312082
0.02500000,0.10779138,0.17459639,0.21543016,0.21808527
0.02600000,0.10879849,0.15912351,0.20990631,0.18280587
0.02700000,0.11380352,0.15762810,0.16772973,0.21454512
0.02800000,0.10480056,0.18555254,0.21643727,0.18482009
0.02900000,0.11279641,0.15512558,0.19434187,0.21353801
0.03000000,0.11731315,0.16760765,0.20187994,0.22159490
0.03100000,0.08423109,0.17310099,0.21042512,0.14505448
0.03200000,0.11682485,0.11072115,0.14914396,0.24829859
0.03300000,0.11181982,0.19006928,0.21442305,0.21506394
0.03400000,0.11029389,0.17059847,0.20889920,0.19895016
0.03500000,0.11380352,0.15265358,0.18280587,0.22211371
0.03600000,0.08975494,0.17108676,0.21695608,0.16821802
0.03700000,0.11130100,0.12671285,0.18079165,0.21405683
0.03800000,0.11081271,0.18457595,0.21292764,0.21353801
0.03900000,0.09225745,0.17957091,0.21543016,0.16367077
0.04000000,0.11532945,0.11673330,0.13257241,0.22412793
0.04100000,0.10577715,0.17160558,0.21442305,0.20648824
0.04200000,0.10980560,0.14813684,0.20538957,0.20096438
0.04300000,0.15543077,0.28583636,0.24002808,0.21506394
0.04400000,0.08322398,0.19104587,0.21695608,0.14554277
0.04500000,0.11581774,0.12720115,0.17023225,0.22211371
0.04600000,0.11181982,0.17758721,0.21292764,0.21655934
0.04700000,0.10177923,0.17310099,0.22196112,0.16971343
0.04800000,0.11331523,0.15564440,0.16168706,0.21756645
0.04900000,0.10528886,0.20252083,0.23651845,0.19794305
0.05000000,0.10928678,0.15564440,0.20639668,0.21204260
0.05100000,0.13287759,0.16510514,0.19785150,0.26743370
0.05200000,0.07620472,0.17310099,0.21793268,0.13296915
0.05300000,0.11230811,0.10174871,0.14462722,0.21152379
0.05400000,0.11029389,0.18457595,0.22849208,0.20096438
0.05500000,0.10779138,0.17358928,0.21695608,0.19086276
0.05600000,0.11380352,0.14117862,0.17575610,0.21958068
0.05700000,0.09173864,0.17258217,0.21594897,0.17325358
0.05800000,0.11581774,0.12820826,0.18127995,0.21353801
0.05900000,0.11081271,0.18256172,0.20587786,0.20950957
0.06000000,0.09225745,0.18207343,0.21945860,0.15359966
0.06100000,0.11331523,0.10824915,0.13107700,0.22159490
0.06200000,0.10379345,0.16910306,0.21845149,0.19995727
0.06300000,0.11230811,0.14764855,0.20389416,0.19541002
0.06400000,0.11130100,0.17709891,0.19083224,0.21958068
0.06500000,0.08923612,0.18955046,0.21695608,0.14957121
0.06600000,0.12182989,0.13367107,0.17825861,0.23569445
0.06700000,0.10980560,0.17560350,0.21341594,0.22009949
0.06800000,0.10077212,0.16162603,0.21192053,0.17273476
0.06900000,0.16043580,0.14465773,0.15970336,0.22159490
0.07000000,0.10177923,0.18805506,0.21594897,0.18131046
0.07100000,0.11279641,0.14914396,0.19736320,0.21808527
0.07200000,0.11380352,0.17011017,0.19986572,0.21756645
0.07300000,0.07721183,0.17560350,0.21793268,0.14001892
0.07400000,0.11230811,0.10773034,0.15668203,0.21103549
0.07500000,0.10428175,0.18506424,0.21643727,0.20398572
0.07600000,0.10980560,0.16910306,0.21042512,0.19037446
0.07700000,0.10879849,0.14166692,0.17075106,0.21707816
0.07800000,0.09576708,0.17258217,0.21594897,0.17474899
0.07900000,0.11331523,0.13217566,0.18378246,0.20950957
0.08000000,0.11130100,0.18906217,0.21192053,0.21304971
0.08100000,0.09024323,0.19504379,0.21543016,0.14856410
0.08200000,0.11432234,0.10724204,0.14160588,0.22815638
0.08300000,0.10629597,0.18555254,0.23352763,0.21808527
0.08400000,0.11331523,0.15564440,0.20740379,0.18936735
0.08500000,0.11130100,0.16110721,0.18228706,0.21405683
0.08600000,0.08822901,0.19205298,0.21695608,0.16016114
0.08700000,0.11731315,0.13666189,0.18478957,0.22513504
0.08800000,0.11230811,0.17560350,0.21442305,0.21958068
0.08900000,0.09326456,0.17358928,0.21594897,0.16064943
