Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.00000000,0.11279641,0.11374248,0.13757744,0.20950957
0.00100000,0.10528886,0.18506424,0.21945860,0.20044557
0.00200000,0.10980560,0.16760765,0.20639668,0.20749535
0.00300000,0.11331523,0.15762810,0.19031343,0.22211371
0.00400000,0.09375286,0.17407758,0.21594897,0.16870632
0.00500000,0.11279641,0.11770989,0.17325358,0.21707816
0.00600000,0.10730308,0.18955046,0.21695608,0.21152379
0.00700000,0.09976501,0.17859432,0.22247993,0.16620380
0.00800000,0.11832026,0.11374248,0.14160588,0.23923460
0.00900000,0.09927671,0.17258217,0.22095401,0.19391461
0.01000000,0.11181982,0.14615314,0.21192053,0.19742424
0.01100000,0.11380352,0.17908261,0.19785150,0.21152379
0.01200000,0.08423109,0.19006928,0.21594897,0.14404736
0.01300000,0.11380352,0.12320322,0.15970336,0.21808527
0.01400000,0.11029389,0.17459639,0.21393475,0.21607105
0.01500000,0.10379345,0.16263314,0.21393475,0.17474899
0.01600000,0.11481063,0.14914396,0.15869625,0.20749535
0.01700000,0.09524827,0.18405713,0.21893979,0.18179876
0.01800000,0.11081271,0.14914396,0.19583728,0.21555223
0.01900000,0.11230811,0.16660054,0.20337535,0.22360912
0.02000000,0.08471938,0.17258217,0.21893979,0.14001892
0.02100000,0.11581774,0.09826960,0.14362011,0.21353801
0.02200000,0.10629597,0.23645741,0.23905148,0.19995727
0.02300000,0.10980560,0.18707846,0.21240883,0.19138157
0.02400000,0.11380352,0.15613269,0.18329417,0.22815638
0.02500000,0.09976501,0.19553209,0.23502304,0.20700705
0.02600000,0.11279641,0.12170782,0.17825861,0.21152379
0.02700000,0.11432234,0.18857387,0.21292764,0.21152379
0.02800000,0.09576708,0.18106632,0.21945860,0.15311136
0.02900000,0.11981567,0.10824915,0.13257241,0.21808527
0.03000000,0.09775079,0.17209387,0.21845149,0.19794305
0.03100000,0.11181982,0.14865566,0.20136113,0.19794305
0.03200000,0.11832026,0.18057802,0.19434187,0.22965178
0.03300000,0.09073153,0.18655965,0.21994690,0.15009003
0.03400000,0.11331523,0.12170782,0.16370128,0.21958068
0.03500000,0.11230811,0.17108676,0.21845149,0.21756645
0.03600000,0.09927671,0.19504379,0.21994690,0.17325358
0.03700000,0.11331523,0.14316233,0.15015107,0.21103549
0.03800000,0.09475997,0.18707846,0.22046571,0.17728202
0.03900000,0.11279641,0.15314188,0.19885861,0.21707816
0.04000000,0.10928678,0.17310099,0.19885861,0.21756645
0.04100000,0.08624531,0.17459639,0.22147282,0.14606159
0.04200000,0.11481063,0.10226753,0.15366070,0.21655934
0.04300000,0.10980560,0.18607135,0.21594897,0.20145268
0.04400000,0.11081271,0.16861476,0.21240883,0.19037446
0.04500000,0.11581774,0.14365062,0.17474899,0.22360912
0.04600000,0.09625538,0.17209387,0.21292764,0.17526780
0.04700000,0.11532945,0.12271493,0.18179876,0.21152379
0.04800000,0.11279641,0.18857387,0.21341594,0.21808527
0.04900000,0.09475997,0.18207343,0.22547075,0.15057833
0.05000000,0.11630604,0.10376293,0.14212470,0.21353801
0.05100000,0.09826960,0.17709891,0.21845149,0.19895016
0.05200000,0.11279641,0.14566485,0.22345653,0.20096438
0.05300000,0.11532945,0.18057802,0.19583728,0.21756645
0.05400000,0.09326456,0.18506424,0.21793268,0.15762810
0.05500000,0.11331523,0.12820826,0.17676321,0.22009949
0.05600000,0.11181982,0.17560350,0.21594897,0.21909238
0.05700000,0.09976501,0.17310099,0.21945860,0.17325358
0.05800000,0.11331523,0.16263314,0.15063936,0.22714927
0.05900000,0.09976501,0.20154424,0.23050630,0.20548112
0.06000000,0.11230811,0.16110721,0.20639668,0.21304971
0.06100000,0.11380352,0.18707846,0.19986572,0.21808527
0.06200000,0.09024323,0.17560350,0.21292764,0.14554277
0.06300000,0.11432234,0.10724204,0.16821802,0.21405683
0.06400000,0.11130100,0.18707846,0.21543016,0.21051668
0.06500000,0.11279641,0.17609180,0.21594897,0.18381298
0.06600000,0.11481063,0.13367107,0.16470840,0.21607105
0.06700000,0.09475997,0.17258217,0.21945860,0.18784143
0.06800000,0.11181982,0.13867611,0.19284646,0.21253090
0.06900000,0.11981567,0.18308054,0.20841090,0.21808527
0.07000000,0.08423109,0.18405713,0.21643727,0.14755699
0.07100000,0.11581774,0.10922575,0.15063936,0.22058779
0.07200000,0.10528886,0.17258217,0.22196112,0.21152379
0.07300000,0.11181982,0.15265358,0.21140172,0.21253090
0.07400000,0.11130100,0.16660054,0.18430128,0.21756645
0.07500000,0.09326456,0.18857387,0.22345653,0.17224647
0.07600000,0.11279641,0.16562395,0.20389416,0.21707816
0.07700000,0.11432234,0.17160558,0.21240883,0.21707816
0.07800000,0.09326456,0.17459639,0.21793268,0.18280587
0.07900000,0.11481063,0.12820826,0.13257241,0.21253090
0.08000000,0.09775079,0.18457595,0.21695608,0.19287698
0.08100000,0.11130100,0.16809595,0.21042512,0.20801416
0.08200000,0.11532945,0.15713981,0.20688498,0.22159490
0.08300000,0.09024323,0.18405713,0.22196112,0.16016114
0.08400000,0.14691610,0.11673330,0.17123936,0.22663045
0.08500000,0.11081271,0.18506424,0.21695608,0.21405683
0.08600000,0.10428175,0.17908261,0.21793268,0.17325358
0.08700000,0.13187048,0.12570574,0.15063936,0.24829859
0.08800000,0.10126041,0.17358928,0.21744438,0.18936735
0.08900000,0.17197180,0.14365062,0.20035401,0.20902127
