Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.00000000,0.00701926,0.01446577,0.00701926,0.00402844
0.00100000,0.00448622,0.01446577,0.00952177,0.00653096
0.00200000,0.00601215,0.01596118,0.01303140,0.02063051
0.00300000,0.00500504,0.01644948,0.01104770,0.00503555
0.00400000,0.00650044,0.01297037,0.00650044,0.00503555
0.00500000,0.00549333,0.01644948,0.00851466,0.00350963
0.00600000,0.00500504,0.02542192,0.00802637,0.00604266
0.00700000,0.00350963,0.01446577,0.00701926,0.00552385
0.00800000,0.00399792,0.02941984,0.01104770,0.00503555
0.00900000,0.00900296,0.01644948,0.00802637,0.00604266
0.01000000,0.00399792,0.01544237,0.01052889,0.00604266
0.01100000,0.00399792,0.02594073,0.00750755,0.01812799
0.01200000,0.00601215,0.01693777,0.00851466,0.00451674
0.01300000,0.00701926,0.01544237,0.00650044,0.00302133
0.01400000,0.00350963,0.01745659,0.00952177,0.00451674
0.01500000,0.00549333,0.02291940,0.00851466,0.00753807
0.01600000,0.00448622,0.01394696,0.00650044,0.00302133
0.01700000,0.00549333,0.01394696,0.00802637,0.00704978
0.01800000,0.00549333,0.01394696,0.00750755,0.00955229
0.01900000,0.00750755,0.01693777,0.01052889,0.00503555
0.02000000,0.00750755,0.01544237,0.00851466,0.00704978
0.02100000,0.01052889,0.01544237,0.00851466,0.00302133
0.02200000,0.00549333,0.01245155,0.00750755,0.00250252
0.02300000,0.00500504,0.01446577,0.00552385,0.00552385
0.02400000,0.00399792,0.01297037,0.00601215,0.00350963
0.02500000,0.00701926,0.02493362,0.00701926,0.00451674
0.02600000,0.00500504,0.14566485,0.15015107,0.00955229
0.02700000,0.00601215,0.26987518,0.25058748,0.00451674
0.02800000,0.02255318,0.26239814,0.23099460,0.00451674
0.02900000,0.02755821,0.07980590,0.06778161,0.00604266
0.03000000,0.01251259,0.00396741,0.00851466,0.00402844
0.03100000,0.00500504,0.00497452,0.00701926,0.00503555
0.03200000,0.00549333,0.00546281,0.00851466,0.00451674
0.03300000,0.01052889,0.00497452,0.00701926,0.00552385
0.03400000,0.00500504,0.00598163,0.00601215,0.00402844
0.03500000,0.00900296,0.01095614,0.00650044,0.00805689
0.03600000,0.00601215,0.00796533,0.00952177,0.00350963
0.03700000,0.01403851,0.00546281,0.02359081,0.00653096
0.03800000,0.01001007,0.02642903,0.00851466,0.00604266
0.03900000,0.00601215,0.00448622,0.00601215,0.00402844
0.04000000,0.00399792,0.00695822,0.00802637,0.00503555
0.04100000,0.00549333,0.00299081,0.00650044,0.00503555
0.04200000,0.00851466,0.00796533,0.00601215,0.00552385
0.04300000,0.00701926,0.00448622,0.00952177,0.00402844
0.04400000,0.00650044,0.00347911,0.01052889,0.00402844
0.04500000,0.00601215,0.00546281,0.00802637,0.00402844
0.04600000,0.00500504,0.00646992,0.00750755,0.00753807
0.04700000,0.00399792,0.00598163,0.00952177,0.00805689
0.04800000,0.00399792,0.00497452,0.00851466,0.00552385
0.04900000,0.02807703,0.00396741,0.01052889,0.00653096
0.05000000,0.00448622,0.00396741,0.00552385,0.00402844
0.05100000,0.00549333,0.00598163,0.00802637,0.00805689
0.05200000,0.01654103,0.00448622,0.02209540,0.00552385
0.05300000,0.00750755,0.00845363,0.00903348,0.00451674
0.05400000,0.00500504,0.00396741,0.00552385,0.00302133
0.05500000,0.00500504,0.00448622,0.00650044,0.00402844
0.05600000,0.00500504,0.00546281,0.00802637,0.00451674
0.05700000,0.00299081,0.00695822,0.00802637,0.00552385
0.05800000,0.00350963,0.00546281,0.01004059,0.00503555
0.05900000,0.00601215,0.08178961,0.00802637,0.00906400
0.06000000,0.01303140,0.01745659,0.00851466,0.01156652
0.06100000,0.00549333,0.00396741,0.00650044,0.01007111
0.06200000,0.12485122,0.00747703,0.00851466,0.09619434
0.06300000,0.28782006,0.00598163,0.00701926,0.21808527
0.06400000,0.29331339,0.02941984,0.04669332,0.22110660
0.06500000,0.16293832,0.00646992,0.01004059,0.12894070
0.06600000,0.00350963,0.00299081,0.00750755,0.00201422
0.06700000,0.00448622,0.00497452,0.00650044,0.00854518
0.06800000,0.00650044,0.00396741,0.00601215,0.00854518
0.06900000,0.03308206,0.00897244,0.01605274,0.01055940
0.07000000,0.03961303,0.00546281,0.00903348,0.00704978
0.07100000,0.03256325,0.00448622,0.00903348,0.00201422
0.07200000,0.00952177,0.00747703,0.01355022,0.01559496
0.07300000,0.00900296,0.00796533,0.02056948,0.00201422
0.07400000,0.00500504,0.00598163,0.00601215,0.00402844
0.07500000,0.00500504,0.00448622,0.00601215,0.00503555
0.07600000,0.00500504,0.01544237,0.01254311,0.00955229
0.07700000,0.00500504,0.00695822,0.01052889,0.00955229
0.07800000,0.02356029,0.00747703,0.09140294,0.00451674
0.07900000,0.00799585,0.00497452,0.00750755,0.00451674
0.08000000,0.00350963,0.00546281,0.00701926,0.00402844
0.08100000,0.00448622,0.00396741,0.00601215,0.00302133
0.08200000,0.00448622,0.00448622,0.00701926,0.00402844
0.08300000,0.00399792,0.00598163,0.00701926,0.00552385
0.08400000,0.01403851,0.01745659,0.01004059,0.00604266
0.08500000,0.00549333,0.00546281,0.00701926,0.00503555
0.08600000,0.00399792,0.00546281,0.00750755,0.00451674
0.08700000,0.00601215,0.00497452,0.01104770,0.00402844
0.08800000,0.00750755,0.00897244,0.00701926,0.00451674
0.08900000,0.00900296,0.00497452,0.00952177,0.00552385
