running main tilt
armed: b=begin  s=stop(e-stop)  e=end(ramp down)
state=0 freq=0.0 target=100.0 ledc0=0 ledc3=0
begin: started
state=1 freq=1.5 target=100.0 ledc0=0 ledc3=3071
state=1 freq=3.3 target=100.0 ledc0=0 ledc3=3071
state=1 freq=6.3 target=100.0 ledc0=0 ledc3=3071
state=1 freq=10.4 target=100.0 ledc0=0 ledc3=3071
state=1 freq=15.6 target=100.0 ledc0=0 ledc3=3071
state=1 freq=21.7 target=100.0 ledc0=0 ledc3=3071
state=1 freq=28.7 target=100.0 ledc0=0 ledc3=3071
state=1 freq=36.4 target=100.0 ledc0=0 ledc3=3071
state=1 freq=44.8 target=100.0 ledc0=0 ledc3=3071
state=1 freq=53.8 target=100.0 ledc0=0 ledc3=3071
state=1 freq=63.2 target=100.0 ledc0=0 ledc3=3071
state=1 freq=73.1 target=100.0 ledc0=0 ledc3=3071
state=1 freq=83.2 target=100.0 ledc0=0 ledc3=3071
state=1 freq=93.5 target=100.0 ledc0=0 ledc3=3071
state=1 freq=103.9 target=100.0 ledc0=0 ledc3=3071
state=1 freq=114.4 target=100.0 ledc0=0 ledc3=3071
state=1 freq=124.7 target=100.0 ledc0=0 ledc3=3071
state=1 freq=134.9 target=100.0 ledc0=0 ledc3=3071
state=1 freq=144.9 target=100.0 ledc0=0 ledc3=3071
state=1 freq=154.4 target=100.0 ledc0=0 ledc3=3071
state=1 freq=163.6 target=100.0 ledc0=0 ledc3=3071
state=1 freq=172.1 target=100.0 ledc0=0 ledc3=3071
state=1 freq=180.1 target=100.0 ledc0=0 ledc3=3071
state=1 freq=187.3 target=100.0 ledc0=0 ledc3=3071
state=1 freq=193.6 target=100.0 ledc0=0 ledc3=3071
state=1 freq=199.1 target=100.0 ledc0=0 ledc3=3071
state=1 freq=203.6 target=100.0 ledc0=0 ledc3=3071
state=1 freq=207.0 target=100.0 ledc0=0 ledc3=3071
state=1 freq=209.1 target=100.0 ledc0=0 ledc3=3071
state=2 freq=210.0 target=100.0 ledc0=0 ledc3=3071
state=2 freq=210.0 target=100.0 ledc0=0 ledc3=3071
state=3 freq=210.0 target=90.0 ledc0=0 ledc3=3071
state=2 freq=210.0 target=90.0 ledc0=0 ledc3=3071
state=2 freq=210.0 target=90.0 ledc0=0 ledc3=3071
state=3 freq=210.0 target=80.0 ledc0=0 ledc3=3071
state=2 freq=210.0 target=80.0 ledc0=0 ledc3=3071
state=2 freq=210.0 target=80.0 ledc0=0 ledc3=3071
state=3 freq=210.0 target=70.0 ledc0=0 ledc3=3071
state=2 freq=210.0 target=70.0 ledc0=0 ledc3=3071
state=2 freq=210.0 target=70.0 ledc0=0 ledc3=3071
state=3 freq=210.0 target=60.0 ledc0=0 ledc3=3071
state=2 freq=210.0 target=60.0 ledc0=0 ledc3=3071
end: ramping down
state=5 freq=210.0 target=60.0 ledc0=573 ledc3=0
coils off
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
state=6 freq=210.0 target=60.0 ledc0=0 ledc3=0
stop: ramping down (fast)
coils off
