Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.00000000,0.30735191,0.28934599,0.23953978,0.14706870
0.00100000,0.32493057,0.26737266,0.24707785,0.15713981
0.00200000,0.24066897,0.31528672,0.26566362,0.13547166
0.00300000,0.32844020,0.25092318,0.17777032,0.16116825
0.00400000,0.31888791,0.28434095,0.28373058,0.15662099
0.00500000,0.26224555,0.29132969,0.26163518,0.12894070
0.00600000,0.32041383,0.20352794,0.19183935,0.16721091
0.00700000,0.28830836,0.32026124,0.26715903,0.14856410
0.00800000,0.31089206,0.29282510,0.22598956,0.15713981
0.00900000,0.32642598,0.26490066,0.25409711,0.15662099
0.01000000,0.21259194,0.29132969,0.26514481,0.11380352
0.01100000,0.33643605,0.21750542,0.15717032,0.15460677
0.01200000,0.31791131,0.31727042,0.26667074,0.15411847
0.01300000,0.27478866,0.31278420,0.25009919,0.14856410
0.01400000,0.32441176,0.20252083,0.22095401,0.16266366
0.01500000,0.26975311,0.29581591,0.26767785,0.13397626
0.01600000,0.32041383,0.29132969,0.21091342,0.16016114
0.01700000,0.32590716,0.29132969,0.26615192,0.15964232
0.01800000,0.21811579,0.31476791,0.26966155,0.11935789
0.01900000,0.31989502,0.21149327,0.15216529,0.15762810
0.02000000,0.29783013,0.29233680,0.26966155,0.14151433
0.02100000,0.29483932,0.28434095,0.23401593,0.14755699
0.02200000,0.32541887,0.25540941,0.24655904,0.15713981
0.02300000,0.24619282,0.32575457,0.26514481,0.13599048
0.02400000,0.32441176,0.25193030,0.17777032,0.16418958
0.02500000,0.31940672,0.27985473,0.26667074,0.16165654
0.02600000,0.24921415,0.29084140,0.25861385,0.12588885
0.02700000,0.32340464,0.18955046,0.18732261,0.15109714
0.02800000,0.28278451,0.32126835,0.26816614,0.13748589
0.02900000,0.31537828,0.29532762,0.22345653,0.16064943
0.03000000,0.34498123,0.26587725,0.25461592,0.15964232
0.03100000,0.22211371,0.29432051,0.26413770,0.12036500
0.03200000,0.33796197,0.22147282,0.16470840,0.18836024
0.03300000,0.33643605,0.31678213,0.26364940,0.17172765
0.03400000,0.26523637,0.31229591,0.24958037,0.14453566
0.03500000,0.32392346,0.20651875,0.21140172,0.16568499
0.03600000,0.27677236,0.29383221,0.26966155,0.12894070
0.03700000,0.33143101,0.27185888,0.21140172,0.15210425
0.03800000,0.33194983,0.30231635,0.26413770,0.15411847
0.03900000,0.21259194,0.34122745,0.25711844,0.12286752
0.04000000,0.32142094,0.22547075,0.15216529,0.16016114
0.04100000,0.30384228,0.29132969,0.26566362,0.14606159
0.04200000,0.29181799,0.28434095,0.24356822,0.15359966
0.04300000,0.32642598,0.25290689,0.23551134,0.15613269
0.04400000,0.25922422,0.32074953,0.27219459,0.13599048
0.04500000,0.33042390,0.26938688,0.18881802,0.16418958
0.04600000,0.33042390,0.28284555,0.27118748,0.16568499
0.04700000,0.24268319,0.29532762,0.25962096,0.12942900
0.04800000,0.32493057,0.18655965,0.17325358,0.15158544
0.04900000,0.29682302,0.33921323,0.27320170,0.14252144
0.05000000,0.31238746,0.30579546,0.24103519,0.16016114
0.05100000,0.32291635,0.25739311,0.25159459,0.16064943
0.05200000,0.24219489,0.33921323,0.26465651,0.13043611
0.05300000,0.32892850,0.23294778,0.17526780,0.15915403
0.05400000,0.32090213,0.31577502,0.26514481,0.15109714
0.05500000,0.26273385,0.32923368,0.25711844,0.14453566
0.05600000,0.32190924,0.19006928,0.20087283,0.16016114
0.05700000,0.29081088,0.29630421,0.26313059,0.14404736
0.05800000,0.31287576,0.27884762,0.22699667,0.14957121
0.05900000,0.32691427,0.28733177,0.26013977,0.15311136
0.06000000,0.22663045,0.31427961,0.26566362,0.12640767
0.06100000,0.33393353,0.24143193,0.16522721,0.16922514
0.06200000,0.31488998,0.29181799,0.26313059,0.15964232
0.06300000,0.27478866,0.28882717,0.23905148,0.14151433
0.06400000,0.32844020,0.23694571,0.22898038,0.16568499
0.06500000,0.27378155,0.31278420,0.26715903,0.13296915
0.06600000,0.32541887,0.28086184,0.20490127,0.17325358
0.06700000,0.33494064,0.27335429,0.26767785,0.16519669
0.06800000,0.22614216,0.29132969,0.26566362,0.10574664
0.06900000,0.32691427,0.20252083,0.15216529,0.15713981
0.07000000,0.30484939,0.31775872,0.26566362,0.14505448
0.07100000,0.29331339,0.30628376,0.23905148,0.15259255
0.07200000,0.32493057,0.23993652,0.24457533,0.16870632
0.07300000,0.24668111,0.28785058,0.26514481,0.12689596
0.07400000,0.32392346,0.24344615,0.18179876,0.15259255
0.07500000,0.33094272,0.30777917,0.26667074,0.15411847
0.07600000,0.23966185,0.31775872,0.25760674,0.12689596
0.07700000,0.31940672,0.19803461,0.17273476,0.16116825
0.07800000,0.28782006,0.29480880,0.26767785,0.14001892
0.07900000,0.30735191,0.27936644,0.22498245,0.14755699
0.08000000,0.33545946,0.27735221,0.25110630,0.15359966
0.08100000,0.22162542,0.31076998,0.26313059,0.12640767
0.08200000,0.32691427,0.23895993,0.17627491,0.16922514
0.08300000,0.32392346,0.29831843,0.27118748,0.17325358
0.08400000,0.26773888,0.29432051,0.26163518,0.14151433
0.08500000,0.32941679,0.21100497,0.20035401,0.15411847
0.08600000,0.27729118,0.31379131,0.26566362,0.14807581
0.08700000,0.32541887,0.28385266,0.20841090,0.15863521
0.08800000,0.32441176,0.26688437,0.26313059,0.16016114
0.08900000,0.20807520,0.28934599,0.26715903,0.10525834
