Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.00000000,0.00601215,0.01794488,0.00802637,0.00552385
0.00100000,0.00500504,0.01446577,0.00750755,0.00503555
0.00200000,0.01101718,0.02044740,0.00750755,0.00503555
0.00300000,0.00650044,0.01345866,0.00650044,0.00604266
0.00400000,0.00601215,0.04287851,0.01052889,0.01861629
0.00500000,0.00750755,0.01596118,0.01052889,0.00503555
0.00600000,0.00500504,0.01345866,0.00851466,0.00402844
0.00700000,0.00601215,0.01345866,0.01052889,0.00805689
0.00800000,0.00500504,0.02542192,0.00750755,0.00753807
0.00900000,0.00399792,0.01245155,0.00650044,0.00604266
0.01000000,0.00549333,0.01196326,0.00601215,0.00552385
0.01100000,0.00701926,0.01544237,0.00650044,0.00402844
0.01200000,0.00448622,0.01345866,0.00701926,0.00451674
0.01300000,0.00900296,0.01992859,0.00802637,0.00854518
0.01400000,0.00500504,0.01745659,0.01004059,0.00250252
0.01500000,0.00448622,0.01345866,0.00750755,0.00653096
0.01600000,0.00448622,0.01394696,0.00552385,0.00302133
0.01700000,0.00601215,0.01297037,0.00750755,0.00805689
0.01800000,0.00500504,0.01297037,0.00701926,0.00451674
0.01900000,0.00601215,0.01394696,0.00903348,0.00302133
0.02000000,0.00299081,0.01196326,0.00802637,0.00402844
0.02100000,0.00750755,0.01596118,0.00701926,0.00753807
0.02200000,0.00701926,0.03390606,0.00601215,0.00604266
0.02300000,0.00601215,0.01895199,0.00750755,0.00704978
0.02400000,0.00500504,0.01345866,0.00952177,0.01257363
0.02500000,0.00650044,0.01297037,0.00802637,0.00350963
0.02600000,0.00448622,0.01345866,0.00601215,0.00250252
0.02700000,0.00601215,0.01196326,0.00552385,0.00503555
0.02800000,0.00448622,0.01144444,0.00802637,0.00451674
0.02900000,0.02154607,0.01095614,0.01303140,0.02365184
0.03000000,0.00601215,0.04986724,0.00701926,0.01712088
0.03100000,0.01351970,0.01345866,0.01907407,0.01257363
0.03200000,0.00650044,0.01297037,0.00802637,0.00451674
0.03300000,0.00799585,0.02142399,0.00650044,0.00302133
0.03400000,0.00701926,0.01394696,0.00650044,0.00503555
0.03500000,0.01202429,0.01245155,0.00650044,0.00503555
0.03600000,0.02856532,0.01446577,0.00802637,0.03775140
0.03700000,0.33243812,0.01944029,0.01355022,0.31629383
0.03800000,0.36503189,0.01297037,0.00650044,0.35557115
0.03900000,0.28882717,0.00396741,0.00952177,0.28153325
0.04000000,0.06616413,0.00598163,0.00903348,0.05789361
0.04100000,0.00399792,0.01245155,0.00851466,0.00451674
0.04200000,0.01702933,0.03289895,0.00750755,0.01156652
0.04300000,0.00399792,0.01544237,0.00750755,0.00402844
0.04400000,0.00900296,0.01495407,0.00601215,0.00503555
0.04500000,0.00500504,0.01297037,0.00650044,0.00350963
0.04600000,0.00601215,0.02142399,0.00851466,0.00955229
0.04700000,0.00601215,0.01394696,0.00802637,0.00451674
0.04800000,0.00851466,0.01394696,0.00750755,0.00552385
0.04900000,0.01602222,0.07531968,0.00851466,0.01458785
0.05000000,0.00650044,0.01345866,0.00701926,0.00402844
0.05100000,0.00701926,0.01394696,0.00802637,0.00451674
0.05200000,0.00601215,0.01245155,0.00701926,0.00704978
0.05300000,0.00448622,0.01245155,0.00451674,0.00552385
0.05400000,0.00448622,0.01596118,0.00952177,0.00402844
0.05500000,0.00448622,0.02093570,0.01202429,0.00503555
0.05600000,0.00448622,0.01446577,0.01153600,0.00604266
0.05700000,0.02505570,0.01345866,0.00601215,0.03021332
0.05800000,0.00448622,0.01495407,0.00750755,0.00350963
0.05900000,0.00448622,0.01446577,0.00601215,0.00503555
0.06000000,0.00500504,0.01297037,0.00802637,0.00552385
0.06100000,0.00350963,0.01144444,0.00650044,0.00451674
0.06200000,0.00701926,0.01345866,0.01004059,0.00503555
0.06300000,0.00799585,0.04886013,0.00903348,0.02517777
0.06400000,0.00299081,0.01596118,0.00701926,0.00704978
0.06500000,0.00601215,0.01495407,0.00701926,0.00854518
0.06600000,0.00500504,0.01596118,0.01052889,0.00906400
0.06700000,0.00549333,0.01644948,0.00650044,0.00604266
0.06800000,0.00448622,0.01297037,0.00701926,0.00503555
0.06900000,0.00601215,0.01245155,0.00802637,0.00350963
0.07000000,0.00448622,0.01245155,0.00750755,0.00302133
0.07100000,0.00650044,0.01345866,0.01052889,0.01208533
0.07200000,0.00601215,0.01297037,0.00650044,0.00451674
0.07300000,0.00549333,0.01345866,0.00802637,0.00552385
0.07400000,0.00350963,0.01495407,0.01504563,0.00552385
0.07500000,0.00549333,0.01394696,0.00750755,0.00503555
0.07600000,0.00448622,0.02093570,0.00650044,0.00350963
0.07700000,0.00701926,0.01495407,0.01004059,0.00350963
0.07800000,0.00500504,0.01297037,0.00903348,0.00604266
0.07900000,0.00549333,0.01196326,0.00851466,0.00402844
0.08000000,0.00900296,0.01895199,0.00903348,0.01007111
0.08100000,0.00601215,0.03341777,0.00851466,0.00906400
0.08200000,0.00399792,0.01046785,0.00802637,0.01107822
0.08300000,0.00601215,0.01245155,0.00500504,0.00552385
0.08400000,0.00952177,0.01345866,0.00952177,0.00402844
0.08500000,0.00601215,0.01345866,0.00851466,0.00451674
0.08600000,0.01553392,0.05685598,0.01104770,0.01358074
0.08700000,0.00299081,0.01095614,0.00802637,0.00402844
0.08800000,0.00350963,0.01297037,0.00701926,0.00604266
0.08900000,0.00601215,0.01495407,0.00701926,0.00704978
