t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
15.255,?,0.07,0.06,0.13,0.13,100.0,100.0,100.0,100.0
15.285,?,0.06,0.07,0.13,0.12,100.0,100.0,100.0,100.0
15.349,?,0.16,0.16,0.09,0.08,100.0,100.0,100.0,100.0
15.561,?,0.21,0.20,0.12,0.13,100.0,100.0,100.0,100.0
15.749,?,0.19,0.20,0.12,0.13,100.0,100.0,100.0,100.0
15.961,?,0.13,0.14,0.21,0.20,100.0,100.0,100.0,100.0
16.172,?,0.16,0.15,0.23,0.22,100.0,100.0,100.0,100.0
16.349,?,0.14,0.14,0.19,0.20,100.0,100.0,100.0,100.0
16.549,?,0.18,0.18,0.27,0.25,100.0,100.0,100.0,100.0
16.761,?,0.17,0.18,0.24,0.23,100.0,100.0,100.0,100.0
16.949,?,0.23,0.24,0.31,0.32,100.0,100.0,100.0,100.0
17.160,?,0.24,0.24,0.32,0.31,100.0,100.0,100.0,100.0
17.349,?,0.30,0.32,0.24,0.24,100.0,100.0,100.0,100.0
17.561,?,0.31,0.31,0.25,0.23,100.0,100.0,100.0,100.0
17.749,?,0.33,0.36,0.32,0.29,100.0,100.0,100.0,100.0
17.960,?,0.37,0.38,0.31,0.28,100.0,100.0,100.0,100.0
18.149,?,0.27,0.28,0.39,0.34,100.0,100.0,100.0,100.0
18.360,?,0.39,0.41,0.35,0.31,100.0,100.0,100.0,100.0
