t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.303,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.799,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.307,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.802,0,0.00,0.00,0.00,-0.00,0.0,0.0,0.0,0.0
3.298,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.802,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.317,1,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.802,1,0.00,0.00,0.00,0.09,75.0,50.0,50.2,49.9
5.297,1,0.00,0.00,0.00,0.02,100.0,50.2,50.5,50.0
5.801,1,0.00,0.00,0.00,0.02,100.0,50.0,51.1,50.3
6.306,1,0.02,0.01,0.00,0.03,100.0,50.3,51.9,50.5
6.800,1,0.03,0.02,0.00,0.03,100.0,50.8,53.2,51.1
7.304,1,0.08,0.06,0.00,0.03,100.0,51.7,55.3,52.3
7.808,1,0.06,0.04,0.00,0.06,100.0,52.5,57.5,53.2
8.303,1,0.19,0.10,0.00,0.04,100.0,54.0,61.0,55.3
8.802,1,0.12,0.08,0.00,0.09,100.0,55.6,65.0,57.1
9.307,1,0.22,0.17,0.00,0.09,98.4,55.9,74.0,57.9
9.803,1,0.31,0.20,0.00,0.13,92.7,52.1,99.0,55.0
10.308,1,0.33,0.20,0.00,0.16,86.1,48.2,100.0,51.4
10.806,1,0.33,0.18,0.00,0.14,79.5,44.2,100.0,47.7
11.312,1,0.29,0.14,0.00,0.17,72.8,40.5,100.0,43.4
11.809,1,0.25,0.07,0.00,0.10,65.7,37.3,100.0,40.1
12.305,1,0.27,0.08,0.00,0.17,58.7,34.4,100.0,36.3
12.812,1,0.32,0.11,0.00,0.12,51.0,32.0,100.0,33.5
13.309,1,0.26,0.09,0.01,0.11,43.7,29.6,100.0,30.6
13.805,1,0.14,0.08,0.00,0.06,38.5,27.8,100.0,28.8
14.312,1,0.15,0.04,0.00,0.08,34.0,26.4,100.0,27.3
14.806,1,0.14,0.02,0.00,0.02,30.8,25.4,100.0,26.1
15.311,1,0.11,0.02,0.00,0.03,28.4,24.6,100.0,25.2
15.806,1,0.05,0.02,0.00,0.03,26.8,23.9,100.0,24.5
16.311,1,0.06,0.08,0.00,0.01,25.2,23.1,100.0,24.0
16.807,1,0.03,0.01,0.00,0.01,24.6,22.7,100.0,23.5
17.312,1,0.02,0.01,0.00,0.00,23.9,22.3,100.0,23.2
17.808,1,0.02,0.01,0.00,0.01,23.4,22.0,100.0,22.7
18.314,1,0.01,0.02,0.00,0.01,23.0,21.2,100.0,22.2
18.808,1,0.00,0.00,0.00,0.01,22.8,21.1,100.0,21.8
