t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.304,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.801,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.299,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.798,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.306,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.804,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.311,1,0.00,0.00,-0.00,0.00,50.6,50.0,50.0,50.0
4.807,1,0.00,0.00,-0.00,0.00,75.5,50.0,50.0,50.0
5.315,1,0.00,0.00,-0.00,0.00,100.0,50.0,50.0,50.0
5.813,1,0.00,0.00,-0.00,0.00,100.0,50.0,50.0,50.0
6.311,1,0.00,0.00,-0.00,0.00,100.0,50.0,50.0,50.0
6.819,1,0.29,0.16,0.10,0.08,100.0,52.4,51.1,51.0
7.317,1,0.24,0.16,0.10,0.09,100.0,54.4,52.2,52.1
7.815,1,0.26,0.14,0.11,0.09,100.0,56.3,54.5,53.7
8.313,1,0.25,0.15,0.08,0.10,100.0,58.2,55.7,55.3
8.811,1,0.25,0.16,0.11,0.11,100.0,60.0,56.6,56.9
9.319,1,0.26,0.17,0.10,0.10,100.0,61.9,57.5,58.2
9.817,1,0.26,0.17,0.10,0.11,100.0,63.7,58.1,59.3
10.315,1,0.24,0.16,0.11,0.10,100.0,65.0,58.4,60.5
10.813,1,0.25,0.17,0.11,0.11,100.0,66.7,59.7,62.4
11.321,1,0.28,0.17,0.09,0.11,100.0,68.4,60.8,63.8
11.818,1,0.47,0.33,0.30,0.22,96.0,67.4,85.1,64.7
12.316,1,0.44,0.30,0.42,0.23,95.1,68.8,100.0,69.3
12.813,1,0.37,0.31,0.39,0.27,92.5,69.0,98.2,80.2
13.321,1,0.36,0.35,0.36,0.39,92.4,69.7,96.9,100.0
13.819,1,0.45,0.35,0.43,0.40,92.3,70.9,95.7,100.0
14.316,1,0.35,0.33,0.35,0.36,93.4,71.6,95.9,100.0
14.824,1,0.42,0.32,0.42,0.34,90.7,71.5,94.6,100.0
15.323,1,0.38,0.35,0.37,0.38,90.7,73.6,94.6,100.0
15.821,1,0.38,0.36,0.35,0.39,92.6,75.8,95.6,100.0
16.319,1,0.44,0.34,0.52,0.47,93.3,77.7,94.8,100.0
16.817,1,0.56,0.49,0.67,0.73,95.2,81.7,96.6,100.0
17.326,1,0.61,0.50,0.65,0.72,97.0,85.9,98.8,100.0
17.824,1,0.60,0.54,0.65,0.77,98.3,89.4,100.0,100.0
18.321,1,0.57,0.54,0.62,0.72,99.8,92.4,100.0,100.0
18.829,1,0.57,0.54,0.61,0.69,100.0,93.0,100.0,100.0
19.326,1,0.63,0.64,0.58,0.66,98.6,93.4,100.0,100.0
