t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.306,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.805,0,0.00,0.00,-0.00,-0.00,0.0,0.0,0.0,0.0
2.302,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.800,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.299,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.808,0,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
4.318,1,0.00,0.00,-0.00,-0.00,75.0,75.0,75.0,75.0
4.816,1,0.04,0.04,0.00,0.00,75.0,75.0,75.0,75.0
5.314,1,0.01,0.00,0.08,0.09,75.0,75.0,75.0,75.0
5.812,1,0.01,0.03,0.01,0.02,75.0,75.0,75.0,75.0
6.320,1,0.03,0.03,0.01,0.01,75.0,75.0,75.0,75.0
