t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
4.166,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.359,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.562,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.765,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.959,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
5.162,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
5.366,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
5.568,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
5.771,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
5.964,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
6.168,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
6.372,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
6.565,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
6.768,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
6.971,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
7.174,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
7.376,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
7.568,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
7.770,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
7.973,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
8.177,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
8.380,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
8.573,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
8.775,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
8.978,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
9.181,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
9.375,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
9.578,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
9.780,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
9.984,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
10.186,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
10.380,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
10.582,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
10.785,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
10.988,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
11.181,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
11.384,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
11.588,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
11.791,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
11.984,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
12.186,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
12.388,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
12.591,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
12.793,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
12.996,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
13.188,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
13.390,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
13.594,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
13.797,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
14.000,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
14.193,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
14.396,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
14.599,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
14.802,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
14.995,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
15.197,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
15.400,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
15.603,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
15.805,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
15.997,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
16.200,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
16.402,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
16.604,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
16.806,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
17.009,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
17.202,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
17.405,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
17.607,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
17.810,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
18.012,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
18.204,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
18.406,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
18.609,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
18.811,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
19.014,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
19.216,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
19.418,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
19.610,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
19.812,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
20.015,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
20.218,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
20.421,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
20.623,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
20.815,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
21.018,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
21.221,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
21.423,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
21.626,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
21.820,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
22.023,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
22.226,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
22.420,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
22.622,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
22.826,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
23.029,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
23.223,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
23.427,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
23.630,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
23.833,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
24.026,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
24.228,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
24.431,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
24.634,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
24.826,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
25.029,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
25.231,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
25.434,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
25.636,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
25.838,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
26.040,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
26.233,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
26.435,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
26.636,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
26.839,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
27.041,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
27.243,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
27.445,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
27.646,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
27.838,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
28.040,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
28.243,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
28.445,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
28.646,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
28.849,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
29.041,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
29.243,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
29.446,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
29.648,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
29.851,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
30.054,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
30.247,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
30.449,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
30.650,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
30.852,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
31.055,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
31.257,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
31.449,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
31.652,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
31.855,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
32.059,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
32.261,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
32.454,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
32.657,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
32.860,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
33.063,,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
