t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.307,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.806,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.304,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.803,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.301,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.808,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.315,1,0.00,0.00,0.00,0.00,20.0,20.0,20.0,20.0
4.812,1,0.00,0.00,0.00,0.00,20.0,20.0,20.0,20.0
5.310,1,0.00,0.00,0.00,0.00,20.0,20.0,20.0,20.0
5.818,1,0.00,0.00,0.00,0.01,20.0,20.0,20.0,20.0
6.317,1,0.01,0.00,0.01,0.00,20.0,20.0,20.0,20.0
6.813,1,0.05,0.07,0.09,0.09,40.6,40.6,40.6,40.6
7.310,1,0.25,0.26,0.17,0.17,61.5,61.5,61.5,61.5
7.816,1,0.25,0.22,0.19,0.17,64.3,64.3,64.3,64.3
8.313,1,0.26,0.26,0.27,0.24,66.2,66.2,66.2,66.2
8.810,1,0.26,0.28,0.21,0.20,68.0,68.0,68.0,68.0
9.317,1,0.23,0.20,0.24,0.26,69.9,69.9,69.9,69.9
9.813,1,0.31,0.27,0.23,0.23,71.8,71.8,71.8,71.8
10.320,1,0.29,0.33,0.22,0.23,73.7,73.7,73.7,73.7
10.817,1,0.32,0.30,0.26,0.24,75.0,75.0,75.0,75.0
11.314,1,0.27,0.28,0.28,0.28,75.0,74.9,75.1,77.4
11.822,1,0.33,0.34,0.28,0.28,74.9,74.6,75.2,79.3
12.318,1,0.35,0.33,0.26,0.29,75.2,75.0,75.6,81.2
12.815,1,0.36,0.32,0.30,0.36,75.8,76.1,76.2,83.0
13.313,1,0.31,0.32,0.33,0.40,77.2,77.1,77.4,84.9
13.823,1,0.39,0.40,0.31,0.40,78.2,77.6,79.0,86.8
14.322,1,0.38,0.38,0.32,0.37,77.6,77.2,80.4,88.7
14.821,1,0.38,0.41,0.34,0.42,79.1,78.4,81.8,90.5
15.319,1,0.38,0.38,0.43,0.50,81.0,80.1,83.3,92.4
15.818,1,0.45,0.45,0.40,0.48,82.2,81.4,84.6,94.3
16.316,1,0.44,0.45,0.40,0.43,83.4,83.0,85.9,96.2
16.825,1,0.47,0.48,0.45,0.47,85.5,84.4,86.7,98.0
17.323,1,0.42,0.44,0.51,0.56,87.6,86.3,87.7,99.9
17.822,1,0.54,0.50,0.44,0.50,89.2,88.1,89.4,100.0
18.321,1,0.55,0.57,0.49,0.57,90.7,88.9,90.3,100.0
18.820,1,0.57,0.59,0.52,0.60,92.7,90.9,92.4,100.0
19.320,1,0.58,0.59,0.52,0.64,94.4,93.1,95.1,100.0
19.820,1,0.59,0.57,0.55,0.75,100.0,93.6,93.7,95.7
20.319,1,0.66,0.62,0.66,0.80,96.1,90.7,100.0,92.8
20.818,1,0.64,0.61,0.59,0.76,94.6,90.6,100.0,90.1
21.317,1,0.62,0.57,0.70,0.71,94.0,90.8,100.0,87.8
21.825,1,0.66,0.66,0.60,0.68,91.6,88.2,100.0,85.6
22.323,1,0.62,0.61,0.65,0.65,91.6,88.7,100.0,82.9
22.821,1,0.63,0.63,0.66,0.66,90.5,88.7,100.0,81.9
23.319,1,0.62,0.58,0.64,0.71,88.4,87.1,100.0,81.2
23.829,1,0.65,0.61,0.59,0.63,87.4,86.0,100.0,81.1
24.328,1,0.66,0.68,0.60,0.66,87.5,86.1,100.0,80.6
24.827,1,0.70,0.69,0.63,0.62,87.1,85.5,100.0,79.9
25.326,1,0.67,0.67,0.68,0.72,87.7,85.4,100.0,79.8
25.824,1,0.66,0.65,0.69,0.70,85.3,82.8,100.0,79.5
26.333,1,0.71,0.73,0.62,0.68,83.9,82.0,100.0,78.9
26.832,1,0.61,0.79,0.56,0.70,83.5,79.8,100.0,77.7
27.330,1,0.72,0.74,0.67,0.63,81.7,78.2,100.0,78.3
27.827,1,0.67,0.66,0.69,0.69,79.7,75.4,100.0,78.7
28.325,1,0.70,0.79,0.72,0.72,81.0,100.0,99.0,78.7
28.831,1,0.71,0.85,0.77,0.76,83.7,100.0,100.0,81.9
29.328,1,0.81,0.85,0.79,0.80,85.9,100.0,100.0,84.7
29.826,1,0.77,0.85,0.78,0.76,88.1,100.0,100.0,84.9
30.323,1,0.88,0.94,0.80,0.80,90.3,100.0,100.0,87.5
30.831,1,0.89,0.94,0.82,0.81,87.6,95.5,100.0,87.2
31.329,1,0.83,1.00,0.87,0.83,86.2,92.8,100.0,87.6
31.828,1,0.90,0.98,0.91,0.91,85.4,91.2,100.0,87.8
32.334,1,0.97,1.01,0.93,0.88,86.1,90.4,100.0,88.5
32.830,1,1.00,1.01,0.99,0.95,100.0,90.3,98.9,88.9
33.327,1,1.13,1.08,1.05,1.03,97.6,89.0,98.1,100.0
33.834,1,1.09,1.18,1.17,1.06,98.8,100.0,96.5,100.0
34.332,1,1.16,1.25,1.24,1.17,96.4,96.3,94.5,100.0
34.831,1,1.30,1.30,1.34,1.30,97.7,100.0,93.7,99.8
35.328,1,1.28,1.36,1.41,1.29,94.8,95.9,91.0,100.0
35.836,1,1.51,1.57,1.58,1.41,96.7,100.0,89.7,100.0
36.334,1,1.54,1.57,1.69,1.45,92.7,93.4,85.4,100.0
36.831,1,1.80,1.81,1.74,1.62,96.9,90.9,80.2,100.0
37.329,1,1.90,1.83,2.01,1.82,92.1,87.5,76.8,100.0
37.836,1,2.03,2.12,2.07,1.93,90.8,93.0,72.1,100.0
38.334,1,2.27,2.27,2.18,2.04,93.4,87.9,68.4,100.0
38.830,1,2.30,2.25,2.35,2.28,86.7,82.1,65.4,100.0
39.338,1,2.36,2.32,2.52,2.34,82.7,78.8,61.8,100.0
39.836,1,2.50,2.48,2.68,2.42,80.3,77.5,57.5,100.0
40.333,1,1.75,0.00,3.00,0.00,75.0,75.0,75.0,75.0
40.830,1,1.84,0.00,3.24,0.00,75.0,75.0,75.0,75.0
41.338,1,1.82,0.01,3.32,0.00,75.0,75.0,75.0,75.0
41.835,1,0.21,0.00,0.44,0.00,75.0,75.0,75.0,75.0
42.333,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
42.832,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
43.330,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
43.840,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
44.339,1,0.00,0.01,0.00,0.00,75.0,75.0,75.0,75.0
44.838,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
45.336,1,0.00,0.00,0.01,0.00,75.0,75.0,75.0,75.0
45.836,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
46.334,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
46.831,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
47.340,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
47.837,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
48.333,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
48.840,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
49.336,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
49.835,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
50.332,1,0.00,0.00,0.01,0.00,75.0,75.0,75.0,75.0
50.840,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
51.337,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
51.832,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
52.331,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
52.839,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
53.339,1,0.00,0.17,0.00,0.00,75.0,75.0,75.0,75.0
53.838,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
54.337,1,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
54.834,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
55.333,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
55.841,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
56.338,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
56.836,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
57.343,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
57.839,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
58.339,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
58.835,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
59.343,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
