t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.303,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.801,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.299,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.799,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.308,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.804,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.313,1,0.00,0.00,0.00,0.00,50.5,50.0,50.0,50.0
4.810,1,0.00,0.00,0.00,0.00,75.5,50.0,50.0,50.0
5.316,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
5.813,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
6.321,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
6.820,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
7.319,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
7.818,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
8.317,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
8.825,1,0.00,0.00,0.00,0.01,100.0,50.0,50.0,50.0
9.323,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
9.821,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
10.319,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
10.828,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
11.327,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
11.825,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
12.324,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
12.823,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
13.321,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
13.819,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
14.326,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
14.822,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
15.329,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
15.827,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
16.324,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
16.821,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
17.328,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
17.826,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
18.324,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
18.822,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
19.330,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
19.829,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
20.328,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
20.826,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
21.324,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,50.0
21.824,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,49.7
22.323,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,49.7
22.831,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,49.7
23.328,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,49.7
23.826,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,49.7
24.332,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,49.7
24.830,1,0.00,0.00,0.00,0.00,100.0,50.0,50.0,49.7
25.327,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.7
25.835,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
26.334,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
26.832,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
27.330,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
27.829,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
28.337,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
28.835,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
29.333,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
29.831,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
30.330,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
30.837,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
31.333,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
31.830,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
32.336,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
32.833,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
33.340,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
33.837,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.6
34.336,1,0.00,0.00,0.00,0.03,100.0,50.0,49.9,49.3
34.835,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.2
35.334,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.2
35.833,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.2
36.340,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.2
36.837,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.2
37.334,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.2
37.833,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.2
38.341,1,0.00,0.00,0.00,0.00,100.0,50.0,49.9,49.2
