t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.302,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.799,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.306,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.802,0,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
3.300,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.807,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.315,1,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
4.812,1,0.00,0.00,0.00,0.00,1.3,1.3,1.3,1.3
5.310,1,0.00,0.00,0.00,0.00,5.2,5.2,5.2,5.2
5.818,1,0.00,0.00,0.00,0.00,11.9,11.9,11.9,11.9
6.316,1,0.00,0.00,0.00,0.00,20.7,20.7,20.7,20.7
6.814,1,0.00,0.00,0.03,0.00,31.5,31.5,31.5,31.5
7.312,1,0.00,0.00,0.00,0.00,44.2,44.2,44.2,44.2
7.822,1,0.00,0.00,0.00,0.00,58.6,58.6,58.6,58.6
8.320,1,0.00,0.00,0.00,0.00,74.5,74.5,74.5,74.5
8.817,1,0.00,0.00,0.02,0.00,75.0,75.0,75.0,75.0
9.314,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
9.821,1,0.00,0.00,0.02,0.00,75.0,75.0,75.0,75.0
10.320,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
10.819,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
11.317,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
11.827,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
12.326,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
12.825,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
13.322,1,0.00,0.00,0.00,0.01,75.0,75.0,75.0,75.0
13.819,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
14.327,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
14.825,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
15.323,1,0.00,0.00,0.00,0.07,75.0,75.0,75.0,75.0
15.821,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
16.329,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
16.828,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
17.327,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
17.824,1,0.00,0.00,0.02,0.00,75.0,75.0,75.0,75.0
18.331,1,0.00,0.00,0.01,0.00,75.0,75.0,75.0,75.0
18.828,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
19.325,1,0.00,0.00,0.01,0.00,75.0,75.0,75.0,75.0
19.832,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
20.329,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
20.827,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
21.334,1,0.00,0.00,0.01,0.00,75.0,75.0,75.0,75.0
21.832,1,0.00,0.00,0.00,0.01,75.0,75.0,75.0,75.0
22.329,1,0.00,0.00,0.01,0.00,75.0,75.0,75.0,75.0
22.837,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
23.337,1,0.00,0.00,0.00,0.00,75.0,75.0,75.0,75.0
23.837,1,0.00,0.00,0.00,0.00,75.0,75.0,74.9,75.0
24.335,1,0.00,0.00,0.00,0.00,75.0,75.0,74.9,75.0
24.834,1,0.00,0.00,0.00,0.00,75.0,75.0,74.9,75.0
25.332,1,0.00,0.00,0.00,0.00,75.0,75.0,74.9,75.0
25.841,1,0.00,0.00,-0.00,0.00,75.0,75.0,74.9,75.0
26.338,1,0.00,0.00,-0.00,0.00,75.0,75.0,74.9,75.0
26.835,1,0.00,0.00,-0.00,0.00,75.0,75.0,74.9,75.0
27.334,1,0.00,0.00,-0.00,0.00,70.0,75.0,74.9,70.0
27.833,1,0.00,0.00,-0.00,0.00,70.0,75.0,74.9,70.0
28.341,1,0.00,0.00,-0.00,0.00,70.0,75.0,74.9,70.0
28.839,1,0.00,0.00,0.00,0.00,70.0,75.0,74.9,70.0
29.336,1,0.00,0.00,0.00,0.00,70.0,74.9,74.9,70.0
29.843,1,0.00,0.00,0.00,0.00,60.0,74.9,74.9,60.0
30.341,1,0.00,0.00,0.00,0.00,60.0,74.9,74.9,60.0
30.839,1,0.00,0.00,-0.00,0.00,60.0,74.9,74.9,60.0
31.338,1,0.00,0.00,-0.00,0.00,60.0,74.9,74.9,60.0
31.836,1,0.00,0.00,-0.00,0.00,60.0,74.9,74.9,60.0
32.335,1,0.00,0.00,-0.00,0.00,50.0,74.9,74.9,50.0
32.844,1,0.00,0.00,-0.00,0.00,50.0,74.9,74.9,50.0
33.341,1,0.00,0.00,0.00,0.00,50.0,74.9,74.9,50.0
33.839,1,0.00,0.00,0.00,0.00,50.0,74.9,74.9,50.0
34.337,1,0.00,0.00,0.00,0.00,50.0,74.9,74.9,50.0
34.844,1,0.00,0.00,0.00,0.00,40.0,74.9,74.9,40.0
35.341,1,0.00,0.00,-0.00,0.00,40.0,74.9,74.9,40.0
35.847,1,0.00,0.00,-0.00,0.00,40.0,74.9,74.9,40.0
36.344,1,0.00,0.00,-0.00,0.00,40.0,74.9,74.9,40.0
36.840,1,0.00,0.00,-0.00,0.00,40.0,74.9,74.9,40.0
37.347,1,0.00,0.00,-0.00,0.00,30.0,74.9,74.9,30.0
37.843,1,0.00,0.00,-0.00,0.00,30.0,74.9,74.9,30.0
38.349,1,0.00,0.00,-0.00,0.00,30.0,74.9,74.9,30.0
38.848,1,0.00,0.00,-0.00,0.00,30.0,74.9,74.9,30.0
39.345,1,0.00,0.00,-0.00,0.00,30.0,74.8,74.9,30.0
39.845,1,0.00,0.00,0.00,0.00,20.0,74.8,74.9,20.0
40.342,1,0.00,0.00,0.00,0.00,20.0,74.8,74.9,20.0
40.849,1,0.00,0.00,0.00,0.00,20.0,74.8,74.9,20.0
41.347,1,0.00,0.00,0.00,0.00,20.0,74.8,74.9,20.0
41.845,1,0.00,0.00,0.00,0.00,20.0,74.8,74.9,20.0
42.342,1,0.00,0.00,0.00,0.00,10.0,74.8,74.8,10.0
42.852,1,0.00,0.00,0.00,0.00,10.0,74.8,74.8,10.0
43.848,1,0.00,0.00,0.00,0.00,10.0,74.8,74.8,10.0
44.346,1,0.00,0.00,0.00,0.00,10.0,74.8,74.8,10.0
44.853,1,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
45.351,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
45.849,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
46.348,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
46.856,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
47.354,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
47.852,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
48.349,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
48.849,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
49.349,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
49.848,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
50.357,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
50.856,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
51.355,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
51.853,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
52.353,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
52.852,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
53.350,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
53.850,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
54.359,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
54.858,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
55.357,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
55.856,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
56.353,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
56.853,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
57.351,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
57.860,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
58.357,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
58.855,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
59.353,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
59.850,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
60.359,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
60.858,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
61.355,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
61.853,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
62.363,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
62.861,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
63.359,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
63.859,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
64.356,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
64.863,2,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
65.360,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
65.857,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
66.365,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
66.864,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
67.362,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
67.861,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
68.360,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
68.857,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
69.363,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
69.860,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
70.357,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
70.865,2,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
