t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.309,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.798,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.307,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.806,0,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
3.304,0,0.00,-0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.803,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.322,1,0.00,-0.00,-0.00,0.00,20.0,20.0,20.0,20.0
4.820,1,0.00,0.00,0.00,0.00,20.0,20.0,20.0,20.0
5.320,1,0.00,0.00,0.00,0.00,20.0,20.0,20.0,20.0
5.820,1,0.00,0.00,0.00,0.00,20.0,20.0,20.0,20.0
6.318,1,0.00,0.00,0.00,0.00,20.0,20.0,20.0,20.0
6.818,1,0.00,0.00,0.00,0.00,20.0,20.0,20.0,20.0
7.316,1,0.00,0.01,0.00,0.00,20.0,20.0,20.0,20.0
7.813,1,0.01,0.01,0.01,0.00,20.7,20.7,20.7,20.7
8.321,1,0.02,0.03,0.03,0.03,31.5,31.5,31.5,31.5
8.820,1,0.07,0.08,0.10,0.08,44.2,44.2,44.2,44.2
9.320,1,0.23,0.24,0.16,0.15,58.6,58.6,58.6,58.6
9.817,1,0.29,0.29,0.29,0.30,73.8,73.7,73.7,73.7
10.315,1,0.42,0.33,0.40,0.50,91.0,75.4,76.0,75.4
10.823,1,0.55,0.42,0.43,0.46,100.0,78.1,78.6,78.0
11.321,1,0.68,0.54,0.67,0.63,96.4,77.9,100.0,78.1
11.820,1,0.73,0.64,0.61,0.60,92.1,77.8,100.0,78.2
12.319,1,0.76,0.73,0.67,0.64,90.2,77.6,100.0,78.3
12.817,1,0.84,0.80,0.73,0.69,88.5,77.0,100.0,78.7
13.315,1,0.88,0.82,1.01,0.90,87.1,77.1,100.0,80.3
13.824,1,1.03,0.99,1.15,0.98,89.2,78.7,100.0,83.7
14.321,1,1.29,1.42,1.53,1.24,87.7,94.1,94.6,91.4
14.820,1,1.68,1.65,1.95,1.61,87.2,91.6,88.7,100.0
15.319,1,1.98,2.02,2.08,1.77,98.4,94.3,81.9,100.0
15.827,1,2.24,2.31,2.32,2.00,91.5,86.4,74.4,100.0
16.327,1,2.39,2.36,2.59,2.31,86.5,83.3,67.4,100.0
16.826,1,2.55,2.57,2.62,2.41,81.5,78.5,60.7,100.0
17.325,1,2.57,2.60,2.76,2.54,78.8,76.0,54.9,100.0
17.824,1,2.67,2.84,2.68,2.61,76.1,75.8,49.6,100.0
18.322,1,2.71,2.70,2.70,2.64,74.0,72.6,49.0,100.0
18.830,1,2.70,2.68,2.77,2.65,75.1,73.0,45.1,100.0
19.328,1,2.69,2.58,2.75,2.68,75.1,74.5,46.1,100.0
19.827,1,2.75,2.60,2.75,2.55,74.4,71.1,46.4,100.0
20.326,1,2.56,2.78,2.81,2.63,72.3,72.9,46.8,100.0
20.825,1,2.64,2.64,2.55,2.57,70.9,69.8,44.4,100.0
21.323,1,2.54,2.71,2.60,2.64,70.7,70.4,43.8,100.0
