t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.303,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.803,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.302,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.801,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.300,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.807,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.315,1,0.00,0.00,0.00,0.00,50.7,50.7,50.7,50.7
4.814,1,0.02,0.02,0.00,0.00,75.7,75.7,75.7,75.7
5.322,1,0.00,0.00,0.12,0.07,100.0,100.0,100.0,100.0
5.820,1,0.01,0.01,0.14,0.12,100.0,100.0,100.0,100.0
6.318,1,0.04,0.04,0.01,0.01,100.0,100.0,100.0,100.0
6.816,1,0.04,0.05,0.11,0.13,100.0,100.0,100.0,100.0
7.324,1,0.12,0.13,0.03,0.05,100.0,100.0,100.0,100.0
7.823,1,0.08,0.07,0.15,0.10,100.0,100.0,100.0,100.0
8.320,1,0.17,0.12,0.09,0.11,100.0,100.0,100.0,100.0
8.818,1,0.26,0.25,0.16,0.17,100.0,100.0,100.0,100.0
9.326,1,0.23,0.22,0.29,0.30,100.0,100.0,100.0,100.0
9.825,1,0.22,0.25,0.33,0.31,100.0,100.0,100.0,100.0
10.324,1,0.25,0.23,0.30,0.30,100.0,100.0,100.0,100.0
10.822,1,0.38,0.41,0.32,0.36,100.0,99.8,100.0,98.9
11.330,1,0.33,0.37,0.42,0.39,100.0,99.6,99.2,97.9
11.829,1,0.37,0.39,0.44,0.40,100.0,98.8,93.3,94.8
12.327,1,0.46,0.46,0.53,0.46,100.0,97.6,91.4,95.4
12.824,1,0.50,0.51,0.55,0.54,100.0,96.4,90.9,95.6
13.331,1,0.52,0.58,0.61,0.68,100.0,95.9,91.8,95.3
13.829,1,0.63,0.63,0.55,0.78,100.0,94.4,92.6,93.0
14.327,1,0.62,0.70,0.52,0.75,94.9,90.1,100.0,88.3
14.826,1,0.82,0.76,0.59,0.76,100.0,91.2,100.0,86.5
15.334,1,0.76,0.68,0.65,0.85,100.0,92.5,100.0,85.4
15.832,1,0.66,0.81,0.77,0.77,96.1,89.8,100.0,82.5
16.329,1,0.81,0.81,0.64,0.66,92.2,86.5,100.0,81.3
16.828,1,0.79,0.78,0.77,0.77,88.9,83.1,100.0,81.3
17.327,1,0.80,0.89,0.85,0.83,89.6,83.0,100.0,82.3
17.836,1,0.95,0.86,0.92,0.83,87.6,81.0,100.0,83.4
18.334,1,0.96,1.09,1.12,1.11,93.7,89.2,96.2,93.1
18.833,1,1.10,1.15,1.22,1.21,94.7,89.0,95.7,100.0
19.332,1,1.28,1.39,1.41,1.27,94.5,88.9,94.4,100.0
19.839,1,1.52,1.56,1.54,1.39,94.9,88.2,90.9,100.0
20.336,1,1.64,1.65,1.84,1.65,94.5,85.6,87.4,100.0
20.834,1,1.82,2.08,2.04,1.84,94.3,95.8,81.4,100.0
21.340,1,2.09,2.12,2.16,2.05,97.8,90.9,76.6,100.0
21.838,1,2.34,2.36,2.27,2.10,95.7,86.9,71.8,100.0
22.335,1,2.32,2.52,2.36,2.15,90.2,82.0,67.7,100.0
22.843,1,2.16,2.26,2.67,2.55,81.4,79.3,63.9,98.8
23.341,1,2.60,2.45,2.61,2.42,86.2,77.5,62.0,100.0
23.840,1,2.62,2.72,2.82,2.54,82.5,80.0,55.3,100.0
