t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.303,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.800,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.309,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.807,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.306,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.804,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.322,1,0.00,0.00,0.00,0.00,50.7,50.0,50.0,50.0
4.819,1,0.02,0.01,0.00,0.00,75.7,50.1,50.0,50.0
5.316,1,0.00,0.00,0.05,0.05,100.0,50.3,50.2,50.1
5.813,1,0.01,0.01,0.03,0.06,100.0,50.5,50.4,50.3
6.321,1,0.03,0.03,0.00,0.01,100.0,50.9,51.1,50.7
6.821,1,0.04,0.03,0.05,0.05,100.0,51.5,51.7,51.4
7.320,1,0.12,0.04,0.02,0.02,100.0,52.4,52.7,52.4
7.819,1,0.07,0.06,0.09,0.04,100.0,53.3,53.6,53.1
8.316,1,0.14,0.11,0.05,0.06,100.0,54.2,55.4,54.7
8.815,1,0.24,0.11,0.09,0.09,100.0,56.1,57.3,56.8
9.323,1,0.19,0.10,0.09,0.06,100.0,58.1,59.3,59.0
9.820,1,0.25,0.15,0.13,0.20,100.0,60.1,61.8,61.8
10.319,1,0.29,0.16,0.18,0.23,100.0,62.8,64.5,64.7
10.819,1,0.29,0.20,0.21,0.22,100.0,65.1,67.2,67.3
11.317,1,0.40,0.27,0.26,0.17,98.0,66.2,83.6,67.7
11.825,1,0.39,0.27,0.57,0.36,98.1,69.3,98.9,73.9
12.322,1,0.47,0.43,0.63,0.36,95.7,94.3,93.5,72.4
12.820,1,0.56,0.53,0.51,0.35,100.0,93.7,90.8,73.4
13.318,1,0.57,0.51,0.46,0.52,99.4,93.8,94.2,75.2
13.827,1,0.76,0.68,0.55,0.54,98.1,93.3,100.0,77.0
14.325,1,0.81,0.61,0.71,0.63,98.2,100.0,99.5,79.4
14.825,1,0.73,0.71,0.58,0.88,95.9,94.6,100.0,85.4
15.324,1,0.66,0.67,0.71,0.80,93.6,92.7,100.0,81.8
15.823,1,0.70,0.55,0.65,0.80,89.5,89.8,100.0,77.9
16.322,1,0.81,0.93,0.69,0.69,90.3,99.3,99.8,79.9
16.822,1,0.82,0.86,0.77,0.93,90.5,98.9,100.0,100.0
17.330,1,0.98,0.94,0.89,0.92,91.5,98.7,100.0,100.0
17.827,1,0.88,0.95,0.80,0.89,92.0,98.1,100.0,100.0
18.323,1,1.15,1.13,1.07,1.04,100.0,95.4,98.3,97.7
18.830,1,1.16,1.21,1.28,1.22,100.0,93.9,96.7,97.6
19.327,1,1.35,1.37,1.54,1.37,100.0,92.3,94.4,98.1
19.826,1,1.48,1.48,1.62,1.46,96.1,88.8,91.0,100.0
20.325,1,1.63,1.81,1.73,1.57,95.8,96.8,85.6,100.0
20.835,1,1.77,1.95,1.94,1.77,94.8,92.0,82.3,100.0
21.335,1,2.02,1.93,2.18,1.96,94.2,87.9,77.9,100.0
21.833,1,2.29,2.18,2.21,2.03,91.8,84.4,73.5,100.0
22.333,1,2.42,1.94,2.47,2.40,87.6,89.1,64.5,94.0
22.832,1,2.52,2.60,2.41,2.26,86.9,82.4,62.4,100.0
23.331,1,2.50,2.53,2.53,2.41,84.8,78.9,59.3,100.0
23.829,1,2.65,2.75,2.66,2.64,82.5,79.2,55.2,100.0
24.337,1,2.67,2.73,2.75,2.60,80.7,75.7,53.2,100.0
24.833,1,2.95,2.74,2.71,2.74,81.3,73.6,50.5,100.0
25.331,1,2.80,2.80,2.85,2.71,78.2,73.8,48.5,100.0
25.829,1,2.73,2.81,2.75,2.73,75.7,71.8,46.8,100.0
26.337,1,2.69,2.73,2.73,2.68,75.0,69.7,45.6,100.0
26.835,1,2.88,2.80,2.89,2.62,77.1,71.8,46.7,100.0
27.333,1,2.79,2.67,2.79,2.53,73.0,69.9,46.3,100.0
27.832,1,2.63,2.73,2.73,2.56,72.0,68.6,47.1,100.0
28.330,1,2.53,2.67,2.51,2.49,70.1,69.2,43.9,100.0
28.837,1,2.46,2.53,2.44,2.48,70.1,68.2,45.1,100.0
29.334,1,2.43,2.66,2.33,2.46,69.4,69.5,43.9,100.0
29.841,1,2.40,2.38,2.33,2.41,69.5,68.3,45.1,100.0
30.337,1,2.54,2.34,2.59,2.36,75.8,68.6,50.6,99.9
30.834,1,2.36,2.46,2.33,2.31,71.3,70.2,47.2,100.0
31.342,1,2.32,2.34,2.07,2.31,70.4,68.0,48.7,100.0
31.840,1,2.58,2.50,2.26,2.25,75.0,73.1,50.0,100.0
32.339,1,2.25,2.32,2.23,2.16,71.0,69.5,47.9,100.0
32.837,1,2.44,2.46,2.24,2.12,76.3,71.4,51.8,100.0
33.334,1,2.26,2.34,2.16,2.15,72.6,68.8,50.6,100.0
