t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.301,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.800,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.296,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.805,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.305,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.804,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.313,1,0.00,-0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.802,1,0.00,-0.00,0.00,0.00,75.0,75.0,75.0,75.0
5.300,1,0.00,-0.00,0.00,0.00,75.0,75.0,75.0,75.0
5.800,1,0.00,-0.00,0.00,0.00,75.0,75.0,75.0,75.0
6.307,1,0.00,0.00,0.03,0.03,75.0,75.0,75.0,75.0
6.805,1,0.01,0.01,0.04,0.04,75.0,75.0,75.0,75.0
7.304,1,0.05,0.05,0.13,0.11,75.0,75.0,75.0,75.0
7.801,1,0.04,0.04,0.10,0.07,75.0,75.0,75.0,75.0
8.310,1,0.12,0.11,0.07,0.06,75.0,75.0,75.0,75.0
8.809,1,0.18,0.17,0.10,0.09,75.0,75.0,75.0,75.0
9.308,1,0.15,0.16,0.10,0.11,75.0,75.0,75.0,75.0
9.806,1,0.18,0.16,0.13,0.17,75.0,75.0,75.0,75.0
10.314,1,0.22,0.23,0.23,0.20,75.0,75.0,75.0,75.0
10.812,1,0.21,0.24,0.27,0.25,75.5,75.6,74.8,77.3
11.311,1,0.30,0.31,0.23,0.27,76.3,75.3,76.1,96.1
11.809,1,0.31,0.33,0.35,0.46,77.0,77.3,78.9,100.0
12.307,1,0.37,0.39,0.34,0.37,79.2,79.2,81.2,100.0
12.806,1,0.44,0.44,0.39,0.46,81.3,80.9,83.1,100.0
13.313,1,0.51,0.52,0.50,0.58,84.2,83.6,86.1,100.0
13.813,1,0.58,0.53,0.51,0.69,91.8,87.0,89.5,99.1
14.312,1,0.68,0.56,0.56,0.88,100.0,89.2,90.1,92.3
14.812,1,0.71,0.63,0.67,0.82,94.0,86.4,100.0,87.5
15.311,1,0.67,0.65,0.65,0.76,91.3,84.1,100.0,84.3
15.809,1,0.69,0.87,0.63,0.70,92.7,100.0,100.0,83.6
16.307,1,0.74,0.80,0.73,0.77,90.6,95.8,100.0,81.9
16.816,1,0.88,0.89,0.71,0.72,100.0,95.6,100.0,82.3
17.314,1,0.90,0.81,0.89,0.90,100.0,95.7,99.9,83.9
17.811,1,0.94,1.00,0.94,0.91,100.0,94.8,100.0,86.6
18.318,1,1.06,1.11,1.05,1.04,97.2,91.8,99.4,100.0
18.815,1,1.16,1.16,1.24,1.17,97.5,92.0,98.5,100.0
19.314,1,1.33,1.35,1.44,1.29,96.4,91.1,96.0,100.0
19.812,1,1.56,1.53,1.63,1.48,100.0,90.8,92.3,99.6
20.311,1,1.65,1.57,1.79,1.57,94.8,87.1,87.3,100.0
20.820,1,1.78,1.89,1.91,1.73,94.0,95.5,81.5,100.0
21.319,1,1.99,2.14,2.05,1.88,91.1,89.4,77.0,100.0
21.818,1,2.14,2.18,2.20,2.05,87.6,84.6,72.7,100.0
22.317,1,2.35,2.46,2.26,2.18,86.6,86.9,66.8,100.0
22.816,1,2.47,2.59,2.34,2.26,84.5,83.9,61.7,100.0
23.314,1,2.60,2.51,2.53,2.36,85.3,80.0,57.8,100.0
23.814,1,2.59,2.69,2.55,2.48,81.2,79.4,54.0,100.0
24.322,1,2.72,2.68,2.53,2.49,80.0,76.1,51.7,100.0
24.820,1,2.76,2.71,2.66,2.61,77.1,73.7,50.7,100.0
25.317,1,2.72,2.64,2.71,2.63,75.8,73.2,49.8,100.0
25.824,1,2.63,2.59,2.70,2.82,75.1,75.0,46.5,100.0
26.322,1,2.72,2.84,2.63,2.47,73.9,71.8,45.5,100.0
26.819,1,2.58,2.66,2.51,2.57,72.6,70.9,46.0,100.0
27.317,1,2.58,2.57,2.59,2.53,71.6,69.8,45.4,100.0
27.824,1,2.68,2.72,2.78,2.48,74.6,73.6,47.1,100.0
28.322,1,2.55,2.58,2.46,2.47,70.8,70.0,45.9,100.0
28.821,1,2.45,2.48,2.33,2.42,70.1,68.4,46.4,100.0
29.318,1,2.33,2.33,2.36,2.42,70.6,68.8,46.8,100.0
29.825,1,2.38,2.33,2.31,2.38,70.1,68.9,46.7,100.0
30.323,1,2.26,2.37,2.49,2.28,70.6,71.3,49.8,100.0
30.819,1,2.44,2.43,2.19,2.15,73.0,70.5,46.7,100.0
31.326,1,2.24,2.19,2.52,2.25,70.2,70.2,50.8,100.0
31.825,1,2.14,2.35,2.03,2.10,69.1,71.6,48.0,100.0
