t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.310,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.808,0,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
2.305,0,0.00,0.00,0.00,-0.00,0.0,0.0,0.0,0.0
2.803,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.300,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.807,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.315,1,0.00,0.00,-0.00,-0.00,75.0,75.0,75.0,75.0
4.812,1,0.04,0.03,0.00,0.00,75.0,75.0,75.0,75.0
5.321,1,0.00,0.00,0.13,0.11,75.0,75.0,75.0,75.0
5.818,1,0.01,0.01,0.13,0.09,75.0,75.0,75.0,75.0
6.317,1,0.03,0.04,0.00,0.01,75.0,75.0,75.0,75.0
6.816,1,0.03,0.04,0.08,0.09,75.0,75.0,75.0,75.0
7.324,1,0.08,0.09,0.06,0.03,75.0,75.0,75.0,75.0
7.821,1,0.06,0.06,0.10,0.08,75.0,75.0,75.0,75.0
8.320,1,0.12,0.14,0.07,0.08,75.0,75.0,75.0,75.0
8.818,1,0.12,0.15,0.12,0.13,75.0,75.0,75.0,75.0
9.326,1,0.15,0.17,0.24,0.21,75.0,75.0,75.0,75.0
9.824,1,0.17,0.16,0.24,0.17,75.2,75.1,75.4,75.0
10.322,1,0.20,0.21,0.20,0.25,77.5,74.6,77.3,77.1
10.821,1,0.35,0.28,0.21,0.22,89.4,76.2,79.1,78.0
11.329,1,0.40,0.30,0.29,0.30,100.0,78.2,81.8,80.4
11.828,1,0.41,0.31,0.37,0.35,100.0,81.0,81.8,81.8
12.326,1,0.46,0.34,0.42,0.41,100.0,84.3,84.2,84.2
12.824,1,0.51,0.38,0.52,0.45,100.0,86.3,85.7,85.9
13.333,1,0.59,0.51,0.53,0.58,100.0,88.1,88.1,87.3
13.830,1,0.59,0.52,0.55,0.67,100.0,89.6,90.6,88.0
14.328,1,0.77,0.63,0.58,0.64,95.5,88.7,100.0,85.6
14.835,1,0.71,0.70,0.58,0.67,93.3,88.1,100.0,82.9
15.333,1,0.72,0.66,0.69,0.74,91.3,87.1,100.0,81.1
15.831,1,0.73,0.74,0.72,0.72,88.6,85.7,100.0,79.6
16.329,1,0.85,0.78,0.64,0.67,88.7,84.5,100.0,80.1
16.836,1,0.79,0.78,0.77,0.79,85.6,81.0,100.0,79.9
17.334,1,0.87,0.92,0.86,0.81,85.3,80.5,100.0,80.3
17.832,1,0.92,0.94,0.97,0.90,85.1,80.6,100.0,82.3
18.330,1,1.15,1.01,1.20,1.03,100.0,81.8,98.6,83.8
18.828,1,1.26,1.13,1.37,1.23,98.1,83.3,96.0,100.0
19.338,1,1.30,1.20,1.40,1.32,95.4,82.1,93.6,100.0
19.835,1,1.50,1.61,1.60,1.46,96.2,100.0,89.8,99.2
20.332,1,1.75,1.82,1.72,1.55,94.5,94.9,86.0,100.0
20.831,1,1.79,1.96,1.92,1.68,90.3,87.9,81.3,100.0
21.339,1,2.03,2.03,2.03,1.88,86.7,83.3,76.8,100.0
21.836,1,2.36,2.36,2.19,2.06,92.8,87.7,72.1,100.0
22.334,1,2.32,2.42,2.41,2.19,88.7,86.1,65.6,100.0
22.841,1,2.48,2.61,2.39,2.22,84.2,80.7,62.9,100.0
23.338,1,2.72,2.71,2.38,2.03,80.0,73.9,57.2,100.0
23.837,1,2.59,2.82,2.54,2.48,79.1,78.7,54.6,100.0
