t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.302,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.801,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.300,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.807,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.304,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.803,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.322,1,0.00,0.00,0.00,0.00,50.7,50.0,50.0,50.0
4.811,1,0.04,0.01,0.00,0.00,75.7,50.2,50.0,50.0
5.318,1,0.01,0.00,0.09,0.11,100.0,50.4,49.9,49.9
5.816,1,0.01,0.01,0.10,0.10,100.0,50.7,50.1,50.2
6.314,1,0.05,0.03,0.01,0.01,100.0,51.4,50.8,50.9
6.822,1,0.05,0.02,0.09,0.07,100.0,52.2,51.5,51.6
7.320,1,0.10,0.08,0.02,0.03,100.0,53.1,52.7,52.8
7.817,1,0.07,0.06,0.09,0.06,100.0,53.8,53.1,53.5
8.315,1,0.21,0.11,0.06,0.05,100.0,54.9,54.9,55.2
8.822,1,0.26,0.14,0.09,0.10,100.0,56.3,56.3,57.2
9.320,1,0.24,0.12,0.10,0.08,100.0,58.3,58.4,59.6
9.818,1,0.27,0.15,0.13,0.16,100.0,59.7,60.4,61.6
10.320,1,0.25,0.22,0.35,0.20,95.4,57.8,85.4,62.2
10.818,1,0.29,0.20,0.33,0.21,95.4,59.8,100.0,64.8
11.328,1,0.36,0.28,0.45,0.28,96.5,63.4,100.0,68.4
11.826,1,0.41,0.32,0.48,0.24,94.6,83.4,96.0,69.5
12.325,1,0.44,0.38,0.58,0.48,92.6,85.6,92.7,92.0
12.826,1,0.50,0.44,0.57,0.56,93.7,86.5,92.3,100.0
13.324,1,0.51,0.63,0.57,0.63,95.0,92.4,92.6,99.3
13.822,1,0.66,0.77,0.54,0.96,96.2,99.2,95.0,96.4
14.330,1,0.44,0.74,0.45,0.89,94.6,94.2,100.0,89.2
14.829,1,0.72,0.73,0.67,0.83,93.6,92.4,100.0,84.4
15.328,1,0.64,0.67,0.62,0.71,89.8,88.0,100.0,81.2
15.827,1,0.77,0.68,0.63,0.73,99.4,88.4,100.0,77.9
16.326,1,0.79,0.86,0.64,0.65,97.9,96.4,100.0,76.8
16.824,1,0.73,0.82,0.73,0.71,93.7,91.8,100.0,76.9
17.322,1,0.94,0.93,0.87,0.76,92.8,90.0,100.0,78.1
17.821,1,0.90,0.85,0.82,0.76,92.5,89.4,100.0,79.9
18.329,1,1.06,1.09,1.00,0.92,92.8,95.1,100.0,80.0
18.826,1,1.10,1.22,1.25,1.09,94.7,94.3,100.0,83.6
19.323,1,1.39,1.41,1.43,1.15,96.5,92.0,99.3,88.4
19.830,1,1.50,1.53,1.53,1.37,95.3,89.4,95.0,100.0
20.328,1,1.63,1.70,1.83,1.67,95.3,86.4,91.1,100.0
20.826,1,1.88,1.98,1.92,1.74,94.0,91.7,86.4,100.0
21.325,1,1.89,1.93,2.25,2.05,92.6,87.2,81.3,100.0
21.825,1,2.23,2.50,2.23,1.97,90.0,88.0,72.9,100.0
22.324,1,2.72,2.15,2.47,2.26,86.3,87.3,75.9,99.0
22.833,1,2.50,2.65,2.64,2.33,89.1,83.3,66.5,100.0
