t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.303,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.801,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.299,0,0.00,0.00,-0.00,-0.00,0.0,0.0,0.0,0.0
2.807,0,0.00,0.00,-0.00,0.00,0.0,0.0,0.0,0.0
3.306,0,0.00,-0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.803,0,-0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.321,1,-0.00,-0.00,-0.00,-0.00,0.0,0.0,0.0,0.0
4.819,1,-0.00,-0.00,-0.00,-0.00,0.4,0.4,0.4,0.4
5.315,1,-0.00,-0.00,-0.00,-0.00,1.6,1.6,1.6,1.6
5.813,1,-0.00,-0.00,-0.00,0.00,3.6,3.6,3.6,3.6
6.320,1,-0.00,0.00,-0.00,0.00,6.4,6.4,6.4,6.4
6.818,1,-0.00,0.00,0.00,0.00,9.8,9.8,9.8,9.8
7.315,1,-0.00,0.00,0.00,0.00,14.0,14.0,14.0,14.0
7.822,1,0.00,0.00,0.01,0.00,18.8,18.8,18.8,18.8
8.320,1,0.02,0.01,0.01,0.01,24.3,24.3,24.3,24.3
8.819,1,0.04,0.07,0.03,0.02,30.4,30.4,30.4,30.4
9.319,1,0.05,0.03,0.08,0.08,37.0,37.0,37.0,37.0
9.817,1,0.07,0.08,0.11,0.12,44.3,44.3,44.3,44.3
10.327,1,0.11,0.14,0.13,0.12,52.0,52.0,52.0,52.0
10.827,1,0.21,0.21,0.17,0.14,60.2,60.2,60.2,60.2
11.324,1,0.27,0.30,0.23,0.18,69.0,68.9,69.0,69.0
11.823,1,0.30,0.32,0.36,0.34,78.1,74.8,74.9,75.0
12.330,1,0.32,0.37,0.31,0.37,87.7,74.7,75.7,75.4
12.828,1,0.42,0.38,0.39,0.41,97.7,75.5,76.3,76.3
13.328,1,0.53,0.44,0.44,0.49,100.0,78.3,80.1,79.2
13.827,1,0.69,0.54,0.46,0.51,100.0,80.9,84.3,81.1
14.325,1,0.68,0.52,0.53,0.63,100.0,84.8,88.5,81.3
14.833,1,0.75,0.65,0.61,0.67,97.0,85.2,100.0,79.9
15.330,1,0.73,0.83,0.63,0.73,96.0,98.9,100.0,78.4
15.828,1,0.69,0.76,0.70,0.68,92.5,94.5,100.0,78.0
16.327,1,0.81,0.84,0.69,0.69,90.7,91.7,100.0,77.8
16.825,1,0.77,0.78,0.75,0.73,89.5,89.6,100.0,78.7
17.333,1,0.82,0.89,0.86,0.83,89.7,87.9,100.0,80.1
17.831,1,0.98,1.03,0.92,0.85,100.0,87.5,99.4,81.2
18.329,1,1.05,1.01,1.10,0.95,100.0,87.8,98.8,83.3
18.829,1,1.18,1.15,1.23,1.18,96.9,84.6,96.1,100.0
19.328,1,1.33,1.30,1.37,1.31,96.0,84.7,94.2,100.0
19.835,1,1.44,1.64,1.61,1.45,100.0,98.4,91.9,99.8
20.335,1,1.75,1.80,1.68,1.51,100.0,95.6,87.0,98.9
20.833,1,1.76,1.79,1.96,1.77,94.9,89.4,82.4,100.0
21.333,1,2.08,2.07,2.02,1.83,92.4,86.1,77.8,100.0
21.830,1,2.22,2.11,2.27,2.18,89.9,84.9,74.6,100.0
22.327,1,2.27,2.24,2.41,2.24,87.8,82.5,69.0,100.0
22.836,1,2.31,2.35,2.54,2.37,83.9,78.9,64.0,100.0
23.332,1,2.43,2.57,2.56,2.42,82.0,81.2,59.4,100.0
23.840,1,2.61,2.76,2.66,2.56,80.9,80.2,55.9,100.0
24.337,1,2.58,2.69,2.72,2.58,78.1,75.2,53.9,100.0
24.834,1,2.60,2.65,2.80,2.66,77.1,77.1,53.5,100.0
25.331,1,2.77,2.90,2.80,2.50,76.7,77.7,50.2,100.0
25.839,1,2.68,2.70,2.62,2.56,74.1,72.4,46.5,100.0
26.336,1,2.64,2.59,2.65,2.63,73.3,71.0,46.6,100.0
26.834,1,2.53,2.79,2.76,2.53,72.5,73.0,47.9,100.0
27.341,1,2.78,2.57,2.71,2.45,75.6,70.1,47.0,100.0
27.839,1,2.68,2.59,2.50,2.56,71.7,69.5,46.0,100.0
28.337,1,2.43,2.51,2.42,2.45,71.1,69.5,45.5,100.0
28.835,1,2.43,2.49,2.57,2.44,70.9,71.3,48.0,100.0
29.343,1,2.36,2.45,2.37,2.40,70.1,70.6,46.0,100.0
29.842,1,2.49,2.43,2.50,2.34,72.8,70.9,49.3,100.0
30.339,1,2.30,2.24,2.41,2.25,71.4,69.7,50.2,100.0
30.837,1,2.28,2.37,2.17,2.25,69.9,70.5,46.9,100.0
31.344,1,2.17,2.14,2.37,2.21,71.0,70.5,51.3,100.0
31.841,1,2.22,2.35,2.11,2.14,70.1,70.8,47.9,100.0
32.337,1,2.29,2.09,2.27,2.15,74.7,69.9,51.0,100.0
32.844,1,2.14,2.06,2.10,2.06,71.4,69.0,49.2,100.0
33.341,1,2.15,2.35,2.22,2.08,71.1,73.9,51.3,100.0
33.840,1,2.06,2.14,2.09,2.02,69.8,70.3,49.0,100.0
34.347,1,2.30,2.30,2.32,2.08,74.8,74.1,51.8,100.0
34.845,1,2.11,2.17,2.10,2.04,70.9,71.7,48.4,100.0
35.342,1,2.04,2.11,2.06,2.13,70.6,70.1,48.5,100.0
35.839,1,2.19,2.08,2.40,2.03,73.3,70.2,53.4,100.0
36.346,1,2.21,2.12,2.07,2.11,71.2,69.4,50.4,100.0
36.844,1,2.06,2.33,2.24,2.04,71.0,73.2,51.3,100.0
37.342,1,2.06,2.15,2.07,1.93,70.1,70.5,49.8,90.0
37.841,1,1.89,2.11,2.06,1.69,67.9,70.3,50.0,90.0
38.339,1,1.89,2.08,2.05,1.70,67.4,70.2,50.3,90.0
