t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
4.166,,0.00,0.00,0.00,0.00,8.6,8.6,8.6,8.6
4.369,,0.00,0.00,0.00,0.00,23.4,23.4,23.4,23.4
4.562,,0.01,0.01,0.00,0.00,38.2,38.3,38.4,38.4
4.765,,0.00,0.00,0.02,0.02,53.2,53.3,53.3,53.2
4.967,,0.03,0.04,0.00,0.00,68.0,68.1,68.3,68.3
5.169,,0.00,0.00,0.02,0.02,83.1,83.1,83.0,83.0
5.371,,0.01,0.01,0.00,0.00,97.8,97.8,98.0,98.0
5.573,,0.03,0.04,0.00,0.00,100.0,100.0,100.0,100.0
5.765,,0.05,0.05,0.01,0.01,100.0,100.0,100.0,100.0
5.968,,0.03,0.04,0.01,0.01,100.0,100.0,100.0,100.0
6.171,,0.02,0.02,0.08,0.09,100.0,100.0,100.0,100.0
6.373,,0.08,0.09,0.02,0.03,100.0,100.0,100.0,100.0
6.576,,0.02,0.02,0.06,0.06,100.0,100.0,100.0,100.0
6.778,,0.03,0.02,0.08,0.07,100.0,100.0,100.0,100.0
6.972,,0.13,0.13,0.06,0.05,100.0,100.0,100.0,100.0
7.175,,0.06,0.07,0.15,0.13,100.0,100.0,100.0,100.0
7.378,,0.10,0.10,0.05,0.05,100.0,100.0,100.0,100.0
7.580,,0.11,0.11,0.05,0.06,100.0,100.0,100.0,100.0
7.773,,0.07,0.06,0.13,0.14,100.0,100.0,100.0,100.0
7.976,,0.11,0.12,0.19,0.18,100.0,100.0,100.0,100.0
8.179,,0.11,0.11,0.20,0.18,100.0,100.0,100.0,100.0
8.381,,0.20,0.21,0.13,0.10,100.0,100.0,100.0,100.0
8.584,,0.24,0.24,0.15,0.16,100.0,100.0,100.0,100.0
8.778,,0.19,0.22,0.14,0.15,100.0,100.0,100.0,100.0
8.981,,0.15,0.15,0.19,0.19,100.0,100.0,100.0,100.0
9.184,,0.27,0.28,0.20,0.20,100.0,100.0,100.0,100.0
9.385,,0.23,0.22,0.31,0.29,100.0,100.0,100.0,100.0
9.579,,0.21,0.22,0.30,0.29,100.0,100.0,100.0,100.0
9.782,,0.32,0.33,0.23,0.26,100.0,100.0,100.0,100.0
9.985,,0.33,0.35,0.27,0.27,100.0,100.0,100.0,100.0
10.188,,0.28,0.30,0.38,0.35,100.0,100.0,100.0,100.0
10.391,,0.33,0.32,0.40,0.31,100.0,100.0,100.0,100.0
10.585,,0.40,0.41,0.35,0.29,100.0,100.0,100.0,100.0
10.788,,0.43,0.40,0.35,0.31,100.0,100.0,100.0,100.0
10.990,,0.34,0.34,0.41,0.39,100.0,100.0,100.0,100.0
11.193,,0.35,0.34,0.42,0.43,100.0,100.0,100.0,100.0
11.386,,0.40,0.42,0.46,0.51,100.0,100.0,100.0,100.0
11.589,,0.39,0.38,0.44,0.54,100.0,100.0,100.0,100.0
11.792,,0.41,0.43,0.45,0.56,100.0,100.0,100.0,100.0
11.995,,0.52,0.50,0.41,0.49,100.0,100.0,100.0,100.0
12.197,,0.49,0.50,0.42,0.57,100.0,100.0,100.0,100.0
12.390,,0.54,0.58,0.45,0.53,100.0,100.0,100.0,100.0
12.593,,0.54,0.54,0.53,0.59,100.0,100.0,100.0,100.0
12.796,,0.53,0.57,0.62,0.63,100.0,100.0,100.0,100.0
12.998,,0.61,0.65,0.58,0.54,100.0,100.0,100.0,100.0
13.191,,0.60,0.61,0.70,0.61,100.0,100.0,100.0,100.0
13.394,,0.65,0.65,0.82,0.65,100.0,100.0,100.0,100.0
13.595,,0.69,0.70,0.74,0.54,100.0,100.0,100.0,100.0
13.798,,0.64,0.69,0.95,0.63,100.0,100.0,100.0,100.0
14.001,,0.68,0.70,1.00,0.61,100.0,100.0,100.0,100.0
14.193,,0.75,0.74,1.08,0.59,100.0,100.0,100.0,100.0
14.395,,0.70,0.69,1.00,0.59,100.0,100.0,100.0,100.0
14.598,,0.79,0.82,1.02,0.58,100.0,100.0,100.0,100.0
14.801,,0.80,0.82,1.03,0.61,100.0,100.0,100.0,100.0
15.003,,0.71,0.73,1.06,0.62,100.0,100.0,100.0,100.0
15.194,,0.80,0.82,0.99,0.57,100.0,100.0,100.0,100.0
15.396,,0.82,0.82,1.10,0.68,100.0,100.0,100.0,100.0
15.599,,0.81,0.86,0.92,0.60,100.0,100.0,100.0,100.0
15.802,,0.76,0.85,0.93,0.63,100.0,100.0,100.0,100.0
16.004,,0.81,0.85,0.94,0.70,100.0,100.0,100.0,100.0
16.197,,0.82,0.88,0.98,0.73,100.0,100.0,100.0,100.0
16.399,,0.84,0.88,0.96,0.73,100.0,100.0,100.0,100.0
16.601,,0.90,0.92,0.89,0.70,100.0,100.0,100.0,100.0
16.803,,0.83,0.90,0.95,0.78,100.0,100.0,100.0,100.0
17.007,,0.84,0.80,0.97,0.84,100.0,100.0,100.0,100.0
17.200,,0.97,1.01,0.93,0.81,100.0,100.0,100.0,100.0
17.403,,0.94,1.03,0.96,0.87,100.0,100.0,100.0,100.0
17.605,,0.97,1.02,1.01,0.95,100.0,100.0,100.0,100.0
17.807,,0.97,1.07,1.01,0.98,100.0,100.0,100.0,100.0
18.010,,1.07,1.16,1.02,1.00,100.0,100.0,100.0,100.0
18.202,,1.15,1.15,1.02,1.05,100.0,100.0,100.0,100.0
18.405,,1.09,1.17,1.12,1.14,100.0,100.0,100.0,100.0
18.608,,1.15,1.24,1.20,1.25,100.0,100.0,100.0,100.0
18.811,,1.18,1.31,1.18,1.31,100.0,100.0,100.0,100.0
19.005,,1.33,1.43,1.22,1.35,100.0,100.0,100.0,100.0
19.208,,1.37,1.44,1.27,1.44,100.0,100.0,100.0,100.0
19.411,,1.35,1.39,1.37,1.44,100.0,100.0,100.0,100.0
19.604,,1.38,1.45,1.43,1.62,100.0,100.0,100.0,99.2
19.807,,1.53,1.69,1.46,1.70,99.7,98.4,100.0,97.1
20.011,,1.66,1.80,1.50,1.76,98.6,96.0,99.6,94.0
20.204,,1.64,1.76,1.57,1.84,97.2,93.7,98.7,90.7
20.406,,1.74,1.76,1.69,1.90,95.0,90.9,97.0,86.6
20.609,,1.81,1.88,1.65,1.91,92.0,87.4,95.5,82.2
20.812,,1.84,1.84,1.70,1.98,89.1,84.5,93.6,77.8
21.005,,1.85,1.85,1.71,2.03,85.7,80.9,91.7,73.1
21.206,,1.81,1.86,1.69,2.01,82.5,77.4,89.4,68.6
21.409,,1.76,1.75,1.69,1.93,79.8,74.4,87.4,64.3
21.610,,1.85,1.88,1.73,1.88,76.8,71.2,84.8,60.0
21.812,,1.80,1.78,1.71,1.89,73.7,68.4,82.8,56.5
22.013,,1.83,1.75,1.61,1.86,70.7,65.9,81.3,53.1
22.205,,1.70,1.70,1.60,1.74,68.5,63.8,80.2,50.5
22.406,,1.72,1.67,1.66,1.82,66.6,62.1,78.7,47.8
22.608,,1.63,1.59,1.62,1.74,64.7,60.5,77.5,45.4
22.810,,1.63,1.56,1.59,1.68,62.9,59.6,76.7,43.5
23.012,,1.64,1.63,1.62,1.72,61.5,58.3,75.6,41.5
23.204,,1.59,1.55,1.57,1.60,60.1,57.2,74.9,40.5
23.406,,1.58,1.58,1.58,1.64,59.4,56.6,74.0,39.4
23.608,,1.59,1.54,1.56,1.61,58.4,55.7,73.5,38.6
23.809,,1.59,1.57,1.52,1.55,57.6,54.9,73.2,37.9
24.011,,1.59,1.56,1.58,1.59,56.9,54.5,72.7,37.2
24.213,,1.60,1.57,1.59,1.59,56.0,53.9,72.3,36.4
24.414,,1.54,1.54,1.51,1.60,55.4,53.4,72.2,35.6
