t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
4.165,,0.00,0.00,0.00,0.00,16.9,16.9,16.9,16.9
4.368,,0.00,0.00,0.01,0.01,66.1,66.1,66.0,65.9
4.569,,0.07,0.06,0.00,0.00,100.0,100.0,100.0,100.0
4.771,,0.00,0.00,0.09,0.09,100.0,100.0,100.0,100.0
4.964,,0.07,0.08,0.00,0.00,100.0,100.0,100.0,100.0
5.167,,0.00,0.00,0.05,0.04,100.0,100.0,100.0,100.0
5.368,,0.02,0.02,0.00,0.00,100.0,100.0,100.0,100.0
5.570,,0.06,0.05,0.00,0.00,100.0,100.0,100.0,100.0
5.764,,0.06,0.07,0.01,0.01,100.0,100.0,100.0,100.0
5.965,,0.05,0.04,0.01,0.01,100.0,100.0,100.0,100.0
6.168,,0.02,0.03,0.11,0.09,100.0,100.0,100.0,100.0
6.370,,0.12,0.12,0.03,0.03,100.0,100.0,100.0,100.0
6.572,,0.02,0.02,0.06,0.08,100.0,100.0,100.0,100.0
6.774,,0.03,0.03,0.10,0.09,100.0,100.0,100.0,100.0
6.967,,0.18,0.17,0.07,0.06,100.0,100.0,100.0,100.0
7.170,,0.07,0.08,0.04,0.05,100.0,100.0,100.0,100.0
7.373,,0.11,0.13,0.06,0.05,100.0,100.0,100.0,100.0
7.575,,0.13,0.14,0.07,0.07,100.0,100.0,100.0,100.0
7.767,,0.10,0.09,0.16,0.16,100.0,100.0,100.0,100.0
7.969,,0.14,0.13,0.07,0.08,100.0,100.0,100.0,100.0
8.172,,0.12,0.14,0.21,0.20,100.0,100.0,100.0,100.0
8.374,,0.10,0.11,0.17,0.15,100.0,100.0,100.0,100.0
8.576,,0.14,0.13,0.21,0.21,100.0,100.0,100.0,100.0
8.768,,0.12,0.20,0.18,0.19,100.0,100.0,100.0,100.0
8.970,,0.17,0.16,0.28,0.26,100.0,100.0,100.0,100.0
9.173,,0.19,0.19,0.26,0.25,100.0,100.0,100.0,100.0
9.375,,0.27,0.28,0.21,0.21,100.0,100.0,100.0,100.0
9.578,,0.31,0.31,0.21,0.20,100.0,100.0,100.0,100.0
9.771,,0.26,0.27,0.33,0.31,100.0,100.0,100.0,100.0
9.973,,0.29,0.28,0.34,0.34,100.0,100.0,100.0,100.0
10.175,,0.25,0.26,0.33,0.30,100.0,100.0,100.0,100.0
10.378,,0.26,0.24,0.33,0.33,100.0,100.0,100.0,100.0
10.580,,0.34,0.32,0.29,0.28,100.0,100.0,100.0,100.0
10.772,,0.36,0.37,0.33,0.29,100.0,100.0,100.0,100.0
10.973,,0.33,0.31,0.39,0.37,100.0,100.0,100.0,100.0
11.175,,0.41,0.47,0.38,0.38,100.0,100.0,100.0,100.0
11.377,,0.41,0.40,0.46,0.49,100.0,100.0,100.0,100.0
11.580,,0.38,0.38,0.42,0.51,100.0,100.0,100.0,100.0
11.782,,0.42,0.40,0.47,0.55,100.0,100.0,100.0,100.0
11.977,,0.52,0.51,0.40,0.51,100.0,100.0,100.0,100.0
12.179,,0.53,0.47,0.41,0.48,100.0,100.0,100.0,100.0
