t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
4.165,,0.00,0.00,0.00,0.00,8.6,8.6,8.6,8.6
4.368,,0.00,0.00,0.00,0.00,23.3,23.3,23.3,23.3
4.561,,0.01,0.01,0.00,0.00,38.1,38.1,38.3,38.3
4.765,,0.00,0.00,0.01,0.02,53.2,53.2,53.2,53.1
4.968,,0.03,0.02,0.00,0.00,67.9,68.0,68.2,68.2
5.171,,0.00,0.00,0.02,0.02,82.9,83.0,82.9,82.9
5.363,,0.01,0.01,0.11,0.13,97.6,97.7,97.7,97.6
5.566,,0.03,0.03,0.00,0.00,100.0,100.0,100.0,100.0
5.769,,0.04,0.04,0.01,0.00,100.0,100.0,100.0,100.0
5.971,,0.03,0.03,0.01,0.01,100.0,100.0,100.0,100.0
6.173,,0.02,0.02,0.06,0.07,100.0,100.0,100.0,100.0
6.365,,0.08,0.09,0.02,0.02,100.0,100.0,100.0,100.0
6.566,,0.02,0.02,0.06,0.05,100.0,100.0,100.0,100.0
6.768,,0.03,0.03,0.06,0.08,100.0,100.0,100.0,100.0
6.970,,0.13,0.13,0.05,0.05,100.0,100.0,100.0,100.0
7.172,,0.07,0.05,0.16,0.15,100.0,100.0,100.0,100.0
7.375,,0.11,0.11,0.06,0.06,100.0,100.0,100.0,100.0
7.567,,0.12,0.11,0.06,0.06,100.0,100.0,100.0,100.0
7.769,,0.08,0.07,0.13,0.13,100.0,100.0,100.0,100.0
7.971,,0.11,0.11,0.21,0.21,100.0,100.0,100.0,100.0
8.173,,0.11,0.12,0.19,0.18,100.0,100.0,100.0,100.0
8.374,,0.23,0.21,0.13,0.15,100.0,100.0,100.0,100.0
8.576,,0.11,0.13,0.18,0.16,100.0,100.0,100.0,100.0
8.777,,0.24,0.24,0.15,0.15,100.0,100.0,100.0,100.0
8.979,,0.15,0.14,0.23,0.22,100.0,100.0,100.0,100.0
9.181,,0.15,0.16,0.23,0.20,100.0,100.0,100.0,100.0
9.383,,0.23,0.23,0.30,0.31,100.0,100.0,100.0,100.0
9.574,,0.24,0.22,0.33,0.34,100.0,100.0,100.0,100.0
9.776,,0.19,0.21,0.25,0.27,100.0,100.0,100.0,100.0
9.977,,0.23,0.23,0.28,0.28,100.0,100.0,100.0,100.0
10.179,,0.30,0.31,0.24,0.22,100.0,100.0,100.0,100.0
10.381,,0.34,0.33,0.26,0.23,100.0,100.0,100.0,100.0
10.583,,0.26,0.29,0.35,0.32,100.0,100.0,100.0,100.0
10.785,,0.27,0.30,0.38,0.32,100.0,100.0,100.0,100.0
10.987,,0.38,0.37,0.44,0.41,100.0,100.0,100.0,100.0
11.189,,0.37,0.37,0.42,0.46,100.0,100.0,100.0,100.0
11.391,,0.41,0.41,0.36,0.48,100.0,100.0,100.0,100.0
11.594,,0.40,0.41,0.44,0.51,100.0,100.0,100.0,100.0
11.788,,0.41,0.43,0.46,0.54,100.0,100.0,100.0,100.0
11.990,,0.51,0.51,0.41,0.49,100.0,100.0,100.0,100.0
12.193,,0.51,0.52,0.40,0.47,100.0,100.0,100.0,100.0
12.396,,0.55,0.61,0.47,0.51,100.0,100.0,100.0,100.0
12.598,,0.53,0.52,0.57,0.63,100.0,100.0,100.0,100.0
12.791,,0.54,0.58,0.62,0.64,100.0,100.0,100.0,100.0
12.994,,0.59,0.65,0.58,0.54,100.0,100.0,100.0,100.0
13.196,,0.60,0.63,0.72,0.62,100.0,100.0,100.0,100.0
13.398,,0.67,0.67,0.84,0.65,100.0,100.0,100.0,100.0
