t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
4.162,,0.00,0.00,0.00,0.00,100.0,100.0,76.3,100.0
4.365,,0.00,0.00,0.14,0.12,100.0,100.0,100.0,100.0
4.567,,0.00,0.00,0.00,0.00,100.0,100.0,100.0,100.0
4.760,,0.01,0.01,0.00,0.00,100.0,100.0,100.0,100.0
4.962,,0.00,0.00,0.01,0.00,100.0,100.0,100.0,100.0
5.164,,0.00,0.00,0.11,0.12,100.0,100.0,100.0,100.0
5.367,,0.04,0.04,0.00,0.00,100.0,100.0,100.0,100.0
5.570,,0.11,0.11,0.01,0.01,100.0,100.0,100.0,100.0
5.764,,0.12,0.13,0.02,0.02,100.0,100.0,100.0,100.0
5.968,,0.07,0.07,0.01,0.01,100.0,100.0,100.0,100.0
6.171,,0.03,0.03,0.01,0.01,100.0,100.0,100.0,100.0
6.365,,0.01,0.01,0.04,0.04,100.0,100.0,100.0,100.0
6.568,,0.03,0.03,0.10,0.10,100.0,100.0,100.0,100.0
6.771,,0.03,0.04,0.10,0.11,100.0,100.0,100.0,100.0
6.964,,0.04,0.03,0.08,0.09,100.0,100.0,100.0,100.0
7.167,,0.11,0.11,0.04,0.05,100.0,100.0,100.0,100.0
7.370,,0.16,0.16,0.08,0.08,100.0,100.0,100.0,100.0
7.563,,0.16,0.15,0.09,0.08,100.0,100.0,100.0,100.0
7.767,,0.11,0.11,0.20,0.18,100.0,100.0,100.0,100.0
7.970,,0.14,0.16,0.10,0.10,100.0,100.0,100.0,100.0
8.172,,0.15,0.16,0.10,0.10,100.0,100.0,100.0,100.0
8.365,,0.12,0.10,0.19,0.19,100.0,100.0,100.0,100.0
8.567,,0.15,0.16,0.23,0.22,100.0,100.0,100.0,100.0
8.771,,0.14,0.15,0.21,0.20,100.0,100.0,100.0,100.0
8.973,,0.20,0.20,0.23,0.27,100.0,100.0,100.0,100.0
9.166,,0.17,0.21,0.29,0.26,100.0,100.0,100.0,100.0
9.369,,0.31,0.30,0.20,0.22,100.0,100.0,100.0,100.0
9.572,,0.30,0.29,0.23,0.22,100.0,100.0,100.0,100.0
9.775,,0.26,0.24,0.27,0.33,100.0,100.0,100.0,100.0
9.966,,0.30,0.30,0.23,0.22,100.0,100.0,100.0,100.0
10.170,,0.23,0.26,0.32,0.31,100.0,100.0,100.0,100.0
10.372,,0.26,0.29,0.37,0.33,100.0,100.0,100.0,100.0
10.574,,0.36,0.36,0.33,0.27,100.0,100.0,100.0,100.0
10.776,,0.39,0.35,0.34,0.30,100.0,100.0,100.0,100.0
10.969,,0.35,0.32,0.41,0.39,100.0,100.0,100.0,100.0
11.173,,0.37,0.37,0.42,0.42,100.0,100.0,100.0,100.0
11.376,,0.42,0.40,0.45,0.49,100.0,100.0,100.0,100.0
