t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
4.171,,0.00,0.00,0.00,0.00,5.0,5.0,5.0,5.0
4.363,,0.00,0.00,0.00,0.00,8.6,6.8,6.1,7.9
4.566,,0.00,0.00,0.00,0.00,11.6,8.3,6.9,10.2
4.768,,0.00,0.00,0.00,0.00,14.6,9.8,7.8,12.6
4.971,,0.00,0.00,0.00,0.00,17.6,11.3,8.7,15.0
5.174,,0.00,0.01,0.00,0.00,20.5,12.7,9.5,17.4
5.376,,0.00,0.00,0.00,0.00,23.5,14.2,10.4,19.7
5.569,,0.00,0.00,0.00,0.01,26.5,15.7,11.3,22.1
5.771,,0.00,0.00,0.01,0.01,29.3,17.1,12.1,24.4
5.974,,0.00,0.00,0.00,0.00,32.3,18.6,13.0,26.8
6.176,,0.03,0.00,0.00,0.08,35.0,20.0,13.9,28.1
6.377,,0.01,0.01,0.01,0.02,37.8,21.4,14.7,30.4
6.580,,0.04,0.00,0.00,0.00,40.5,22.9,15.6,32.8
6.772,,0.03,0.03,0.00,0.01,43.3,24.2,16.5,35.0
6.975,,0.03,0.00,0.01,0.06,46.1,25.6,17.4,37.0
7.178,,0.11,0.05,0.00,0.03,48.4,26.8,18.2,39.1
7.381,,0.03,0.02,0.00,0.04,51.8,28.5,19.3,41.8
7.584,,0.04,0.02,0.00,0.01,55.3,30.2,20.5,44.9
7.777,,0.07,0.04,0.00,0.05,58.6,31.9,21.6,47.5
7.981,,0.15,0.08,0.01,0.04,61.8,33.5,22.8,50.1
8.183,,0.13,0.05,0.00,0.05,64.8,35.1,23.9,52.6
8.385,,0.10,0.04,0.01,0.14,68.0,36.8,25.0,55.0
8.586,,0.13,0.04,0.01,0.19,70.6,38.2,26.1,56.9
8.789,,0.11,0.04,0.02,0.14,74.3,40.3,27.5,59.9
8.981,,0.17,0.06,0.02,0.07,78.0,42.2,28.6,62.9
9.183,,0.09,0.10,0.07,0.16,81.5,43.7,29.6,65.6
9.386,,0.15,0.12,0.03,0.10,85.1,45.2,30.8,68.5
9.588,,0.31,0.18,0.05,0.07,88.0,46.4,31.9,71.3
9.791,,0.18,0.15,0.03,0.19,90.9,47.5,32.9,73.5
9.984,,0.28,0.15,0.07,0.20,93.3,48.7,33.8,75.8
10.186,,0.35,0.21,0.09,0.22,96.3,50.3,35.0,78.3
10.387,,0.29,0.19,0.08,0.28,99.1,51.4,35.9,80.6
10.589,,0.33,0.21,0.11,0.31,100.0,53.1,37.0,83.4
10.790,,0.32,0.24,0.11,0.28,100.0,54.2,37.9,86.5
10.993,,0.42,0.26,0.11,0.26,100.0,55.3,39.0,89.3
11.195,,0.36,0.25,0.10,0.28,100.0,56.9,39.7,91.9
11.397,,0.34,0.26,0.16,0.38,100.0,57.7,40.4,93.7
11.600,,0.51,0.27,0.07,0.40,100.0,58.9,41.4,95.3
11.791,,0.44,0.27,0.16,0.43,100.0,59.9,42.1,97.1
11.993,,0.36,0.26,0.18,0.52,100.0,60.9,42.7,98.0
12.195,,0.45,0.19,0.24,0.44,100.0,62.0,43.2,99.9
12.398,,0.43,0.31,0.19,0.55,100.0,62.9,43.5,100.0
12.600,,0.57,0.41,0.20,0.49,100.0,63.1,43.8,100.0
