t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.309,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
1.805,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.303,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
2.799,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.305,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
3.801,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0
4.320,1,0.00,0.00,0.00,0.00,50.7,50.0,50.0,50.0
4.819,1,0.00,0.00,0.00,0.00,75.7,50.0,50.2,50.0
5.318,1,0.02,0.01,0.00,0.00,100.0,50.9,51.4,51.0
5.817,1,0.03,0.02,0.00,0.00,100.0,51.0,52.0,51.2
6.315,1,0.06,0.04,0.00,0.01,100.0,51.3,53.0,51.5
6.815,1,0.07,0.03,0.00,0.01,100.0,51.9,54.4,52.1
7.311,1,0.16,0.08,0.00,0.05,100.0,52.7,56.5,52.9
7.815,1,0.09,0.06,0.00,0.10,100.0,53.4,58.7,53.7
8.314,1,0.21,0.13,0.00,0.07,100.0,54.7,61.9,55.2
8.812,1,0.14,0.09,0.00,0.09,100.0,56.2,65.7,56.9
9.311,1,0.27,0.18,0.00,0.09,100.0,58.0,70.9,59.6
9.820,1,0.27,0.17,0.00,0.09,94.2,54.6,93.5,56.7
10.316,1,0.28,0.17,0.00,0.13,88.1,50.8,100.0,53.1
10.817,1,0.25,0.17,0.00,0.19,81.5,46.8,100.0,48.7
11.317,1,0.32,0.15,0.00,0.13,74.8,42.9,100.0,44.8
11.818,1,0.31,0.15,0.00,0.13,67.7,39.5,100.0,40.7
12.317,1,0.33,0.12,0.00,0.12,60.3,36.2,100.0,36.8
12.816,1,0.35,0.10,0.00,0.12,52.5,33.1,100.0,34.0
13.315,1,0.25,0.12,0.00,0.10,45.3,30.5,100.0,31.3
13.823,1,0.20,0.07,0.00,0.07,39.5,28.7,100.0,29.2
14.320,1,0.17,0.06,0.00,0.05,35.1,27.4,100.0,27.4
14.822,1,0.12,0.06,0.00,0.08,31.9,26.1,100.0,25.7
15.319,1,0.12,0.07,0.00,0.04,29.2,25.2,100.0,24.8
15.818,1,0.06,0.03,0.00,0.02,27.2,24.5,100.0,24.2
16.317,1,0.04,0.03,0.00,0.02,25.9,23.8,100.0,23.9
16.818,1,0.04,0.01,0.00,0.01,25.0,23.3,100.0,23.6
17.317,1,0.02,0.01,0.01,0.01,24.2,23.0,100.0,23.3
17.817,1,0.02,0.01,0.00,0.01,23.7,22.6,100.0,22.7
18.317,1,0.02,0.01,0.00,0.01,23.2,22.3,100.0,22.3
18.828,1,0.01,0.00,0.00,0.01,23.0,22.1,100.0,22.0
19.318,1,0.00,0.01,0.00,0.02,23.0,22.0,100.0,21.7
19.826,1,0.00,0.01,0.00,0.01,22.8,21.9,100.0,21.2
20.323,1,0.01,0.00,0.00,0.02,22.8,21.8,100.0,20.7
20.821,1,0.00,0.00,0.00,0.02,22.8,21.7,100.0,20.1
21.328,1,0.00,0.00,0.00,0.02,22.7,21.7,100.0,19.6
21.826,1,0.00,0.02,0.00,0.02,22.7,21.1,100.0,19.0
22.324,1,0.00,0.00,0.00,0.01,22.7,21.1,100.0,18.8
22.822,1,0.00,0.00,0.00,0.02,22.7,21.1,100.0,18.3
23.329,1,0.00,0.00,0.00,0.02,22.7,21.1,100.0,18.1
23.826,1,0.00,0.00,0.00,0.01,22.7,21.1,100.0,17.9
24.325,1,0.00,0.00,0.00,0.01,22.7,21.0,100.0,17.5
24.822,1,0.00,0.00,0.00,0.06,22.6,21.0,100.0,16.4
25.328,1,0.00,0.00,0.00,0.01,22.4,21.0,100.0,16.3
25.825,1,0.00,0.00,0.00,0.00,22.4,21.0,100.0,16.1
26.333,1,0.00,0.00,0.00,0.00,22.4,21.0,100.0,16.1
26.834,1,0.01,0.00,0.00,0.01,22.4,21.0,100.0,16.0
27.328,1,0.00,0.00,0.00,0.00,22.4,21.0,100.0,16.1
27.824,1,0.00,0.00,0.00,0.00,22.4,21.0,100.0,15.4
28.330,1,0.00,0.00,0.00,0.00,22.8,21.5,100.0,15.8
28.829,1,0.00,0.00,0.00,0.00,22.8,21.5,100.0,15.8
29.327,1,0.00,0.00,0.00,0.01,22.8,21.5,100.0,15.5
29.830,1,0.00,0.00,0.00,0.00,22.8,21.4,100.0,15.4
