t_s,phase,A,B,C,D,dutyA,dutyB,dutyC,dutyD
1.361,,0.00,0.00,0.00,0.00,50.3,50.3,50.3,50.3
1.858,,0.01,0.01,0.00,0.00,75.4,75.4,75.4,75.4
2.354,,0.01,0.01,0.00,0.00,100.0,100.0,100.0,100.0
2.859,,0.00,0.00,0.11,0.11,100.0,100.0,100.0,100.0
3.365,,0.18,0.19,0.01,0.01,100.0,100.0,100.0,100.0
3.864,,0.01,0.01,0.08,0.10,100.0,100.0,100.0,100.0
4.365,,0.01,0.01,0.09,0.10,100.0,100.0,100.0,100.0
4.866,,0.11,0.14,0.02,0.02,100.0,100.0,100.0,100.0
5.361,,0.10,0.12,0.03,0.03,100.0,100.0,100.0,100.0
5.860,,0.26,0.22,0.08,0.07,100.0,100.0,100.0,100.0
6.362,,0.09,0.09,0.23,0.19,100.0,100.0,100.0,100.0
6.861,,0.18,0.22,0.10,0.10,100.0,100.0,100.0,100.0
7.356,,0.09,0.09,0.22,0.18,100.0,100.0,100.0,100.0
7.869,,0.16,0.17,0.31,0.30,100.0,100.0,100.0,100.0
8.366,,0.33,0.39,0.26,0.23,100.0,99.8,100.0,100.0
8.869,,0.23,0.22,0.34,0.31,100.0,100.0,99.9,100.0
9.363,,0.34,0.36,0.24,0.21,100.0,99.9,100.0,100.0
9.862,,0.26,0.28,0.41,0.41,100.0,99.9,97.7,98.7
10.365,,0.48,0.44,0.32,0.33,100.0,99.7,97.9,99.3
10.865,,0.61,0.64,0.49,0.49,100.0,99.9,97.8,99.4
11.365,,0.61,0.69,0.52,0.52,100.0,99.8,97.2,99.2
11.862,,0.60,0.58,0.79,0.68,99.7,99.5,96.0,100.0
12.359,,0.72,0.61,0.75,0.86,99.7,99.5,96.0,100.0
12.866,,0.83,0.80,0.71,0.73,99.2,99.5,96.0,100.0
13.363,,0.80,0.78,0.91,1.02,99.5,100.0,97.7,98.7
13.862,,0.88,0.82,0.94,1.05,99.0,100.0,98.7,96.3
14.367,,0.96,0.85,1.04,1.16,98.0,100.0,98.8,94.1
14.870,,1.15,1.14,1.02,0.96,97.6,100.0,99.4,95.4
15.362,,1.13,1.14,1.25,1.11,96.4,100.0,96.3,95.8
15.866,,1.16,1.18,1.26,1.08,95.2,98.5,92.1,100.0
16.370,,1.12,1.23,1.28,1.09,91.5,93.6,86.7,100.0
16.861,,1.10,1.19,1.26,1.15,90.6,92.2,82.9,100.0
17.366,,1.18,1.30,1.12,1.08,89.2,90.2,80.0,100.0
17.862,,1.14,1.13,1.22,1.15,87.3,89.4,76.8,100.0
18.367,,1.27,1.29,1.12,1.11,85.6,87.1,75.7,100.0
18.870,,1.17,1.20,1.29,1.27,85.3,86.6,75.3,100.0
19.370,,1.15,1.16,1.27,1.24,84.5,85.1,74.8,100.0
19.868,,1.19,1.34,1.39,1.26,83.2,83.7,73.9,100.0
20.366,,1.26,1.36,1.30,1.25,82.4,88.1,73.4,100.0
20.863,,1.21,1.29,1.25,1.27,81.2,85.2,73.5,100.0
21.375,,1.34,1.34,1.28,1.33,80.5,84.1,73.6,100.0
21.869,,1.26,1.27,1.31,1.29,79.4,82.5,73.3,100.0
22.370,,1.33,1.39,1.30,1.29,78.0,80.7,73.2,100.0
22.871,,1.35,1.36,1.33,1.34,77.7,79.8,73.5,100.0
23.362,,1.40,1.39,1.27,1.33,77.6,79.1,73.9,100.0
23.872,,1.40,1.39,1.35,1.39,76.6,78.0,73.7,100.0
24.368,,1.31,1.35,1.39,1.37,76.2,77.2,73.6,100.0
24.874,,1.40,1.40,1.29,1.34,75.5,76.0,74.0,100.0
25.372,,1.43,1.44,1.31,1.33,75.0,75.4,74.3,100.0
