freq_hz,n_repeats,rot_median_deg,rot_mad_deg,n_modal,modal_frac,modal_mean_deg,modal_sd_deg,n_outlier,rot_mean_deg,rot_var_deg2,rot_sd_deg,rot_sem_deg,rate_relu_med,rate_relu_mad,relu_lag_ms,rate_fit_med,rate_fit_mad,rate_mean_deg_s,rate_var,rate_sd_deg_s,n_rate,rotation_deg,sem_deg,sigma,t10_s,t90_s,rate_jump_deg_s,period_s,zeta,n_precondition_fail
10.0,10,42.333,1.862,10,1.0,41.348,4.803,2,41.348,23.07,4.803,1.519,433.623,212.967,31.0,183.867,111.007,496.337,470262.355,685.757,10,37.277,4.8195,7.7,0.05,1.9,95.592,nan,1.277,0
20.0,9,46.799,1.967,9,1.0,47.343,2.511,0,47.343,6.3071,2.511,0.837,839.579,193.286,34.7,232.54,53.045,305.887,16264.941,127.534,9,47.078,0.8554,55.0,0.0,0.18,252.578,nan,1.067,0
30.0,9,44.993,1.445,7,0.778,44.672,1.372,2,49.369,1693.4584,41.152,13.717,503.113,244.054,44.8,238.192,60.737,344.746,43931.912,209.599,7,49.935,13.3569,3.7,0.0,1.07,221.812,nan,1.558,2
40.0,10,49.039,2.998,10,1.0,49.376,3.059,0,49.376,9.3566,3.059,0.967,842.767,501.079,21.3,251.078,72.123,997.311,114824.338,338.857,10,51.032,1.5848,32.2,0.0,0.2,285.366,nan,1.154,0
50.0,10,44.404,5.433,8,0.8,45.521,3.803,2,28.702,1433.9381,37.867,11.975,738.81,324.158,2.1,264.382,102.037,1042.575,694450.052,833.337,8,30.451,8.9584,3.4,0.0,0.34,208.61,nan,1.087,2
60.0,9,47.127,9.538,5,0.556,48.24,3.023,4,50.66,3794.1781,61.597,20.532,492.524,345.058,39.8,265.231,59.871,559.525,230151.217,479.741,5,51.699,17.3135,3.0,nan,nan,nan,nan,1.315,3
70.0,4,49.816,47.181,2,0.5,49.816,1.162,0,57.673,4195.0963,64.77,32.385,945.447,630.835,41.1,335.056,12.369,477.739,229896.411,479.475,2,57.341,31.3455,1.8,nan,nan,nan,nan,1.205,2
80.0,5,50.389,3.125,5,1.0,49.826,2.289,0,49.826,5.2382,2.289,1.024,1461.656,1078.495,79.6,355.458,8.04,316.256,19456.073,139.485,5,49.666,1.2311,40.3,0.0,0.12,345.262,nan,1.165,0
90.0,5,45.25,1.867,5,1.0,45.193,1.632,0,45.193,2.6648,1.632,0.73,1178.777,104.087,60.6,342.303,4.107,230.947,32283.792,179.677,5,45.263,1.0827,41.8,0.0,0.12,244.695,0.3803,0.328,0
100.0,5,42.967,5.066,5,1.0,41.994,3.637,0,41.994,13.2298,3.637,1.627,822.517,145.212,56.7,281.889,44.855,377.574,52655.267,229.467,5,41.632,1.7236,24.2,0.0,0.13,271.041,0.4291,0.174,0
110.0,5,41.57,1.372,5,1.0,41.279,1.619,0,41.279,2.6226,1.619,0.724,593.806,35.269,60.1,256.875,17.123,248.625,373.152,19.317,5,41.317,0.9073,45.5,0.0,0.14,229.871,0.4899,0.151,0
