freq_hz,take,t_kill,fs_hz,swing_deg,n0_x,n0_y,n0_z,nf_x,nf_y,nf_z,radial0_deg,azim0_deg,radialf_deg,azimf_deg,d_radial_deg,d_azim_deg,spread0_deg,spreadf_deg,settle_10pct_s,settle_band_s,perp_max_deg,rise_1090_s,t10_s,t90_s,tail_max_deg,tail_over_band,cone_pre_deg,cone_post_deg,cone_peak_deg,cone_t_peak_s,cone_final_deg,cone_settle_s,cone_tau_s,cone_asym_deg,cone_note,cone_hz,cone_amp_deg,cone_measured,circ_ratio,mech_hz,mech_measured,n_pre,n_post,note
10.0,2026-09-09_205902,1059502.789,51.1,6.414,0.515918,-0.744818,-0.423172,0.455054,-0.814717,-0.359391,9.795,173.815,5.846,213.306,-3.949,39.491,1.499,1.411,,4.6485,1.375,,,,0.998,1.555,3.144,2.542,4.546,0.0824,2.813,,1.1138,2.846,the envelope is still moving 0.69 deg at the end of the window against a 0.17 deg band -- still decaying,10.0,,0,1.91,3.705,0,50,77,tail still wanders 1.00 deg against a 0.64 deg band -- no settled state to time
10.0,2026-09-09_210011,1059571.986,51.2,6.606,0.51475,-0.746677,-0.421313,0.451023,-0.817675,-0.357751,9.279,180.498,6.057,225.528,-3.223,45.03,1.205,1.392,,3.5991,1.113,,,,0.823,1.247,2.581,2.442,3.441,0.5429,2.764,,,,"the cut moved the cone by 0.68 deg, under the 1.0 deg floor -- no decay to time",10.0,,0,1.49,3.705,0,50,79,tail still wanders 0.82 deg against a 0.66 deg band -- no settled state to time
10.0,2026-09-09_210122,1059642.364,51.5,5.105,0.4899,-0.757846,-0.430891,0.443989,-0.810645,-0.381743,6.947,193.901,5.785,238.093,-1.161,44.192,2.832,1.779,,,3.495,,,,2.673,5.235,5.972,3.373,6.045,1.124,3.504,,,,the envelope is still moving 1.09 deg at the end of the window against a 0.25 deg band -- still decaying,10.0,,0,3.16,1.78,1,52,79,tail still wanders 2.67 deg against a 0.51 deg band -- no settled state to time
10.0,2026-09-09_210231,1059711.593,51.3,7.041,0.511972,-0.742454,-0.432026,0.449304,-0.818221,-0.358664,10.152,174.289,6.37,217.689,-3.782,43.4,1.666,1.343,,4.3255,1.524,,,,1.535,2.181,3.89,2.655,4.872,0.0622,2.685,,0.1469,3.016,the envelope is still moving 1.11 deg at the end of the window against a 0.22 deg band -- still decaying,10.0,,0,1.84,3.705,0,51,79,tail still wanders 1.54 deg against a 0.70 deg band -- no settled state to time
10.0,2026-09-09_210341,1059781.129,51.1,6.731,0.514083,-0.744372,-0.42618,0.449187,-0.818132,-0.359015,10.961,189.067,8.504,227.729,-2.457,38.662,2.016,1.305,,,1.794,,,,1.155,1.716,3.778,2.812,4.783,0.0792,2.94,,0.2927,3.072,the envelope is still moving 0.94 deg at the end of the window against a 0.18 deg band -- still decaying,10.0,,0,13.64,3.705,0,50,73,tail still wanders 1.15 deg against a 0.67 deg band -- no settled state to time
10.0,2026-09-10_004434,1073034.837,231.7,5.769,0.51182,-0.750953,-0.417264,0.462643,-0.812816,-0.353966,10.665,180.862,7.979,213.381,-2.685,32.519,1.432,1.34,,4.2761,1.086,,,,0.682,1.183,2.702,2.464,3.827,1.4633,2.98,,,,"the cut moved the cone by 0.85 deg, under the 1.0 deg floor -- no decay to time",5.0,1.54,1,4.03,2.98,1,207,307,tail still wanders 0.68 deg against a 0.58 deg band -- no settled state to time
10.0,2026-09-10_004544,1073104.253,229.3,5.943,0.514309,-0.753914,-0.408779,0.455693,-0.817573,-0.35202,10.778,189.577,8.293,222.823,-2.485,33.246,1.653,1.598,,1.4476,0.862,,,,0.655,1.102,3.366,2.812,4.371,0.0232,3.43,,,,"the cut moved the cone by 0.94 deg, under the 1.0 deg floor -- no decay to time",10.1,1.663,1,4.05,4.06,1,211,315,tail still wanders 0.66 deg against a 0.59 deg band -- no settled state to time
10.0,2026-09-10_004654,1073174.685,229.9,8.167,0.28215,-0.786367,-0.549562,0.346479,-0.804558,-0.482327,7.629,50.297,2.354,32.543,-5.275,-17.754,10.313,3.476,,,8.503,,,,5.78,7.077,19.441,7.919,23.103,0.6259,6.199,,0.4703,7.063,the envelope is still moving 2.46 deg at the end of the window against a 1.69 deg band -- still decaying,10.0,,0,4.15,3.705,0,205,283,tail still wanders 5.78 deg against a 0.82 deg band -- no settled state to time
10.0,2026-09-10_004804,1073244.315,236.1,5.18,0.507485,-0.751111,-0.422245,0.468884,-0.806303,-0.360587,7.473,202.81,7.729,243.149,0.256,40.339,0.937,1.363,,4.7922,0.995,,,,1.015,1.959,2.109,2.214,3.024,0.4023,2.691,,,,"the cut moved the cone by 0.33 deg, under the 1.0 deg floor -- no decay to time",10.0,0.855,1,1.67,3.02,1,210,314,tail still wanders 1.01 deg against a 0.52 deg band -- no settled state to time
10.0,2026-09-10_004913,1073313.713,233.3,5.421,0.510608,-0.748613,-0.422916,0.467986,-0.80657,-0.361156,7.812,189.098,6.651,232.42,-1.162,43.321,1.385,1.25,,4.7876,0.933,,,,0.715,1.319,2.621,2.384,3.337,1.4049,2.801,,,,"the cut moved the cone by 0.54 deg, under the 1.0 deg floor -- no decay to time",10.0,,0,2.05,3.02,1,177,315,tail still wanders 0.72 deg against a 0.54 deg band -- no settled state to time
