freq_hz,n_repeats,settle_10pct_med_s,settle_10pct_mad_s,n_settled,n_refused,rise_1090_med_s,rise_1090_mad_s,n_rise,swing_med_deg,swing_mad_deg,d_radial_med_deg,d_azim_med_deg,prec_pre_med_deg,prec_post_med_deg,prec_peak_med_deg,prec_final_med_deg,prec_settle_med_s,prec_settle_mad_s,n_prec_settled,prec_tau_med_s,prec_tau_mad_s,n_prec_tau,cone_med_hz,cone_over_drive,circ_ratio_med,mech_med_hz
10.0,22,3.1101,0.0832,3,19,nan,nan,0,5.634,0.417,-2.547,35.653,3.274,2.676,4.562,3.006,nan,nan,0,0.8575,0.4359,14,10.0,1.0,1.88,3.705
20.0,16,0.6643,0.182,7,9,0.6058,0.1479,4,7.822,0.336,-2.624,45.929,1.456,1.581,4.004,1.516,2.4882,0.4295,12,0.7238,0.2138,16,20.0,1.0,4.78,3.55
30.0,10,1.2159,0.5808,9,1,0.3552,0.0307,7,10.138,0.424,-3.942,44.733,2.897,3.721,7.33,3.41,3.1112,0.0,1,1.1639,0.5162,10,29.98,0.999,3.5,3.395
40.0,14,1.414,0.4633,13,1,0.2728,0.0,1,11.549,0.308,-3.01,47.269,4.772,4.425,8.082,4.034,2.9474,0.2806,5,1.1906,0.2843,14,40.0,1.0,3.21,3.23
50.0,10,2.0229,0.6639,8,2,0.6557,0.1173,5,12.191,0.271,-2.208,42.967,8.379,2.992,10.53,1.615,2.8803,0.2133,8,1.3234,0.3182,9,49.92,0.998,2.04,3.085
60.0,10,1.5017,0.5128,8,2,0.3291,0.0628,8,12.986,0.566,-1.857,46.38,1.868,2.138,7.526,1.222,2.7727,0.1995,6,1.2675,0.175,9,60.0,1.0,1.58,2.93
70.0,5,1.4819,0.7524,5,0,0.3704,0.0153,5,13.792,0.258,-1.352,49.183,1.431,1.994,8.851,1.193,2.6847,0.3241,5,1.1628,0.439,5,70.05,1.001,1.67,2.775
80.0,5,1.8253,0.3565,5,0,0.7398,0.0577,5,13.889,0.165,-0.788,49.739,1.015,2.256,7.649,1.354,2.6119,0.2776,5,1.3817,0.1243,5,80.0,1.0,1.62,2.62
90.0,5,1.9865,0.4616,5,0,0.7242,0.0403,5,13.658,0.152,0.428,44.955,0.965,1.871,7.125,1.264,2.4141,0.2688,5,1.2141,0.1473,5,89.95,0.999,1.53,2.465
100.0,5,2.3083,0.0321,4,1,1.3327,0.2105,4,12.91,0.097,1.231,42.784,0.947,1.295,5.663,1.139,3.2478,0.0152,3,0.636,0.0572,5,99.95,1.0,1.78,1.5
110.0,5,2.4136,0.0947,4,1,1.2742,0.0144,4,12.807,0.029,0.969,40.723,0.921,1.243,4.41,1.573,nan,nan,0,0.7238,0.0878,5,100.65,0.915,1.83,2.0
