freq_hz,n_repeats,rot_median_deg,rot_mad_deg,n_modal,modal_frac,modal_mean_deg,modal_sd_deg,n_outlier,rot_mean_deg,rot_var_deg2,rot_sd_deg,rot_sem_deg,rate_relu_med,rate_relu_mad,relu_lag_ms,rate_fit_med,rate_fit_mad,rate_mean_deg_s,rate_var,rate_sd_deg_s,n_rate,rotation_deg,sem_deg,sigma,t10_s,t90_s,rate_jump_deg_s,period_s,zeta,n_precondition_fail
10.0,9,16.176,9.955,7,0.778,13.08,5.298,0,18.117,121.7261,11.033,3.678,442.701,239.919,75.5,87.998,69.064,270.67,34026.054,184.462,7,14.056,3.1182,4.5,0.0,0.16,97.084,nan,1.453,0
20.0,10,41.853,20.571,5,0.5,40.307,10.171,1,53.218,1583.8185,39.797,12.585,1112.241,313.26,47.0,108.921,141.459,834.029,223471.068,472.727,5,47.838,12.0104,4.0,0.0,0.62,159.896,nan,1.574,0
30.0,9,21.455,8.014,7,0.778,18.753,6.918,1,30.451,798.9436,28.266,9.422,553.704,169.715,18.2,97.371,39.626,262.366,37577.093,193.848,7,30.131,9.0983,3.3,0.0,0.17,135.075,nan,1.017,0
40.0,9,30.964,6.692,7,0.778,29.016,3.031,1,42.046,1074.2277,32.775,10.925,546.265,161.64,37.8,168.967,41.464,389.653,180283.781,424.598,7,41.789,10.8917,3.8,0.0,0.26,167.858,nan,1.61,0
50.0,7,29.764,17.006,5,0.714,28.823,9.72,0,30.951,405.5039,20.137,7.611,650.912,365.678,22.1,155.914,41.641,323.757,13093.526,114.427,5,30.774,7.4406,4.1,0.0,0.11,169.555,nan,1.253,0
60.0,8,35.09,14.771,6,0.75,32.964,8.931,1,45.086,731.4836,27.046,9.562,632.925,161.788,31.4,197.04,71.278,236.696,551.985,23.494,6,44.786,9.3034,4.8,0.0,0.12,244.556,nan,1.421,0
70.0,9,36.382,6.401,6,0.667,35.989,6.334,2,44.477,201.2738,14.187,4.729,984.051,213.663,40.7,229.792,16.096,357.452,9685.471,98.415,6,44.165,4.6344,9.5,0.0,0.1,305.877,nan,1.367,0
80.0,14,41.622,5.156,14,1.0,40.034,6.092,0,40.034,37.114,6.092,1.628,1391.222,442.474,28.7,258.542,42.115,511.019,47943.301,218.96,14,39.812,1.6376,24.3,0.0,0.1,266.518,nan,1.75,0
90.0,5,48.17,38.31,2,0.4,40.995,10.148,0,57.617,1062.2574,32.592,14.576,1382.566,672.754,64.0,347.975,126.698,268.607,25374.855,159.295,2,57.81,14.4168,4.0,0.0,0.63,191.769,1.9418,0.454,1
100.0,4,33.719,9.344,3,0.75,30.523,6.304,0,38.255,265.6155,16.298,8.149,899.404,28.455,27.3,209.331,24.8,390.184,55665.782,235.936,3,37.319,8.0075,4.7,0.0,0.06,257.047,nan,1.455,0
110.0,6,29.025,6.049,5,0.833,29.265,4.635,1,24.298,165.2389,12.855,5.248,636.256,220.127,38.9,219.728,28.785,297.93,18495.946,136.0,5,23.821,5.3193,4.5,0.0,0.11,172.494,0.3663,0.196,1
