freq_hz,repeat,take,rate_relu_deg_s,amp_deg,modal
10.0,1,2026-09-10_231937,nan,33.97722884640336,False
10.0,2,2026-09-10_232052,nan,18.38640926226895,True
10.0,3,2026-09-10_232207,nan,-4.0833841791480046,False
10.0,4,2026-09-10_232322,nan,18.863976728818802,True
10.0,5,2026-09-10_232437,442.70070588582564,16.17581023147909,True
10.0,6,2026-09-10_232552,nan,7.107323983788492,True
10.0,7,2026-09-10_232707,nan,-9.928512167962147,False
10.0,8,2026-09-10_232821,383.3440916932887,37.51459600981654,False
10.0,9,2026-09-10_232935,nan,6.430367301890257,True
10.0,10,2026-09-10_233050,280.87781078949155,15.136101264490893,True
20.0,1,2026-09-10_233458,900.9499218157798,53.6567688174977,True
20.0,2,2026-09-10_233614,928.4515408810222,145.925150746095,False
20.0,3,2026-09-10_233731,1118.3655650191529,25.906473862993487,False
20.0,4,2026-09-10_233848,1668.6676962550387,48.68388840412317,True
20.0,5,2026-09-10_234005,nan,58.3789938855857,False
20.0,6,2026-09-10_234123,nan,33.16404610398374,True
20.0,7,2026-09-10_234240,nan,7.664446681444641,False
20.0,8,2026-09-10_234357,nan,-10.478654465590267,False
20.0,9,2026-09-10_234514,2088.247957595429,92.7747840823922,False
20.0,10,2026-09-10_234631,nan,-10.37744814490991,False
30.0,1,2026-09-10_235039,nan,7.296191549890646,True
30.0,2,2026-09-10_235201,217.46712529705962,17.27179580664516,True
30.0,3,2026-09-10_235322,nan,-68.41303238533655,False
30.0,4,2026-09-10_235441,nan,0.055890331665231274,False
30.0,5,2026-09-10_235603,nan,-7.648845089934119,False
30.0,6,2026-09-10_235725,nan,12.943548459723097,True
30.0,7,2026-09-10_235854,668.1759443847076,25.495345582867238,True
30.0,8,2026-09-11_000015,nan,20.501402704448715,True
30.0,9,2026-09-11_000135,290.75802191751615,19.95005443280849,True
30.0,10,2026-09-11_000256,553.7044742132415,21.455282771128836,True
40.0,1,2026-09-11_000523,489.814566871927,26.002254865396054,True
40.0,2,2026-09-11_000651,nan,-27.805981361298528,False
40.0,3,2026-09-11_000819,1153.0288271376269,47.715576731052096,False
40.0,5,2026-09-11_001115,988.7319379268699,33.31404786577554,True
40.0,6,2026-09-11_001243,nan,-0.22969514406994918,False
40.0,7,2026-09-11_001452,546.2654050334597,30.9644973647592,True
40.0,8,2026-09-11_001632,437.24097276722523,31.932334599482772,True
40.0,9,2026-09-11_001802,290.7945418994004,26.16245619499929,True
40.0,10,2026-09-11_001935,nan,1.664360100726472,False
50.0,2,2026-09-11_002534,nan,-6.859086008121343,True
50.0,3,2026-09-11_002719,nan,-11.751885246757729,True
50.0,4,2026-09-11_002905,nan,-7.169316264410575,True
50.0,6,2026-09-11_003240,nan,-1.144742487064752,True
50.0,7,2026-09-11_003426,nan,0.3541866287480089,True
50.0,8,2026-09-11_003613,nan,4.840064954375656,True
50.0,9,2026-09-11_003756,391.6984930758607,21.44836986217451,False
60.0,2,2026-09-11_004555,nan,5.218437073610737,True
60.0,3,2026-09-11_004754,467.53210190681466,57.008610756936086,False
60.0,4,2026-09-11_005030,657.6111014962853,31.290734098861297,False
60.0,5,2026-09-11_005226,nan,5.026619392819766,True
60.0,7,2026-09-11_005630,nan,0.03179871973194914,True
70.0,1,2026-09-11_010650,nan,-1.3707352376578752,False
70.0,2,2026-09-11_010925,nan,-0.08109473475125428,False
70.0,3,2026-09-11_011205,2649.735440036464,53.298597567673234,True
70.0,4,2026-09-11_011451,nan,-0.2574488677966447,False
70.0,5,2026-09-11_011745,2793.0909333257546,62.952421333402285,True
70.0,6,2026-09-11_012032,1760.1497134687095,48.53412532499649,True
70.0,7,2026-09-11_012306,2255.941848004357,68.10252707418866,False
