freq_hz,take,t_kill,fs_hz,swing_deg,n0_x,n0_y,n0_z,nf_x,nf_y,nf_z,radial0_deg,azim0_deg,radialf_deg,azimf_deg,d_radial_deg,d_azim_deg,spread0_deg,spreadf_deg,settle_10pct_s,settle_band_s,perp_max_deg,rise_1090_s,t10_s,t90_s,tail_max_deg,tail_over_band,cone_pre_deg,cone_post_deg,cone_peak_deg,cone_t_peak_s,cone_final_deg,cone_settle_s,cone_tau_s,cone_asym_deg,cone_note,cone_hz,cone_amp_deg,cone_measured,circ_ratio,mech_hz,mech_measured,n_pre,n_post,note,spin_stop_s
10.0,2026-09-10_231937,1132545.882,230.0,2.75,-0.365564,-0.755675,0.543432,-0.367212,-0.781506,0.504385,1.95,246.783,1.584,148.444,-0.365,-98.339,7.077,4.22,,,1.943,,,,,,4.669,4.168,10.169,0.0633,6.664,,0.6091,6.111,the envelope is still moving 2.61 deg at the end of the window against a 0.35 deg band -- still decaying,9.7,2.263,1,4.37,3.16,1,210,519,swing 2.7 deg below the 5 deg floor,
10.0,2026-09-10_232052,1132620.646,228.8,175.773,0.367998,0.748907,-0.551104,0.365518,0.784746,-0.500569,7.595,87.92,4.253,100.139,-3.341,12.219,8.286,3.995,,0.0,1.973,,,,179.966,10.239,5.233,3.96,8.903,0.0039,6.292,,0.1184,6.231,the envelope is still moving 1.50 deg at the end of the window against a 0.26 deg band -- still decaying,10.05,4.176,1,2.2,3.705,0,208,524,tail still wanders 179.97 deg against a 17.58 deg band -- no settled state to time,
10.0,2026-09-10_232207,1132695.771,232.2,3.714,0.373145,0.746298,-0.551182,0.359922,0.787257,-0.500683,8.605,123.726,7.703,150.036,-0.902,26.31,6.368,3.548,,5.7859,1.82,,,,,,4.875,3.859,9.839,0.0195,5.562,,0.0839,5.812,the envelope is still moving 1.70 deg at the end of the window against a 0.43 deg band -- still decaying,10.0,,0,1.84,3.705,0,211,518,swing 3.7 deg below the 5 deg floor,
10.0,2026-09-10_232322,1132770.906,244.9,4.123,-0.392088,-0.741143,0.544953,-0.359081,-0.787905,0.500267,5.716,111.627,5.64,154.676,-0.076,43.049,6.917,3.496,,,1.651,,,,,,4.872,3.777,7.961,0.0367,5.639,,1.5724,5.705,the envelope is still moving 1.53 deg at the end of the window against a 0.23 deg band -- still decaying,10.0,,0,2.2,2.36,1,205,512,swing 4.1 deg below the 5 deg floor,
10.0,2026-09-10_232437,1132845.855,230.8,3.747,-0.37171,-0.749056,0.548404,-0.357782,-0.788878,0.499664,9.381,120.319,8.245,143.461,-1.136,23.142,5.872,3.892,,5.699,1.765,,,,,,4.343,3.777,7.899,0.9859,6.221,,0.0876,5.806,the envelope is still moving 1.53 deg at the end of the window against a 0.17 deg band -- still decaying,10.0,,0,1.58,3.705,0,208,513,swing 3.7 deg below the 5 deg floor,23.9
10.0,2026-09-10_232552,1132920.954,229.3,3.589,0.369886,0.747699,-0.551481,0.364737,0.784896,-0.500904,8.224,114.743,6.298,139.295,-1.927,24.552,8.554,3.724,,5.8645,1.815,,,,,,5.156,3.876,8.861,0.043,5.93,,0.1291,5.903,the envelope is still moving 1.69 deg at the end of the window against a 0.29 deg band -- still decaying,10.0,,0,2.16,3.705,0,210,521,swing 3.6 deg below the 5 deg floor,
10.0,2026-09-10_232821,1133069.246,230.6,3.831,-0.383208,-0.744575,0.546589,-0.364116,-0.786843,0.498295,4.83,81.655,2.052,131.389,-2.778,49.734,5.906,4.0,,,1.455,,,,,,3.902,3.922,7.532,0.0001,6.212,,0.104,6.125,the envelope is still moving 1.14 deg at the end of the window against a 0.13 deg band -- still decaying,10.1,2.369,1,1.4,3.705,0,210,518,swing 3.8 deg below the 5 deg floor,
10.0,2026-09-10_232935,1133143.835,231.5,3.57,-0.386196,-0.743076,0.546526,-0.369625,-0.782627,0.500872,12.323,107.911,10.48,123.589,-1.843,15.679,6.005,4.321,,,1.972,,,,,,5.574,4.1,8.167,0.022,6.843,,,,the envelope is still moving 1.88 deg at the end of the window against a 0.13 deg band -- still decaying,10.05,4.173,1,5.91,3.705,0,208,523,swing 3.6 deg below the 5 deg floor,
10.0,2026-09-10_233050,1133218.818,231.3,3.752,0.387208,0.741706,-0.54767,0.36715,0.784242,-0.500165,7.123,97.887,5.019,128.993,-2.104,31.106,5.928,3.745,,,1.798,,,,,,5.111,3.817,7.597,1.3832,5.827,,,,the envelope is still moving 1.70 deg at the end of the window against a 0.18 deg band -- still decaying,10.0,,0,4.2,5.98,1,205,519,swing 3.8 deg below the 5 deg floor,
20.0,2026-09-10_233458,1133468.995,225.9,6.086,-0.364612,-0.724944,0.584392,-0.323339,-0.793984,0.514821,1.534,9.4,5.06,243.001,3.525,-126.399,2.691,1.937,4.2713,4.4197,1.073,,,,0.602,0.99,4.868,3.42,6.939,0.0018,3.952,,0.4315,4.041,the envelope is still moving 0.51 deg at the end of the window against a 0.30 deg band -- still decaying,20.05,3.272,1,5.74,3.55,0,210,524,rise 0.205 s is inside the 0.249 s smoother -- not measurable,17.2
