freq_hz,n_repeats,settle_10pct_med_s,settle_10pct_mad_s,n_settled,n_refused,rise_1090_med_s,rise_1090_mad_s,n_rise,swing_med_deg,swing_mad_deg,d_radial_med_deg,d_azim_med_deg,cone_pre_med_deg,cone_post_med_deg,cone_peak_med_deg,cone_final_med_deg,cone_settle_med_s,cone_settle_mad_s,n_cone_settled,cone_tau_med_s,cone_tau_mad_s,n_cone_tau,cone_med_hz,cone_over_drive,circ_ratio_med,mech_med_hz
10.0,9,nan,nan,0,9,nan,nan,0,3.747,0.158,-1.843,24.552,4.875,3.876,8.167,6.212,nan,nan,0,0.1184,0.0308,7,10.0,1.0,2.2,3.705
20.0,10,3.0469,0.8219,4,6,0.8762,0.0,1,5.814,0.24,-1.084,56.032,4.787,3.962,6.379,4.481,3.2786,0.0,1,0.2927,0.0941,9,20.0,1.0,9.85,3.55
30.0,9,0.8168,0.2912,6,3,0.4666,0.2096,2,7.098,0.098,-0.494,25.132,1.722,2.0,5.116,2.039,nan,nan,0,0.636,0.1007,9,29.95,0.998,4.35,3.395
40.0,10,0.6086,0.1325,6,4,nan,nan,0,8.411,0.552,-0.276,29.643,0.976,1.549,5.867,1.479,2.3016,0.3156,10,0.7398,0.0938,10,50.55,1.264,1.85,3.24
50.0,10,0.9172,0.3842,8,2,0.4532,0.0583,4,9.609,1.264,1.091,26.71,0.682,1.444,6.5,1.177,2.5512,0.3184,10,0.9581,0.062,10,50.05,1.001,2.68,3.085
60.0,9,1.1061,0.2076,7,2,0.7168,0.3642,2,10.283,0.44,1.093,32.094,0.798,1.793,8.296,1.291,3.183,0.1919,9,1.1138,0.092,9,60.0,1.0,2.09,2.93
70.0,10,1.0752,0.2318,8,2,0.3202,0.0445,5,10.988,0.162,1.519,43.402,0.722,1.789,9.159,1.252,2.8018,0.2332,10,1.3234,0.1094,10,68.25,0.975,2.1,2.775
80.0,14,1.1168,0.1368,14,0,0.4988,0.135,3,11.692,0.319,2.277,42.283,0.735,2.184,9.971,1.395,3.0102,0.2354,14,1.2675,0.085,14,80.0,1.0,1.94,2.62
90.0,5,1.6717,0.356,3,2,0.29,0.0,1,11.675,0.252,1.297,-22.844,0.796,2.995,9.968,2.357,2.9713,0.0,1,1.4425,0.0635,3,90.0,1.0,1.57,2.465
100.0,5,1.8302,0.0407,5,0,0.2906,0.0195,4,10.5,0.122,4.044,36.568,0.875,2.088,7.444,2.141,1.9495,0.0857,3,0.7557,0.0917,5,50.15,0.501,1.59,2.31
110.0,6,3.3285,0.4283,3,3,0.7331,0.0047,3,9.841,0.146,1.369,29.39,0.865,1.89,6.069,1.956,3.7596,0.0,1,0.5127,0.2762,5,55.02,0.5,1.74,2.155
