freq_hz,repeat,take,p_pos,p_neg,log_ratio,sense,n,ramp_log_ratio,ramp_sense,ramp_n,swing_deg,modal,amp_deg
10.0,1,2026-09-10_231937,0.02773,0.03917,-0.15,-,398,,,0,2.75,False,33.97722884640336
10.0,2,2026-09-10_232052,0.04757,0.03716,0.11,+,400,,,0,175.773,True,18.38640926226895
10.0,3,2026-09-10_232207,0.04363,0.02064,0.33,+,397,,,0,0.485,False,-4.0833841791480046
10.0,4,2026-09-10_232322,0.04551,0.01879,0.38,+,390,,,0,4.123,True,18.863976728818802
10.0,5,2026-09-10_232437,0.04102,0.01062,0.59,+,359,,,0,3.747,True,16.17581023147909
10.0,6,2026-09-10_232552,0.04371,0.01801,0.39,+,400,,,0,3.589,True,7.107323983788492
10.0,7,2026-09-10_232707,0.03132,0.01562,0.3,+,397,,,0,44.701,False,-9.928512167962147
10.0,8,2026-09-10_232821,0.04881,0.03517,0.14,+,400,,,0,3.831,False,37.51459600981654
10.0,9,2026-09-10_232935,0.05348,0.01761,0.48,+,392,,,0,3.57,True,6.430367301890257
10.0,10,2026-09-10_233050,0.03837,0.02632,0.16,+,396,,,0,3.752,True,15.136101264490893
20.0,1,2026-09-10_233458,0.05357,0.00771,0.84,+,394,0.44,+,415,6.086,True,53.6567688174977
20.0,2,2026-09-10_233614,0.00889,0.07746,-0.94,-,397,-0.26,-,417,31.099,False,145.925150746095
20.0,3,2026-09-10_233731,0.06369,0.01711,0.57,+,400,0.54,+,415,5.566,False,25.906473862993487
20.0,4,2026-09-10_233848,0.055,0.00957,0.76,+,399,0.6,+,417,5.901,True,48.68388840412317
20.0,5,2026-09-10_234005,0.0487,0.00552,0.95,+,399,0.48,+,416,5.685,False,58.3789938855857
20.0,6,2026-09-10_234123,0.06595,0.02209,0.47,+,400,0.78,+,414,5.641,True,33.16404610398374
20.0,7,2026-09-10_234240,0.03702,0.01793,0.31,+,400,0.44,+,419,6.409,False,7.664446681444641
20.0,8,2026-09-10_234357,0.05459,0.01255,0.64,+,398,0.45,+,417,0.641,False,-10.478654465590267
20.0,9,2026-09-10_234514,0.04775,0.01282,0.57,+,398,0.48,+,419,5.727,False,92.7747840823922
20.0,10,2026-09-10_234631,0.04812,0.00736,0.82,+,396,0.58,+,415,0.551,False,-10.37744814490991
30.0,1,2026-09-10_235039,0.0133,0.00746,0.25,+,398,0.5,+,787,7.076,True,7.296191549890646
30.0,2,2026-09-10_235201,0.01788,0.00832,0.33,+,398,0.49,+,790,6.703,True,17.27179580664516
30.0,3,2026-09-10_235322,0.01778,0.0094,0.28,+,399,0.31,+,801,6.44,False,-68.41303238533655
30.0,4,2026-09-10_235441,0.00957,0.00304,0.5,+,379,0.28,+,285,0.217,False,0.055890331665231274
30.0,5,2026-09-10_235603,0.01784,0.00778,0.36,+,398,0.2,+,398,0.491,False,-7.648845089934119
30.0,7,2026-09-10_235854,0.01336,0.00695,0.28,+,402,0.4,+,798,7.143,True,25.495345582867238
30.0,8,2026-09-11_000015,0.01164,0.00647,0.25,+,396,0.45,+,799,6.817,True,20.501402704448715
30.0,9,2026-09-11_000135,0.01447,0.00854,0.23,+,385,0.48,+,795,7.0,True,19.95005443280849
