freq_hz,repeat,take,rate_relu_deg_s,amp_deg,modal
20.0,1,2026-09-12_182210,170.48867295054416,25.8212729553134,False
20.0,4,2026-09-12_182903,748.93818636842,18.818218945308082,False
20.0,5,2026-09-12_183007,1296.8563553533118,60.764086731338494,False
20.0,6,2026-09-12_183103,1068.74803797312,43.54985788133088,True
20.0,7,2026-09-12_183200,nan,5.2625096198263766,False
20.0,9,2026-09-12_183359,1901.8306715911501,53.755245735039686,True
20.0,10,2026-09-12_183455,nan,43.378794842310754,True
20.0,11,2026-09-13_143324,1752.61187806132,25.381177526838517,False
20.0,12,2026-09-13_143442,919.0491534111299,89.4340328620969,False
20.0,13,2026-09-13_143601,1486.7174041523401,146.37804242773632,False
50.0,1,2026-09-12_183613,688.9071253759712,28.51186962322202,True
50.0,2,2026-09-12_183719,1249.1175330177055,32.80833139008026,True
50.0,4,2026-09-12_183933,1106.9338456608511,42.14217555566661,True
50.0,5,2026-09-12_184039,582.4481612585756,25.79313897740623,True
50.0,6,2026-09-12_184155,1143.8414998923017,40.27353845825333,True
50.0,7,2026-09-12_184301,892.1049947077831,34.99052638229165,True
50.0,9,2026-09-12_184515,761.7398156918213,31.648801553263926,True
50.0,10,2026-09-12_184621,1060.3018973089042,34.26335100049388,True
50.0,11,2026-09-13_144817,nan,101.52740755291798,False
