freq_hz,take,t_kill,fs_hz,swing_deg,n0_x,n0_y,n0_z,nf_x,nf_y,nf_z,radial0_deg,azim0_deg,radialf_deg,azimf_deg,d_radial_deg,d_azim_deg,spread0_deg,spreadf_deg,settle_10pct_s,settle_band_s,perp_max_deg,rise_1090_s,t10_s,t90_s,tail_max_deg,tail_over_band,cone_pre_deg,cone_post_deg,cone_peak_deg,cone_t_peak_s,cone_final_deg,cone_settle_s,cone_tau_s,cone_asym_deg,cone_note,cone_hz,cone_amp_deg,cone_measured,circ_ratio,mech_hz,mech_measured,n_pre,n_post,note,spin_stop_s
20.0,2026-09-12_182903,1956.244,232.4,6.228,0.516457,-0.75689,-0.400488,0.449257,-0.823016,-0.34758,13.911,164.965,11.215,138.951,-2.696,-26.014,1.933,1.836,,2.1954,1.588,,,,0.815,1.309,3.902,4.046,6.752,0.144,4.537,,0.3958,4.494,the envelope is still moving 0.42 deg at the end of the window against a 0.22 deg band -- still decaying,20.1,3.367,1,3.44,3.55,0,211,527,tail still wanders 0.82 deg against a 0.62 deg band -- no settled state to time,18.1
20.0,2026-09-12_183007,2019.464,231.3,6.431,-0.51802,0.753916,0.404062,-0.448567,0.823377,0.347618,4.655,197.195,5.04,281.28,0.385,84.085,1.964,1.983,,0.9665,0.916,,,,0.716,1.114,4.493,4.092,6.447,0.3307,4.576,,0.5353,4.489,the envelope is still moving 0.86 deg at the end of the window against a 0.19 deg band -- still decaying,19.9,3.659,1,2.51,3.55,0,208,516,tail still wanders 0.72 deg against a 0.64 deg band -- no settled state to time,16.8
20.0,2026-09-12_183103,2075.64,232.9,7.837,-0.539067,0.740014,0.402226,-0.445861,0.824208,0.349125,9.56,195.238,6.536,249.658,-3.024,54.42,1.706,1.805,,2.1102,2.435,,,,1.149,1.466,3.355,3.699,5.163,1.1324,4.236,,,,"the cut moved the cone by 0.93 deg, under the 1.0 deg floor -- no decay to time",20.0,1.939,1,3.37,3.55,0,211,522,tail still wanders 1.15 deg against a 0.78 deg band -- no settled state to time,17.2
20.0,2026-09-12_183359,2251.731,233.2,6.188,-0.519532,0.753861,0.402219,-0.450866,0.821698,0.348615,6.384,183.608,4.016,254.521,-2.368,70.912,1.962,2.404,,5.3662,0.917,,,,0.881,1.425,4.593,4.546,6.794,0.9125,4.825,,0.1986,5.037,the envelope is still moving 1.62 deg at the end of the window against a 0.20 deg band -- still decaying,20.0,3.875,1,3.03,3.55,0,210,525,tail still wanders 0.88 deg against a 0.62 deg band -- no settled state to time,
20.0,2026-09-12_183455,2307.859,243.1,6.205,-0.518193,0.755502,0.400866,-0.452537,0.821932,0.345888,1.213,211.187,5.778,316.672,4.565,105.486,1.845,1.967,3.9283,3.353,0.843,,,,0.597,0.961,4.49,4.379,6.263,0.2359,4.819,,0.5588,4.905,the envelope is still moving 0.51 deg at the end of the window against a 0.14 deg band -- still decaying,20.0,4.168,1,2.55,3.55,0,208,516,rise 0.225 s is inside the 0.250 s smoother -- not measurable,
20.0,2026-09-13_143324,74216.333,227.1,6.246,0.515007,-0.756173,-0.403695,0.449668,-0.821982,-0.349492,7.351,206.931,7.015,257.739,-0.337,50.807,2.195,2.325,,2.9432,1.311,,,,1.329,2.127,4.442,4.403,6.755,0.0161,4.971,,0.1086,4.957,the envelope is still moving 1.95 deg at the end of the window against a 0.18 deg band -- still decaying,20.05,3.717,1,3.23,2.9,1,127,522,tail still wanders 1.33 deg against a 0.62 deg band -- no settled state to time,17.0
20.0,2026-09-13_143442,74294.785,231.9,31.653,0.186449,-0.969676,-0.158002,0.29847,-0.71766,-0.62919,26.271,318.239,12.919,61.709,-13.352,103.47,2.414,2.66,1.862,1.8581,8.791,0.841,-0.0003,0.8407,1.069,0.338,8.52,7.957,15.756,0.6824,7.575,3.8058,0.8237,7.549,,20.05,6.703,1,6.84,3.55,0,211,525,,
20.0,2026-09-13_143601,74374.057,229.9,31.574,-0.186066,0.969882,0.157188,-0.291178,0.72069,0.629144,20.109,292.517,11.545,103.629,-8.564,171.112,2.541,2.61,1.9032,1.9032,8.85,0.8123,0.0554,0.8678,0.924,0.293,8.27,7.674,14.489,0.5639,7.416,,0.5834,7.602,the envelope is still moving 0.74 deg at the end of the window against a 0.71 deg band -- still decaying,20.0,7.345,1,5.4,3.55,0,211,527,,24.7
50.0,2026-09-12_183613,2394.314,230.1,9.887,-0.587306,0.706718,0.394488,-0.516053,0.810849,0.276067,20.243,189.152,18.129,219.011,-2.114,29.859,0.542,0.617,,0.092,2.328,,,,0.249,0.252,1.092,1.367,6.834,0.2276,1.063,2.6907,0.9374,1.035,,76.8,0.343,1,1.13,3.085,0,211,523,settle 0.107 s is inside the 0.247 s smoother -- not measurable,16.1
50.0,2026-09-12_183719,2460.111,230.4,9.721,0.586738,-0.707648,-0.393665,0.511224,-0.811624,-0.282695,17.523,184.949,14.38,219.122,-3.143,34.173,0.544,0.819,,0.0802,2.261,,,,0.436,0.449,0.907,1.728,7.19,0.2158,1.494,2.2943,0.9374,1.385,,50.0,,0,3.08,3.085,0,212,526,settle 0.096 s is inside the 0.240 s smoother -- not measurable,16.1
50.0,2026-09-12_183933,2594.188,235.3,10.077,-0.585053,0.709512,0.392817,-0.50704,0.81615,0.277145,14.173,192.425,12.876,236.196,-1.297,43.771,0.592,0.894,,0.0956,2.171,,,,0.543,0.539,0.838,2.005,7.31,0.2323,1.798,2.3171,0.8978,1.731,,50.0,,0,2.47,3.88,1,211,522,settle 0.100 s is inside the 0.240 s smoother -- not measurable,16.2
