freq_hz,repeat,take,p_pos,p_neg,log_ratio,sense,n,ramp_log_ratio,ramp_sense,ramp_n,swing_deg,modal,amp_deg
20.0,3,2026-09-12_182807,0.07893,0.02326,0.53,+,398,,,0,2.346,False,-19.679841060598953
20.0,4,2026-09-12_182903,0.01798,0.04566,-0.4,-,399,-0.56,-,410,6.228,True,18.818218945308082
20.0,5,2026-09-12_183007,0.04859,0.01563,0.49,+,394,0.44,+,410,6.431,False,60.764086731338494
20.0,6,2026-09-12_183103,0.03484,0.01867,0.27,+,399,,,0,7.837,False,43.54985788133088
20.0,8,2026-09-12_183302,0.05189,0.0111,0.67,+,396,0.28,+,228,0.336,False,3.3054559035966626
20.0,9,2026-09-12_183359,0.04718,0.01576,0.48,+,400,0.5,+,418,6.188,False,53.755245735039686
20.0,10,2026-09-12_183455,0.05294,0.01673,0.5,+,393,0.51,+,408,6.205,False,43.378794842310754
50.0,1,2026-09-12_183613,0.00462,0.00462,0.0,+,398,0.49,+,623,9.887,True,28.51186962322202
50.0,2,2026-09-12_183719,0.00522,0.00477,0.04,+,398,0.37,+,641,9.721,True,32.80833139008026
50.0,4,2026-09-12_183933,0.00787,0.00673,0.07,+,401,0.35,+,612,10.077,True,42.14217555566661
50.0,5,2026-09-12_184039,0.00666,0.0059,0.05,+,400,0.56,+,636,10.022,True,25.79313897740623
50.0,6,2026-09-12_184155,0.00319,0.00232,0.14,+,397,0.32,+,640,0.158,False,-2.6224084179647056
50.0,7,2026-09-12_184301,0.00654,0.0037,0.25,+,399,0.57,+,636,9.392,True,34.99052638229165
50.0,9,2026-09-12_184515,0.00849,0.00715,0.07,+,339,0.04,+,639,0.159,False,-0.24232607598161504
50.0,10,2026-09-12_184621,0.00811,0.00619,0.12,+,391,0.47,+,644,9.539,True,34.26335100049388
