freq_hz,take,t_kill,fs_hz,swing_deg,n0_x,n0_y,n0_z,nf_x,nf_y,nf_z,radial0_deg,azim0_deg,radialf_deg,azimf_deg,d_radial_deg,d_azim_deg,spread0_deg,spreadf_deg,settle_10pct_s,settle_band_s,perp_max_deg,rise_1090_s,t10_s,t90_s,tail_max_deg,tail_over_band,cone_pre_deg,cone_post_deg,cone_peak_deg,cone_t_peak_s,cone_final_deg,cone_settle_s,cone_tau_s,cone_asym_deg,cone_note,cone_hz,cone_amp_deg,cone_measured,circ_ratio,mech_hz,mech_measured,n_pre,n_post,note,spin_stop_s
10.0,2026-09-14_092327,117921.97,226.1,7.579,-0.488245,0.739334,0.463684,-0.433139,0.791995,0.430272,29.028,111.078,30.37,101.83,1.342,-9.248,19.808,16.597,,,87.422,,,,178.43,235.436,23.788,15.33,34.667,0.3203,22.409,,0.2572,21.184,the envelope is still moving 11.71 deg at the end of the window against a 1.23 deg band -- still decaying,10.0,,0,1.15,1.56,1,210,527,tail still wanders 178.43 deg against a 0.76 deg band -- no settled state to time,
10.0,2026-09-14_092439,117994.502,232.2,156.486,-0.562944,0.748577,0.350325,-0.411684,0.805705,0.425858,31.23,130.32,23.194,116.275,-8.036,-14.045,15.796,11.757,,,85.397,,,,177.152,11.321,17.253,14.041,39.976,1.4261,14.448,,1.3234,12.909,the envelope is still moving 7.70 deg at the end of the window against a 2.55 deg band -- still decaying,10.0,,0,1.43,1.5,1,198,524,tail still wanders 177.15 deg against a 15.65 deg band -- no settled state to time,
10.0,2026-09-14_092552,118067.383,232.1,30.739,0.516362,-0.757261,-0.399908,0.433778,-0.723153,-0.537481,23.343,220.298,27.563,240.01,4.22,19.711,18.521,17.948,,,71.883,,,,179.481,58.388,23.839,18.443,39.572,1.3683,26.042,,0.664,27.279,the envelope is still moving 17.35 deg at the end of the window against a 1.35 deg band -- still decaying,13.5,7.334,1,1.44,2.0,1,210,524,tail still wanders 179.48 deg against a 3.07 deg band -- no settled state to time,
10.0,2026-09-14_092705,118139.766,232.7,19.078,-0.357564,0.845746,0.396058,-0.304885,0.777106,0.550592,15.666,219.26,22.267,243.547,6.6,24.287,20.278,20.703,,,85.634,,,,179.522,94.098,26.517,21.169,46.561,0.2578,27.188,,0.7889,27.681,the envelope is still moving 11.09 deg at the end of the window against a 1.94 deg band -- still decaying,10.0,,0,1.29,1.58,1,211,526,tail still wanders 179.52 deg against a 1.91 deg band -- no settled state to time,22.2
10.0,2026-09-14_092817,118212.558,232.9,6.21,0.518132,-0.762706,-0.387064,0.453097,-0.831129,-0.322379,19.702,213.335,19.407,233.002,-0.296,19.666,2.691,2.222,,5.5938,1.609,,,,1.22,1.964,5.408,4.464,5.791,0.0003,5.215,,,,"the cut moved the cone by 0.58 deg, under the 1.0 deg floor -- no decay to time",10.05,3.888,1,40.95,1.94,1,209,525,tail still wanders 1.22 deg against a 0.62 deg band -- no settled state to time,15.9
10.0,2026-09-14_092930,118285.183,230.0,168.506,0.551541,-0.782846,-0.288019,0.419554,-0.803238,-0.422827,37.274,235.729,27.029,242.747,-10.245,7.018,16.118,13.273,,,72.498,,,,179.894,10.676,15.131,12.397,25.385,0.4594,17.637,,,,the envelope is still moving 8.74 deg at the end of the window against a 0.77 deg band -- still decaying,10.0,,0,1.53,1.58,1,208,523,tail still wanders 179.89 deg against a 16.85 deg band -- no settled state to time,
10.0,2026-09-14_093043,118357.968,231.6,6.026,-0.511481,0.767734,0.385968,-0.45349,0.831242,0.321534,22.467,182.57,19.231,197.376,-3.236,14.806,2.394,2.186,,,1.831,,,,1.804,2.994,5.115,4.173,6.263,0.2332,4.792,,0.6932,4.816,the envelope is still moving 0.67 deg at the end of the window against a 0.15 deg band -- still decaying,9.95,4.116,1,3.27,3.705,0,210,489,tail still wanders 1.80 deg against a 0.60 deg band -- no settled state to time,15.6
10.0,2026-09-14_093157,118432.348,231.7,6.913,-0.518406,0.761651,0.388772,-0.45311,0.832304,0.319314,22.178,225.067,23.335,242.459,1.157,17.392,2.7,2.273,,5.3038,1.904,,,,1.639,2.371,4.777,4.669,6.466,0.0911,5.295,,0.1236,5.246,the envelope is still moving 0.53 deg at the end of the window against a 0.12 deg band -- still decaying,10.4,2.837,1,10.22,2.12,1,194,525,tail still wanders 1.64 deg against a 0.69 deg band -- no settled state to time,15.8
10.0,2026-09-14_093310,118505.255,230.5,12.106,-0.493278,0.791479,0.360885,-0.397468,0.802556,0.444886,22.221,184.921,16.495,170.922,-5.726,-13.999,16.005,13.692,,,87.055,,,,179.881,148.587,17.063,12.541,35.659,0.2747,16.731,,0.1291,18.448,the envelope is still moving 9.19 deg at the end of the window against a 1.89 deg band -- still decaying,10.0,,0,1.59,1.5,1,209,510,tail still wanders 179.88 deg against a 1.21 deg band -- no settled state to time,
10.0,2026-09-14_093423,118577.992,231.5,6.525,-0.518424,0.762481,0.387118,-0.453231,0.833109,0.317034,24.952,130.602,26.601,115.341,1.649,-15.261,2.588,2.413,,5.8804,2.185,,,,2.013,3.085,4.572,4.249,6.092,0.2604,4.94,,,,the envelope is still moving 0.79 deg at the end of the window against a 0.12 deg band -- still decaying,10.0,3.634,1,6.37,3.705,0,209,526,tail still wanders 2.01 deg against a 0.65 deg band -- no settled state to time,15.6
20.0,2026-09-14_093547,118662.579,232.4,8.617,-0.56455,0.732232,0.380945,-0.486001,0.823885,0.291575,20.169,264.293,25.881,280.946,5.712,16.653,2.716,2.338,3.5025,3.5025,1.564,0.4649,-0.0532,0.4117,0.593,0.688,7.252,5.676,8.343,0.0556,6.103,,0.1184,6.084,the envelope is still moving 0.69 deg at the end of the window against a 0.22 deg band -- still decaying,19.95,6.117,1,4.42,4.26,1,211,526,,17.8
20.0,2026-09-14_093700,118735.846,230.4,8.717,0.566471,-0.729401,-0.383516,0.486542,-0.823817,-0.290864,14.045,246.695,18.727,273.879,4.682,27.184,3.549,2.538,,3.4561,1.339,,,,0.951,1.091,7.29,5.792,9.348,0.0967,6.239,,0.1986,6.304,the envelope is still moving 0.66 deg at the end of the window against a 0.31 deg band -- still decaying,20.0,6.047,1,4.74,1.5,1,210,526,tail still wanders 0.95 deg against a 0.87 deg band -- no settled state to time,21.4
20.0,2026-09-14_093814,118809.175,233.2,9.255,0.564777,-0.729435,-0.385943,0.480996,-0.827768,-0.288864,10.908,248.611,16.415,281.244,5.507,32.633,2.586,2.782,1.3672,0.7574,1.032,0.5411,-0.0661,0.4749,0.708,0.765,5.898,5.336,7.319,0.0679,6.088,,,,the envelope is still moving 0.83 deg at the end of the window against a 0.12 deg band -- still decaying,19.85,4.982,1,2.01,3.55,0,211,526,,21.5
20.0,2026-09-14_093926,118882.057,230.1,11.11,-0.577933,0.721808,0.380771,-0.506276,0.830471,0.232384,15.698,128.871,21.834,98.566,6.137,-30.305,3.826,2.74,,5.5768,2.586,,,,1.546,1.392,7.351,6.549,11.847,0.19,6.945,,0.4703,6.974,the envelope is still moving 1.33 deg at the end of the window against a 0.49 deg band -- still decaying,31.95,2.266,1,2.64,3.32,1,211,528,tail still wanders 1.55 deg against a 1.11 deg band -- no settled state to time,15.6
20.0,2026-09-14_094039,118954.999,230.6,19.736,-0.257928,0.476018,0.840761,-0.340291,0.714929,0.610802,24.367,259.499,5.822,227.28,-18.545,-32.219,4.505,1.983,0.9744,0.5685,2.965,0.251,-0.0751,0.1759,0.516,0.262,3.924,4.148,9.895,0.1274,4.301,,0.6932,4.329,the envelope is still moving 0.59 deg at the end of the window against a 0.56 deg band -- still decaying,20.0,,0,4.55,3.55,0,210,527,,21.4
20.0,2026-09-14_094152,119028.015,220.3,8.593,-0.562606,0.733509,0.381365,-0.487076,0.824441,0.28819,15.416,328.089,24.046,327.544,8.63,-0.545,2.856,2.207,3.792,0.8523,0.92,0.2529,-0.041,0.212,0.595,0.693,6.432,4.181,6.904,0.0153,4.646,,0.1672,4.782,the envelope is still moving 0.26 deg at the end of the window against a 0.23 deg band -- still decaying,19.95,5.754,1,30.1,3.55,0,209,527,,21.4
