metric,freq_hz,n_1,n_B,median_1_deg_s,median_B_deg_s,ratio_B_over_1,ratio_ci_lo,ratio_ci_hi,p_mannwhitney,p_bonferroni,differs
cone_tau_s,10.0,14,7,0.858,0.118,0.138,0.078,1.241,0.018732509331271678,0.1873250933127168,False
cone_tau_s,20.0,16,9,0.724,0.293,0.404,0.263,0.649,0.005047230693375494,0.05047230693375494,False
cone_tau_s,30.0,10,9,1.164,0.636,0.546,0.263,0.801,0.024618446098878553,0.24618446098878555,False
cone_tau_s,40.0,14,10,1.191,0.74,0.621,0.481,0.823,0.005836345838422125,0.058363458384221245,False
cone_tau_s,50.0,9,10,1.323,0.958,0.724,0.502,0.86,0.00886063400804926,0.0886063400804926,False
cone_tau_s,60.0,9,8,1.268,1.114,0.879,0.708,1.09,0.06566189847195228,0.6566189847195227,False
cone_tau_s,70.0,5,8,1.163,1.243,1.069,0.526,1.717,0.9411668996409498,1.0,False
cone_tau_s,80.0,5,14,1.382,1.268,0.917,0.678,1.067,0.30463777523804025,1.0,False
cone_tau_s,90.0,5,3,1.214,1.442,1.188,1.044,2.268,0.07192408201305016,0.7192408201305016,False
cone_tau_s,100.0,5,4,0.636,0.772,1.214,0.806,1.539,0.3892842730976598,1.0,False
