freq_hz,repeat,take,rate_relu_deg_s,amp_deg,modal
10.0,1,2026-09-09_205902,484.8842811253173,24.792291916843233,True
10.0,2,2026-09-09_210011,239.63366484945615,33.16936730710995,True
10.0,3,2026-09-09_210122,nan,1.9429481030999192,False
10.0,4,2026-09-09_210231,149.6863175433875,29.430812490881394,True
10.0,5,2026-09-09_210341,488.2328956657391,25.625972097891793,True
10.0,6,2026-09-10_004434,113.06564392909662,25.036912408101497,True
10.0,7,2026-09-10_004544,387.40442279262845,21.589105317274626,True
10.0,8,2026-09-10_004654,nan,-28.702511045771875,False
10.0,9,2026-09-10_004804,266.94622601503147,32.41620147346245,True
10.0,10,2026-09-10_004913,332.59329893737345,34.70076622632696,True
10.0,11,2026-09-10_052117,566.9475460254041,18.63599963504105,True
10.0,12,2026-09-10_052217,nan,-29.435747509885655,False
10.0,13,2026-09-10_052318,151.38630628115484,25.64628313439538,True
10.0,14,2026-09-10_052502,745.2049182163664,14.387224701957779,True
10.0,15,2026-09-10_053244,nan,17.375191952006908,True
10.0,16,2026-09-10_074438,307.2122881898632,34.11259326723593,True
10.0,17,2026-09-10_074545,nan,46.047264900112005,False
10.0,18,2026-09-10_074652,458.1869765203783,31.942613117325728,True
10.0,20,2026-09-10_074906,609.6719294661134,23.35651685960578,True
10.0,21,2026-09-10_075618,301.0092874390849,21.485083425627803,True
10.0,22,2026-09-10_075728,382.4201713017634,22.15230511737365,True
10.0,23,2026-09-10_080536,265.7739895556282,22.8524026007309,True
20.0,1,2026-09-09_210442,717.6923672970976,42.21125358642736,True
20.0,2,2026-09-09_210554,738.1487806042849,42.81352770470333,True
20.0,3,2026-09-09_210706,734.2433962257101,40.156085914808685,True
20.0,4,2026-09-09_210819,1001.616196355382,44.3807673969626,True
20.0,5,2026-09-09_210931,1062.1187767954777,42.96658614356849,True
20.0,6,2026-09-10_005520,1252.6736494663367,45.622654422330854,True
20.0,7,2026-09-10_005632,1189.7759629549948,44.288820145817496,True
20.0,8,2026-09-10_005744,1301.2651180796283,45.10127397820057,True
20.0,9,2026-09-10_005856,1307.7629192577303,46.579729433722314,True
20.0,10,2026-09-10_010008,1012.5156763014238,40.81039986792251,True
20.0,12,2026-09-10_075124,854.0352447657309,42.36029596103224,True
20.0,13,2026-09-10_075236,753.7962829027364,37.47649516293154,True
20.0,14,2026-09-10_075348,741.25585752055,38.30956343949883,True
20.0,15,2026-09-10_075459,452.4265395401609,36.134713097992204,True
20.0,16,2026-09-10_075834,872.1730348789605,43.85943625774209,True
20.0,17,2026-09-10_080641,1130.487286102683,41.243769583840376,True
30.0,1,2026-09-10_010653,851.2787972967948,38.10518489786777,True
30.0,2,2026-09-10_010809,1209.611264204498,38.16419422633513,True
30.0,3,2026-09-10_010923,1013.6802920921158,141.00105498661566,False
30.0,4,2026-09-10_011038,939.357890819213,11.417738244326856,False
30.0,5,2026-09-10_011153,1178.2759356951394,38.49041404943456,True
30.0,6,2026-09-10_011308,825.7690790246056,37.95411409623633,True
30.0,7,2026-09-10_011423,1165.6976654155046,34.660789998324354,True
30.0,8,2026-09-10_011538,2271.3380555137232,35.14947844007095,True
30.0,9,2026-09-10_011654,412.40270153072146,36.16487923742629,True
30.0,10,2026-09-10_011809,812.3932311541353,38.94357760790551,True
40.0,6,2026-09-10_012419,454.0082725058473,36.30860842034931,True
40.0,7,2026-09-10_012535,1659.2831343646926,33.912199818798086,True
40.0,8,2026-09-10_012652,300.5404209142072,35.445450971895276,True
40.0,9,2026-09-10_012807,485.82306121164237,36.301905897849785,True
40.0,10,2026-09-10_012923,583.754642162317,39.14021586637797,True
40.0,11,2026-09-10_073235,741.0156891268978,137.53367511053847,False
40.0,12,2026-09-10_073346,nan,30.368938588002226,True
40.0,13,2026-09-10_073455,845.4775128431893,36.469620250863414,True
40.0,14,2026-09-10_073606,1787.0458736980752,33.24443738894742,True
40.0,15,2026-09-10_073823,733.6468662439672,127.74624379417199,False
40.0,16,2026-09-10_073939,1722.1346772302923,40.667260493107,True
40.0,17,2026-09-10_074055,677.3079989871613,40.59821354979577,True
40.0,18,2026-09-10_074210,593.9250259214283,34.15367596345679,True
40.0,19,2026-09-10_074326,972.4492944827895,40.295337363301414,True
50.0,1,2026-09-09_212124,1766.1047990287666,36.25142704613216,True
50.0,2,2026-09-09_212244,1294.3078722471216,28.64375158946368,True
50.0,3,2026-09-09_212404,nan,35.144084850952034,True
50.0,4,2026-09-09_212525,682.8496515083518,2.528026985836601,False
50.0,5,2026-09-09_212646,nan,34.924334746412185,True
50.0,6,2026-09-09_234425,nan,23.950971188362722,True
50.0,7,2026-09-09_234545,nan,27.02529737997215,True
50.0,8,2026-09-09_234706,1873.478044458856,30.566682220664905,True
50.0,9,2026-09-09_234828,2343.9217621955067,27.09532450651403,True
50.0,10,2026-09-09_234949,1360.2532194703479,25.648646454724773,True
60.0,1,2026-09-09_212806,939.6765575251039,35.904133872330775,True
60.0,2,2026-09-09_212930,nan,-19.201505639575522,False
60.0,3,2026-09-09_213054,1327.8205673347647,36.5005357331549,True
60.0,4,2026-09-09_213218,414.3144414384129,41.95643493502925,True
60.0,5,2026-09-09_213341,467.60503172503877,128.51702636342793,False
60.0,6,2026-09-10_000608,461.3934592465685,141.93956113867915,False
60.0,8,2026-09-10_000856,1782.5201821120966,43.46589441669614,True
60.0,9,2026-09-10_001019,1307.0394003940082,45.393276799551614,True
60.0,10,2026-09-10_001143,1253.0112079638309,42.04584790982251,True
70.0,1,2026-09-09_213502,nan,33.121134773054564,True
70.0,2,2026-09-09_213630,1351.9785218139002,46.58739165845981,True
70.0,3,2026-09-09_213757,756.8449504630064,9.709082683492564,False
70.0,4,2026-09-09_213924,1387.7441815910388,47.711024185252455,True
70.0,5,2026-09-09_214051,498.72188622762405,143.69525007903212,False
80.0,1,2026-09-09_214219,1537.3394975456097,46.88227291787486,True
80.0,2,2026-09-09_214349,2195.5368565713034,48.82546890920459,True
80.0,3,2026-09-09_214518,1971.4966597949053,49.247489459609824,True
80.0,4,2026-09-09_214647,nan,37.13423759034894,True
80.0,5,2026-09-09_214817,2188.373611152384,50.64058838895082,True
90.0,1,2026-09-09_225606,1437.5550205152654,44.45752466212656,True
90.0,2,2026-09-09_225738,nan,27.328151491321968,False
90.0,3,2026-09-09_225911,1832.794136577472,43.260971473598104,True
90.0,4,2026-09-09_214944,1074.601418253337,43.13692025071907,True
90.0,5,2026-09-09_215116,1278.9657667507602,45.09261338591237,True
100.0,1,2026-09-09_230858,1115.0734455670633,41.76005872289832,True
100.0,2,2026-09-09_231033,972.7043542913577,37.819382324861905,True
100.0,3,2026-09-09_232643,1114.265365487643,43.73178878785887,True
100.0,4,2026-09-09_232818,731.1750743797551,36.05178787669088,True
100.0,6,2026-09-09_233909,1263.917743350427,44.462584273482946,True
110.0,1,2026-09-10_020030,719.2054940924343,41.143806618054995,True
110.0,2,2026-09-10_022009,957.4396810700341,40.21537544312092,True
110.0,3,2026-09-10_022149,666.030807325595,36.72749492119095,True
110.0,4,2026-09-10_022330,683.0651030251903,39.33925985965774,True
110.0,5,2026-09-10_022511,1068.7842307109304,41.391000020397186,True
