metric,freq_hz,n_1,n_B,median_1_deg_s,median_B_deg_s,ratio_B_over_1,ratio_ci_lo,ratio_ci_hi,p_mannwhitney,p_bonferroni,differs
alignment_rate,10.0,17,3,332.593,442.701,1.331,0.613,2.928,0.41578947368421054,1.0,False
alignment_rate,20.0,16,3,936.895,1112.241,1.187,0.848,2.214,0.2538699690402477,1.0,False
alignment_rate,30.0,8,5,1008.488,553.704,0.549,0.187,0.797,0.010878010878010878,0.0979020979020979,False
alignment_rate,40.0,11,7,677.308,546.265,0.807,0.329,1.203,0.24629210658622425,1.0,False
alignment_rate,50.0,5,5,1766.105,650.912,0.369,0.209,0.693,0.007936507936507936,0.07142857142857142,False
alignment_rate,60.0,6,6,1280.025,632.925,0.494,0.391,1.296,0.30952380952380953,1.0,False
alignment_rate,80.0,4,14,2079.935,1391.222,0.669,0.52,0.911,0.06143790849673203,0.5529411764705883,False
alignment_rate,100.0,5,3,1114.265,899.404,0.807,0.573,1.23,0.14285714285714285,1.0,False
alignment_rate,110.0,5,4,719.205,636.256,0.885,0.271,1.149,0.4126984126984127,1.0,False
settle_10pct_s,20.0,7,4,0.664,3.047,4.587,2.219,6.529,0.012121212121212121,0.12121212121212122,False
settle_10pct_s,30.0,9,6,1.216,0.817,0.672,0.301,1.971,0.3276723276723276,1.0,False
settle_10pct_s,40.0,13,6,1.414,0.609,0.43,0.266,1.195,0.046218487394957986,0.46218487394957986,False
settle_10pct_s,50.0,8,8,2.023,0.917,0.453,0.216,1.055,0.028127428127428127,0.2812742812742813,False
settle_10pct_s,60.0,8,6,1.502,1.114,0.742,0.462,1.315,0.22843822843822847,1.0,False
settle_10pct_s,70.0,5,6,1.482,0.933,0.63,0.363,2.121,0.12554112554112554,1.0,False
settle_10pct_s,80.0,5,14,1.825,1.117,0.612,0.482,0.771,0.0003439972480220158,0.0034399724802201583,True
settle_10pct_s,90.0,5,3,1.986,1.672,0.842,0.411,1.272,0.5714285714285714,1.0,False
settle_10pct_s,100.0,4,4,2.308,1.83,0.793,0.339,0.815,0.02857142857142857,0.2857142857142857,False
settle_10pct_s,110.0,4,3,2.414,3.329,1.379,1.009,1.852,0.11428571428571428,1.0,False
