design,freq_hz,n,t_s,delta_med,delta_q25,delta_q75,env_med,env_q25,env_q75
design 1,10.0,22,-1.0,5.6322,5.231,6.4382,3.6716,3.3477,4.7701
design 1,10.0,22,-0.98,5.6808,5.0812,6.4045,3.7078,3.2387,4.9093
design 1,10.0,22,-0.96,5.4629,5.1258,6.2971,3.6594,3.2953,4.8491
design 1,10.0,22,-0.94,5.5376,5.1015,6.4187,3.7385,3.2721,4.9819
design 1,10.0,22,-0.92,5.7924,5.372,6.3343,3.7591,3.1795,4.9855
design 1,10.0,22,-0.9,5.7609,5.4532,6.297,3.9037,3.1787,4.9308
design 1,10.0,22,-0.88,5.7374,5.2367,6.2359,3.8394,3.1613,4.6204
design 1,10.0,22,-0.86,5.6184,5.1197,6.2639,3.7992,3.1731,4.7251
design 1,10.0,22,-0.84,5.5531,5.2567,6.0512,3.7461,3.1198,4.7681
design 1,10.0,22,-0.82,5.6412,5.4572,6.3288,3.5914,3.033,4.7787
design 1,10.0,22,-0.8,5.6861,5.523,6.2495,3.5802,2.9792,4.7706
design 1,10.0,22,-0.78,5.7445,5.3377,6.3017,3.6655,3.0272,4.7336
design 1,10.0,22,-0.76,5.7829,5.2952,6.3256,3.6683,3.0598,4.5224
design 1,10.0,22,-0.74,5.7767,5.3915,6.5522,3.3927,3.205,4.5412
design 1,10.0,22,-0.72,5.8641,5.508,6.6831,3.4208,3.1966,4.7159
design 1,10.0,22,-0.7,5.7741,5.3462,6.6211,3.6379,3.1197,4.8199
design 1,10.0,22,-0.68,5.7387,5.301,6.5796,3.5621,3.218,4.925
design 1,10.0,22,-0.66,5.7487,5.2507,6.2671,3.7215,3.174,4.9429
design 1,10.0,22,-0.64,5.6235,5.2168,6.2534,3.7263,3.1711,5.1676
design 1,10.0,22,-0.62,5.614,5.3171,6.24,3.9619,3.2417,5.3903
design 1,10.0,22,-0.6,5.5156,5.1784,6.2629,3.9285,3.1876,5.41
design 1,10.0,22,-0.58,5.4868,5.2381,6.2656,3.9865,3.1587,5.4164
design 1,10.0,22,-0.56,5.7121,5.2236,6.1175,4.0454,3.1731,5.4188
design 1,10.0,22,-0.54,5.6357,5.2968,6.4138,3.9554,3.128,5.3351
design 1,10.0,22,-0.52,5.8859,5.4699,6.7236,3.9675,3.2041,5.7161
design 1,10.0,22,-0.5,5.9264,5.3951,6.6628,3.968,3.2142,5.6613
design 1,10.0,22,-0.48,5.8954,5.4456,6.721,3.8581,3.2233,5.519
design 1,10.0,22,-0.46,5.8552,5.4253,6.729,3.8182,3.2931,5.2216
design 1,10.0,22,-0.44,5.8634,5.3977,6.8273,3.7388,3.3123,5.3379
design 1,10.0,22,-0.42,5.9051,5.3968,7.0057,3.7013,3.2795,5.1159
design 1,10.0,22,-0.4,5.861,5.3085,6.8367,3.7229,3.3201,5.2787
design 1,10.0,22,-0.38,5.7594,5.296,6.7593,3.6292,3.3651,5.454
design 1,10.0,22,-0.36,5.7172,5.3647,6.3121,3.6479,3.3324,5.4175
design 1,10.0,22,-0.34,5.6719,5.3155,6.459,3.684,3.3192,5.4637
design 1,10.0,22,-0.32,5.7445,5.4009,6.5649,3.7007,3.2433,5.7958
design 1,10.0,22,-0.3,5.7587,5.3179,6.3704,3.6119,3.2321,5.8946
