design,freq_hz,n_measured,n_analysed,median,q25,q75,values
A,10,17,22,332.6,265.8,484.9,484.9;239.6;149.7;488.2;113.1;387.4;266.9;332.6;566.9;151.4;745.2;307.2;458.2;609.7;301;382.4;265.8
A,20,16,16,936.9,740.5,1145,717.7;738.1;734.2;1002;1062;1253;1190;1301;1308;1013;854;753.8;741.3;452.4;872.2;1130
A,30,8,10,1008,822.4,1186,851.3;1210;1178;825.8;1166;2271;412.4;812.4
A,40,11,14,677.3,534.8,1316,454;1659;300.5;485.8;583.8;845.5;1787;1722;677.3;593.9;972.4
A,50,5,10,1766,1360,1873,1766;1294;1873;2344;1360
A,60,6,9,1280,1018,1323,939.7;1328;414.3;1783;1307;1253
A,70,2,5,nan,nan,nan,1352;1388
A,80,4,5,2080,1863,2190,1537;2196;1971;2188
A,90,4,5,1358,1228,1536,1438;1833;1075;1279
A,100,5,5,1114,972.7,1115,1115;972.7;1114;731.2;1264
A,110,5,5,719.2,683.1,957.4,719.2;957.4;666;683.1;1069
B,10,3,9,442.7,361.8,630.9,819.2;442.7;280.9
B,20,3,10,1112,1007,1390,900.9;1669;1112
B,30,5,9,553.7,290.8,598.8,217.5;598.8;668.2;290.8;553.7
B,40,7,9,546.3,463.5,648.4,489.8;988.7;546.3;437.2;290.8;671.8;624.9
B,50,5,7,650.9,419.5,897.6,1078;897.6;391.7;419.5;650.9
B,60,6,8,632.9,600.8,1078,657.6;449.2;1543;598.4;608.2;1218
B,70,6,9,984.1,960.5,1177,1760;952.6;727.1;1241;983.9;984.2
B,80,14,14,1391,1088,1627,2833;704.9;1217;800.1;1412;932;1060;2272;1389;1820;1536;1394;1657;1170
B,90,2,5,nan,nan,nan,928.8;1836
B,100,3,4,899.4,769.3,909,899.4;639.3;918.6
B,110,4,6,636.3,439.7,768,818.2;751.3;195.2;521.2
C,10,0,10,nan,nan,nan,
C,20,4,10,879.6,651.4,1363,750.5;1009;2425;354.2
C,30,6,10,405.5,294.7,574.8,328.9;725.7;283.3;482.1;279.5;605.6
C,40,7,10,564.6,492.8,588.1,433.1;720.6;478.9;579.3;506.7;596.9;564.6
C,50,6,8,992,832.8,1000,983.8;1064;1000;520.6;1000;782.4
C,60,7,10,992.2,859.1,1155,2116;867.7;850.6;1258;847.6;992.2;1052
C,70,6,10,981.5,827.4,1047,1360;795.6;1049;922.8;218.5;1040
