design,freq_hz,n_measured,n_analysed,median,q25,q75,values
A,10,14,22,0.8575,0.4144,1.254,1.114;0.1469;0.2927;0.4703;0.6932;4.619;1.789;0.491;1.214;1.022;1.268;4.619;0.3191;0.3958
A,20,16,16,0.7238,0.5744,0.9288,0.8237;0.8978;0.3631;1.067;0.664;0.3631;0.7238;0.6091;0.6932;0.7557;1.022;0.4133;1.067;0.4703;0.7238;1.323
A,30,10,10,1.164,0.9895,2.075,0.6091;2.875;1.642;4.059;1.114;2.22;1.022;1.214;0.9787;0.491
A,40,14,14,1.191,0.9477,1.46,0.6932;1.506;1.323;0.9374;3.002;1.114;1.022;2.126;0.8237;0.9787;1.268;0.636;1.714;1.323
A,50,9,10,1.323,1.214,1.789,1.951;1.214;1.323;1.642;0.1534;1.067;2.037;1.789;1.323
A,60,9,10,1.268,1.214,1.442,1.067;2.318;1.442;1.442;1.114;1.268;1.642;1.214;1.214
A,70,5,5,1.163,1.067,1.714,1.714;1.163;0.7238;1.067;2.318
A,80,5,5,1.382,1.268,1.506,1.382;1.506;1.868;1.268;1.214
A,90,5,5,1.214,1.067,1.214,1.214;1.067;1.214;1.382;0.636
A,100,5,5,0.636,0.636,0.6932,0.636;0.636;0.86;0.5353;0.6932
B,10,7,9,0.1184,0.0958,0.3691,0.6091;0.1184;0.0839;1.572;0.0876;0.1291;0.104
B,20,9,10,0.2927,0.2074,0.4315,0.4315;0.4505;0.1986;2.318;0.236;0.2927;0.2074;0.1902;0.3056
B,30,9,9,0.636,0.5834,0.7557,0.636;0.5834;0.5353;0.7557;0.5834;0.3791;1.268;0.636;0.8978
B,40,10,10,0.7398,0.6503,0.815,0.5834;1.323;0.7557;0.6932;0.86;0.8237;0.5834;0.636;0.7238;0.7889
B,50,10,10,0.9581,0.8978,1.011,0.86;0.9787;0.9787;0.8978;0.7238;0.8978;1.067;0.9374;1.268;1.022
B,60,8,8,1.114,1.056,1.256,1.214;1.114;1.022;1.382;0.8237;1.114;1.067;1.382
B,70,8,8,1.243,1.102,1.323,0.9374;1.323;1.382;1.067;1.114;1.323;1.323;1.163
B,80,14,14,1.268,1.214,1.367,0.9787;0.9787;1.214;1.114;1.323;1.572;1.382;1.268;1.268;1.268;1.714;1.323;1.214;1.506
B,90,3,3,1.442,1.355,1.474,1.506;1.268;1.442
B,100,4,4,0.7723,0.7065,0.8364,0.7557;0.5588;0.7889;0.9787
C,10,7,10,0.664,0.1931,0.741,0.2572;1.323;0.664;0.7889;0.6932;0.1236;0.1291
C,20,9,10,0.6932,0.1986,0.8978,0.1184;0.1986;0.4703;0.6932;0.1672;0.6932;0.8978;0.9374;0.9787
C,30,10,10,0.6664,0.324,0.7726,0.7238;0.0954;0.6091;0.3056;0.7889;1.022;0.1534;0.7238;0.3791;0.9787
C,40,9,10,0.2165,0.1601,0.4505,0.0769;0.1745;0.1601;0.2165;0.1601;0.2927;0.636;0.4505;0.9374
C,50,7,8,0.3056,0.2696,0.5074,0.4315;0.2464;0.236;0.6932;0.2927;0.3056;0.5834
C,60,10,10,0.2708,0.1986,0.5888,0.8237;0.8237;0.3056;0.236;0.3631;0.1745;0.664;0.1986;0.1672;0.1986
C,70,9,10,0.1745,0.1672,0.5127,0.1672;0.5127;0.1672;0.1745;0.1601;0.2686;0.7889;0.1745;0.5588
