# generated, 2026-09-01T02:57:22+00:00
# source, results/flights/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
4,431175.941375,431175.941375,7.0610,-2.4811,134.7321,42.2704,-8.8382,77.8613,0.664643,-0.103346,-0.739979,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,,0.4641,39.8854,5.2718,0.8611,,,14.7167,9.1128,23.8295
5,431175.968503,431175.968503,6.9134,-2.5849,134.7267,42.7100,-9.3477,77.8613,0.669281,-0.110171,-0.734796,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.558,0.4641,39.8854,5.0697,0.8944,,,12.4268,7.2266,19.6534
6,431175.988784,431175.988784,6.9579,-2.4089,134.7238,42.5852,-8.5849,77.8613,0.669104,-0.101012,-0.736272,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.532,0.4641,39.8854,5.0751,0.8500,,,13.0322,11.1337,24.1660
7,431176.023397,431176.023397,6.9769,-2.4719,134.7181,42.9530,-9.7400,77.8613,0.671577,-0.115278,-0.731912,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.866,0.4641,39.8854,4.9126,0.8444,,,11.3987,13.1441,24.5428
8,431176.048650,431176.048650,6.7802,-2.5935,134.9652,42.6092,-8.5810,77.8613,0.669416,-0.101013,-0.735988,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.859,0.4641,39.8854,5.5529,0.9333,,,12.8197,4.3192,17.1388
9,431176.083658,431176.083658,6.9590,-2.4802,134.7131,42.4632,-9.4836,77.8613,0.665890,-0.111236,-0.737711,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.627,0.4641,39.8854,5.0233,0.8556,,,12.6575,12.6132,25.2707
10,431176.105791,431176.105791,7.0279,-2.4433,134.7121,42.8268,-9.9351,77.8613,0.669590,-0.117285,-0.733412,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.475,0.4641,39.8854,4.8717,0.8278,,,12.4448,16.8994,29.3442
11,431176.135065,431176.135065,6.8900,-2.5907,134.7160,42.5606,-9.0294,77.8613,0.667988,-0.106150,-0.736562,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.669,0.4641,39.8854,5.0797,0.8611,,,11.0760,5.8997,16.9756
12,431176.164358,431176.164358,6.8715,-2.4942,134.7390,42.2144,-9.1565,77.8613,0.663345,-0.106921,-0.740636,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.357,0.4641,39.8854,5.1963,0.8667,,,12.4714,10.5895,23.0608
13,431176.189233,431176.189233,6.7882,-2.7871,134.6997,42.7795,-8.9033,77.8613,0.670995,-0.105115,-0.733973,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.590,0.4641,39.8854,5.2864,0.8333,,,12.6295,7.2011,19.8307
