# generated, 2026-09-01T15:53:21+00:00
# source, results/flights/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
4,431175.941375,431175.941375,7.1278,-2.4553,134.4721,43.7944,-14.3215,77.8613,0.670566,-0.171193,-0.721827,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,,0.4641,39.8854,5.2542,0.8722,,,11.4160,4.4299,15.8459
5,431175.968503,431175.968503,7.1066,-2.4452,134.7486,43.0660,-11.3958,77.8613,0.669378,-0.134919,-0.730568,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.139,0.4641,39.8854,4.8286,0.8167,,,10.4400,5.3467,15.7868
6,431175.988784,431175.988784,7.0161,-2.5749,134.7584,43.0083,-12.4837,77.8613,0.665977,-0.147445,-0.731255,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.745,0.4641,39.8854,4.6965,0.9056,,,9.1071,4.1925,13.2997
7,431176.023397,431176.023397,7.0251,-2.6459,134.5401,44.7310,-16.3173,77.8613,0.675431,-0.197731,-0.710419,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,3.166,0.4641,39.8854,5.2450,0.9389,,,9.3596,3.1935,12.5531
8,431176.048650,431176.048650,6.9902,-2.4894,134.7994,42.7966,-12.1426,77.8613,0.664197,-0.142908,-0.733771,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,3.475,0.4641,39.8854,4.8386,0.8333,,,9.3742,3.7123,13.0865
9,431176.083658,431176.083658,6.9723,-2.7840,134.7399,43.1220,-13.4834,77.8613,0.664713,-0.159380,-0.729900,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.970,0.4641,39.8854,4.6797,0.9500,,,10.4766,3.2033,13.6798
10,431176.105791,431176.105791,6.8882,-2.3671,134.6516,41.7615,-10.4720,77.8613,0.654937,-0.121055,-0.745924,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.445,0.4641,39.8854,5.1577,0.8167,,,9.7414,4.8818,14.6232
11,431176.135065,431176.135065,7.0135,-2.5779,134.7510,43.1280,-12.3900,77.8613,0.667709,-0.146683,-0.729828,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.882,0.4641,39.8854,4.6084,0.9056,,,8.8977,3.9362,12.8340
12,431176.164358,431176.164358,7.3282,-2.3920,134.6636,41.7357,-15.7400,77.8613,0.640734,-0.180585,-0.746223,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.654,0.4641,39.8854,5.4000,0.8722,,,10.1473,3.3166,13.4639
13,431176.189233,431176.189233,6.8790,-2.5996,134.7655,43.3213,-10.8854,77.8613,0.673744,-0.129564,-0.727518,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,3.644,0.4641,39.8854,4.8412,0.9056,,,10.1034,3.0728,13.1762
14,431176.217852,431176.217852,7.1376,-2.6710,134.7303,42.5183,-11.4422,77.8613,0.662394,-0.134069,-0.737062,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.888,0.4641,39.8854,5.0642,0.8833,,,9.8058,3.1740,12.9798
15,431176.245015,431176.245015,6.9773,-2.5187,134.8359,42.9149,-10.3105,77.8613,0.669916,-0.121871,-0.732366,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.864,0.4641,39.8854,4.9452,0.8667,,,9.7521,3.5147,13.2668
16,431176.270155,431176.270155,7.0022,-2.4207,134.7463,43.0355,-10.8123,77.8613,0.670336,-0.128023,-0.730930,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.363,0.4641,39.8854,4.8708,0.8222,,,8.9245,5.5614,14.4859
17,431176.296427,431176.296427,7.0472,-2.4883,134.7229,43.4209,-11.7670,77.8613,0.672908,-0.140173,-0.726324,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.759,0.4641,39.8854,4.7527,0.8389,,,9.2549,5.5810,14.8359
18,431176.322278,431176.322278,7.0298,-2.5374,134.6818,43.0907,-12.4107,77.8613,0.667191,-0.146823,-0.730273,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.551,0.4641,39.8854,4.6923,0.8944,,,9.2914,3.8492,13.1405
