# generated, 2026-08-30T08:55:47+00:00
# source, /Users/meli/Desktop/Kevin/UCB/FlyingRobotsActiveControl/ESP32_PMW/results/flights/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
4,431175.941375,431175.941375,7.0384,-2.4350,134.7252,42.8382,-9.9528,77.8613,0.669698,-0.117517,-0.733276,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,,0.4641,39.8854,4.9889,0.8278,,,27.9950,28.8606,56.8557
5,431175.968503,431175.968503,7.0018,-2.5321,134.7305,43.1894,-9.6653,77.8613,0.674697,-0.114907,-0.729095,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.402,0.4641,39.8854,4.9168,0.8722,,,31.2292,14.9581,46.1873
6,431175.988784,431175.988784,6.9843,-2.4078,134.7335,42.4253,-9.1908,77.8613,0.665967,-0.107753,-0.738158,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.829,0.4641,39.8854,5.0066,0.8333,,,28.2562,19.2254,47.4816
7,431176.023397,431176.023397,6.7793,-2.5935,134.9647,42.6092,-8.5810,77.8613,0.669416,-0.101013,-0.735988,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.451,0.4641,39.8854,5.5362,0.9333,,,27.9587,5.7018,33.6605
8,431176.048650,431176.048650,6.9167,-2.4847,134.7391,42.8780,-9.3989,77.8613,0.671305,-0.111120,-0.732805,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.617,0.4641,39.8854,5.0575,0.8611,,,27.4158,19.5113,46.9270
9,431176.083658,431176.083658,6.8104,-2.3510,134.7268,42.6104,-8.5182,77.8613,0.669542,-0.100281,-0.735974,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.655,0.4641,39.8854,5.2603,0.8389,,,29.0297,20.3812,49.4109
10,431176.105791,431176.105791,6.9033,-2.5241,134.7251,42.8486,-10.1752,77.8613,0.669368,-0.120139,-0.733153,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.149,0.4641,39.8854,4.8822,0.8722,,,28.0832,29.7713,57.8545
11,431176.135065,431176.135065,6.7862,-2.5719,134.7284,42.6000,-9.0131,77.8613,0.668518,-0.106039,-0.736097,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.827,0.4641,39.8854,5.2292,0.8944,,,28.1708,28.3672,56.5380
12,431176.164358,431176.164358,6.8665,-2.5233,134.7504,42.1157,-8.8559,77.8613,0.662635,-0.103243,-0.741792,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.496,0.4641,39.8854,5.2555,0.8833,,,28.0255,8.0990,36.1245
13,431176.189233,431176.189233,6.8655,-2.6274,134.7340,42.9298,-9.0180,77.8613,0.672682,-0.106759,-0.732189,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.821,0.4641,39.8854,5.1410,0.8500,,,29.8466,23.8540,53.7006
14,431176.217852,431176.217852,7.0082,-2.5782,134.6927,42.6596,-8.8010,77.8613,0.669662,-0.103682,-0.735393,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.308,0.4641,39.8854,5.1805,0.8389,,,27.9133,5.6748,33.5881
15,431176.245015,431176.245015,6.9515,-2.3879,134.7259,42.4873,-9.3218,77.8613,0.666507,-0.109406,-0.737427,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.392,0.4641,39.8854,5.1632,0.8333,,,27.5587,11.1836,38.7423
16,431176.270155,431176.270155,6.9005,-2.5461,134.7033,42.7821,-9.8766,77.8613,0.669146,-0.116503,-0.733942,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.478,0.4641,39.8854,4.9519,0.8778,,,28.4098,16.5902,45.0000
17,431176.296427,431176.296427,6.8334,-2.4834,134.7519,42.4345,-9.3850,77.8613,0.665715,-0.110029,-0.738049,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.481,0.4641,39.8854,5.1480,0.8722,,,28.1500,18.9333,47.0834
18,431176.322278,431176.322278,6.8893,-2.5481,134.7412,42.7750,-10.8279,77.8613,0.667030,-0.127579,-0.734027,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.034,0.4641,39.8854,4.8617,0.8722,,,27.4751,13.1929,40.6680
19,431176.352799,431176.352799,7.0456,-2.4919,134.7214,42.8724,-10.4066,77.8613,0.669176,-0.122897,-0.732871,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.302,0.4641,39.8854,4.8513,0.8333,,,27.3956,21.8611,49.2567
20,431176.379917,431176.379917,6.8330,-2.4124,134.7555,42.6105,-8.0350,77.8613,0.670365,-0.094631,-0.735973,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.631,0.4641,39.8854,5.3742,0.8611,,,27.4349,36.0456,63.4805
21,431176.407530,431176.407530,6.9988,-2.4767,134.7285,42.8707,-8.7660,77.8613,0.672399,-0.103684,-0.732891,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.560,0.4641,39.8854,5.0559,0.8611,,,27.9857,13.6855,41.6712
22,431176.436138,431176.436138,7.0750,-2.4592,134.7333,42.9737,-9.6759,77.8613,0.671965,-0.114571,-0.731667,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.628,0.4641,39.8854,4.9252,0.8333,,,27.3896,24.5927,51.9823
23,431176.460095,431176.460095,6.7858,-2.5887,134.7078,42.5684,-8.9544,77.8613,0.668225,-0.105292,-0.736471,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.636,0.4641,39.8854,5.3081,0.8778,,,27.0780,15.6155,42.6934
24,431176.480637,431176.480637,6.8973,-2.5870,134.6766,42.4893,-8.9358,77.8613,0.667254,-0.104916,-0.737404,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.080,0.4641,39.8854,5.3413,0.8333,,,28.8300,18.1645,46.9945
25,431176.516417,431176.516417,6.8918,-2.5388,134.7486,42.7400,-9.2002,77.8613,0.669942,-0.108509,-0.734440,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.308,0.4641,39.8854,5.1757,0.8889,,,29.1516,14.0762,43.2279
26,431176.539845,431176.539845,7.0090,-2.3882,134.7112,42.8384,-9.4517,77.8613,0.670703,-0.111656,-0.733274,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.197,0.4641,39.8854,5.0898,0.8222,,,27.8647,13.2777,41.1424
27,431176.568069,431176.568069,6.8878,-2.4823,134.7143,42.6523,-9.9817,77.8613,0.667291,-0.117442,-0.735479,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.405,0.4641,39.8854,5.0443,0.8556,,,27.3770,13.7127,41.0898
28,431176.595960,431176.595960,6.9139,-2.4125,134.7201,42.8929,-9.8959,77.8613,0.670504,-0.116972,-0.732627,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.248,0.4641,39.8854,5.1584,0.8389,,,29.0763,18.2817,47.3580
29,431176.619357,431176.619357,6.9046,-2.6191,134.6895,42.0228,-12.0827,77.8613,0.654596,-0.140127,-0.742878,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.713,0.4641,39.8854,5.1328,0.9167,,,28.1506,17.7965,45.9471
30,431176.648100,431176.648100,6.7793,-2.5935,134.9690,42.6092,-8.5810,77.8613,0.669416,-0.101013,-0.735988,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,2.429,0.4641,39.8854,5.5820,0.9389,,,27.2393,10.0270,37.2663
31,431176.671705,431176.671705,7.0189,-2.4124,134.7467,42.9516,-9.6279,77.8613,0.671783,-0.113960,-0.731929,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.789,0.4641,39.8854,4.9117,0.8278,,,29.3990,25.9497,55.3487
32,431176.696594,431176.696594,6.8681,-2.4387,134.7318,42.5317,-10.1095,77.8613,0.665502,-0.118658,-0.736904,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.532,0.4641,39.8854,5.1734,0.8444,,,27.7635,15.9608,43.7243
33,431176.727825,431176.727825,6.7793,-2.5743,134.7181,42.5504,-8.7575,77.8613,0.668354,-0.102959,-0.736683,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.914,0.4641,39.8854,5.3615,0.8833,,,28.5964,23.8310,52.4274
34,431176.744218,431176.744218,7.0299,-2.4177,134.7162,42.9158,-9.9883,77.8613,0.670602,-0.118104,-0.732355,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.912,0.4641,39.8854,4.8699,0.8278,,,27.6530,30.8087,58.4618
35,431176.775385,431176.775385,6.9218,-2.4877,134.7243,42.7143,-9.6799,77.8613,0.668685,-0.114059,-0.734745,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.291,0.4641,39.8854,4.9544,0.8611,,,27.6265,33.4637,61.0902
36,431176.803319,431176.803319,6.8703,-2.5067,134.7526,42.5419,-9.0088,77.8613,0.667789,-0.105872,-0.736783,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.486,0.4641,39.8854,5.1126,0.8778,,,29.4865,8.2495,37.7361
37,431176.828654,431176.828654,6.8764,-2.4998,134.7270,42.7004,-10.0834,77.8613,0.667690,-0.118734,-0.734910,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.745,0.4641,39.8854,5.0226,0.8611,,,28.3702,28.2294,56.5996
38,431176.856606,431176.856606,7.0656,-2.4703,134.7156,43.1776,-10.6803,77.8613,0.672409,-0.126813,-0.729236,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.627,0.4641,39.8854,4.8219,0.8278,,,27.4482,30.6720,58.1202
39,431176.884242,431176.884242,6.9018,-2.5936,134.9691,42.6092,-8.5810,77.8613,0.669416,-0.101013,-0.735988,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.538,0.4641,39.8854,5.4107,0.9222,,,27.5370,11.8499,39.3868
40,431176.908837,431176.908837,6.9126,-2.5628,134.6910,42.5975,-8.9530,77.8613,0.668597,-0.105334,-0.736127,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.252,0.4641,39.8854,5.2125,0.8722,,,27.4189,14.5620,41.9809
41,431176.932390,431176.932390,6.7795,-2.5462,134.6717,42.4936,-9.0186,77.8613,0.667156,-0.105889,-0.737353,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.113,0.4641,39.8854,5.2940,0.8944,,,28.4672,7.5505,36.0177
42,431176.965692,431176.965692,7.0248,-2.4154,134.7286,42.8959,-10.2219,77.8613,0.669865,-0.120792,-0.732591,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.910,0.4641,39.8854,4.8621,0.8167,,,27.7460,23.5956,51.3416
43,431176.993082,431176.993082,6.8291,-2.5222,134.7440,42.8819,-8.8184,77.8613,0.672446,-0.104321,-0.732758,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.955,0.4641,39.8854,5.1869,0.8889,,,27.2113,22.9684,50.1796
44,431177.020667,431177.020667,6.9632,-2.4899,134.7038,42.7795,-9.9240,77.8613,0.669017,-0.117051,-0.733972,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.759,0.4641,39.8854,4.9511,0.8556,,,28.1313,21.5582,49.6894
45,431177.049059,431177.049059,7.0105,-2.4123,134.7248,42.8539,-9.3933,77.8613,0.671011,-0.111005,-0.733091,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.368,0.4641,39.8854,4.9462,0.8333,,,27.7596,20.8729,48.6325
46,431177.073720,431177.073720,6.7811,-2.5935,134.9612,42.6092,-8.5810,77.8613,0.669416,-0.101013,-0.735988,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.603,0.4641,39.8854,5.5114,0.9389,,,29.3762,4.9183,34.2945
47,431177.103985,431177.103985,6.9237,-2.6083,134.7140,42.7726,-9.1062,77.8613,0.670532,-0.107476,-0.734055,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.392,0.4641,39.8854,5.0974,0.8444,,,28.0305,11.8863,39.9169
48,431177.152811,431177.152811,6.9092,-2.4830,134.7175,42.7048,-9.8351,77.8613,0.668254,-0.115849,-0.734858,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.499,0.4641,39.8854,5.0341,0.8556,,,27.5895,16.5348,44.1242
49,431177.188237,431177.188237,6.9635,-2.4287,134.7078,42.7297,-9.8499,77.8613,0.668539,-0.116077,-0.734563,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.027,0.4641,39.8854,4.8717,0.8333,,,27.6461,23.4971,51.1432
50,431177.232725,431177.232725,6.9511,-2.4647,134.7228,42.8996,-10.3559,77.8613,0.669627,-0.122367,-0.732547,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.384,0.4641,39.8854,4.8538,0.8444,,,27.0504,22.2283,49.2787
51,431177.264541,431177.264541,6.8358,-2.5430,134.6766,42.7326,-8.9260,77.8613,0.670360,-0.105288,-0.734529,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.986,0.4641,39.8854,5.2280,0.8889,,,27.1816,10.4585,37.6401
52,431177.312267,431177.312267,6.8172,-2.5192,134.7349,42.8076,-8.1574,77.8613,0.672664,-0.096421,-0.733639,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.527,0.4641,39.8854,5.4077,0.8889,,,27.0879,13.5165,40.6045
53,431177.343714,431177.343714,6.8458,-2.5410,134.7264,42.6932,-9.2267,77.8613,0.669299,-0.108723,-0.734996,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.735,0.4641,39.8854,5.2436,0.8889,,,27.6280,25.6082,53.2362
54,431177.368741,431177.368741,7.0691,-2.3991,134.7310,42.6686,-9.4278,77.8613,0.668603,-0.111020,-0.735286,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.139,0.4641,39.8854,4.9808,0.8222,,,28.3415,20.1235,48.4650
55,431177.402612,431177.402612,6.9862,-2.4983,134.7249,42.9150,-9.6866,77.8613,0.671204,-0.114570,-0.732365,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.303,0.4641,39.8854,4.8797,0.8556,,,27.3915,24.0798,51.4713
56,431177.432812,431177.432812,6.9987,-2.6087,134.7080,42.9670,-8.4749,77.8613,0.674135,-0.100448,-0.731746,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.827,0.4641,39.8854,5.2430,0.8278,,,27.9377,13.6609,41.5986
57,431177.464004,431177.464004,6.8761,-2.4926,134.7052,42.6976,-9.2076,77.8613,0.669391,-0.108509,-0.734943,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.566,0.4641,39.8854,5.1409,0.8667,,,27.8834,13.5297,41.4132
58,431177.496734,431177.496734,7.0346,-2.5176,134.7194,42.7989,-10.0319,77.8613,0.669039,-0.118354,-0.733743,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.569,0.4641,39.8854,4.8698,0.8556,,,27.4470,38.1941,65.6412
59,431177.530793,431177.530793,6.8722,-2.5425,134.7004,42.5903,-9.3317,77.8613,0.667795,-0.109735,-0.736212,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.519,0.4641,39.8854,5.1160,0.8889,,,27.1044,14.5310,41.6355
60,431177.564307,431177.564307,6.9444,-2.4879,134.7247,42.6499,-8.9478,77.8613,0.669272,-0.105378,-0.735507,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.267,0.4641,39.8854,5.1354,0.8611,,,27.2238,23.2832,50.5070
61,431177.589044,431177.589044,6.8659,-2.4767,134.7364,43.0060,-8.9537,77.8613,0.673763,-0.106155,-0.731282,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.356,0.4641,39.8854,5.0956,0.8722,,,27.8191,13.5530,41.3721
62,431177.616727,431177.616727,7.0185,-2.4075,134.7473,43.0426,-9.0497,77.8613,0.674046,-0.107358,-0.730846,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.075,0.4641,39.8854,5.0265,0.8333,,,28.1725,26.1195,54.2919
63,431177.653254,431177.653254,6.9135,-2.4017,134.7169,42.7342,-9.4493,77.8613,0.669391,-0.111409,-0.734509,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.411,0.4641,39.8854,5.0552,0.8389,,,28.7009,17.7324,46.4333
64,431177.677223,431177.677223,6.9067,-2.4767,134.7200,42.7297,-8.4270,77.8613,0.671215,-0.099439,-0.734563,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.694,0.4641,39.8854,5.2046,0.8722,,,28.9382,16.9616,45.8998
65,431177.710623,431177.710623,6.9419,-2.4570,134.7038,43.9432,-8.5276,77.8613,0.686273,-0.102902,-0.720028,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.215,0.4641,39.8854,5.1602,0.8556,,,28.0774,6.6292,34.7067
66,431177.737934,431177.737934,6.8243,-2.5191,134.7347,42.8222,-8.7322,77.8613,0.671847,-0.103193,-0.733466,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.130,0.4641,39.8854,5.1766,0.8833,,,28.3415,7.9027,36.2442
67,431177.765942,431177.765942,6.9776,-2.4628,134.7190,42.8554,-10.2639,77.8613,0.669267,-0.121190,-0.733072,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,1.042,0.4641,39.8854,4.8505,0.8389,,,27.0888,23.4423,50.5311
68,431177.797665,431177.797665,6.9237,-2.5018,134.7171,42.9046,-10.3561,77.8613,0.669689,-0.122380,-0.732489,,,,803.822,335.080,416.274,306.137,77.861,0.0,nan,85.375,2,0.080,0.4641,39.8854,5.0672,0.8556,,,28.1378,16.8912,45.0290
