# generated, 2026-09-04T03:25:53+00:00
# source, results/flights/New Folder With Items/2026-08-29_231418
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,discrepancy_mm,margin,refine_rms_px,union_coverage,pred_pos_mm,pred_ang_deg,t_seg_ms,t_est_ms,t_total_ms
4,431175.941375,431175.941375,6.9738,-2.6475,134.6813,43.6069,-13.3713,77.9686,0.671010,-0.159502,-0.724089,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,,1.4619,42.2259,4.5142,0.9722,,,3.9280,5.6452,9.5732
5,431175.968503,431175.968503,6.9485,-2.5499,134.6439,43.5643,-12.7456,77.9686,0.672186,-0.152045,-0.724602,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.433,1.4619,42.2259,4.4760,0.9111,,,3.4528,3.4369,6.8896
6,431175.988784,431175.988784,6.7268,-2.6044,134.8125,42.6981,-8.7774,77.9686,0.670194,-0.103481,-0.734937,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.847,1.4619,42.2259,4.9002,0.9611,,,3.3187,3.3253,6.6440
7,431176.023397,431176.023397,7.0209,-2.6005,134.7016,43.5101,-14.1447,77.9686,0.667608,-0.168246,-0.725253,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,3.756,1.4619,42.2259,4.4732,0.9278,,,3.1323,4.1057,7.2380
8,431176.048650,431176.048650,6.9316,-2.7620,134.7054,43.8100,-13.7398,77.9686,0.672459,-0.164423,-0.721640,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.410,1.4619,42.2259,4.4240,1.0000,,,3.2496,4.2145,7.4641
9,431176.083658,431176.083658,6.9639,-2.7649,134.7274,43.8139,-14.1617,77.9686,0.671278,-0.169382,-0.721593,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.292,1.4619,42.2259,4.4830,1.0000,,,3.7743,5.1538,8.9281
10,431176.105791,431176.105791,6.9310,-2.7825,134.7566,43.8210,-14.3457,77.9686,0.670817,-0.171559,-0.721507,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.128,1.4619,42.2259,4.5321,1.0000,,,3.2328,5.3291,8.5619
11,431176.135065,431176.135065,6.9388,-2.6776,134.7054,43.6443,-13.1431,77.9686,0.672100,-0.156936,-0.723638,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.850,1.4619,42.2259,4.4559,0.9778,,,3.0182,5.0612,8.0794
12,431176.164358,431176.164358,6.8758,-2.5183,134.4929,43.6685,-12.6605,77.9686,0.673696,-0.151336,-0.723347,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.334,1.4619,42.2259,4.8624,0.9111,,,3.6896,3.3741,7.0637
13,431176.189233,431176.189233,6.7830,-2.6034,134.6068,43.9077,-10.9963,77.9686,0.680765,-0.132282,-0.720458,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.176,1.4619,42.2259,4.7078,0.9444,,,3.3396,3.3417,6.6813
14,431176.217852,431176.217852,6.9926,-2.6634,134.6928,43.4972,-13.1985,77.9686,0.670138,-0.157160,-0.725407,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,1.576,1.4619,42.2259,4.4335,0.9722,,,3.3667,4.1290,7.4957
15,431176.245015,431176.245015,6.8666,-2.5906,134.6968,42.7285,-8.9930,77.9686,0.670185,-0.106063,-0.734577,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.975,1.4619,42.2259,4.7299,0.9333,,,3.3025,3.7872,7.0896
16,431176.270155,431176.270155,6.9359,-2.7287,134.7220,43.5656,-13.9069,77.9686,0.668983,-0.165642,-0.724585,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,3.463,1.4619,42.2259,4.4094,1.0000,,,3.1357,4.0412,7.1769
17,431176.296427,431176.296427,6.9063,-2.7459,134.7673,43.5880,-13.5577,77.9686,0.670255,-0.161628,-0.724316,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.242,1.4619,42.2259,4.2661,1.0000,,,3.0987,4.0989,7.1975
18,431176.322278,431176.322278,6.9969,-2.6050,134.6772,43.6637,-13.1372,77.9686,0.672354,-0.156922,-0.723405,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.300,1.4619,42.2259,4.4197,0.9333,,,3.4646,4.9187,8.3833
19,431176.352799,431176.352799,6.9920,-2.5093,134.5308,44.3223,-13.7142,77.9686,0.678774,-0.165645,-0.715421,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,0.771,1.4619,42.2259,4.5993,0.8944,,,3.2416,3.8541,7.0957
20,431176.379917,431176.379917,6.9406,-2.5411,134.6528,43.4480,-10.5447,77.9686,0.676083,-0.125850,-0.725999,,,,401.739,167.306,209.437,154.785,77.969,0.0,nan,84.760,2,2.364,1.4619,42.2259,4.5044,0.9056,,,3.0680,4.0730,7.1409
