# skew_n, 3232
# skew_median_ms, 1.0082090157084167
# skew_p95_ms, 8.434141619363798
# skew_max_ms, 28.510916978120804
# skew_dropped, 0
index,t_capture,skew_s,t_a,t_b
0,342566.479400,0.004423,342566.477188,342566.481612
1,342566.515358,0.000955,342566.514880,342566.515835
2,342566.539036,0.000931,342566.539501,342566.538571
3,342566.554271,0.000969,342566.554756,342566.553787
4,342566.578837,0.000994,342566.578340,342566.579334
5,342566.602415,0.000862,342566.602846,342566.601984
6,342566.627746,0.001001,342566.627246,342566.628247
7,342566.650048,0.001166,342566.650631,342566.649465
8,342566.666705,0.001122,342566.666144,342566.667266
9,342566.690622,0.001083,342566.691163,342566.690080
10,342566.715067,0.001301,342566.714416,342566.715717
11,342566.727545,0.008768,342566.723161,342566.731929
12,342566.758140,0.002348,342566.759314,342566.756966
13,342566.778704,0.000904,342566.779156,342566.778251
14,342566.800029,0.004056,342566.802057,342566.798001
15,342566.819213,0.001015,342566.818705,342566.819721
16,342566.843944,0.001044,342566.843423,342566.844466
17,342566.863498,0.007991,342566.867494,342566.859503
18,342566.882632,0.000973,342566.882145,342566.883118
19,342566.908581,0.001021,342566.909092,342566.908071
20,342566.930378,0.001017,342566.930887,342566.929870
21,342566.956172,0.000905,342566.956625,342566.955719
22,342566.974346,0.006706,342566.970994,342566.977699
23,342566.994623,0.001022,342566.995134,342566.994112
24,342567.018528,0.001004,342567.018026,342567.019030
25,342567.042559,0.001046,342567.043082,342567.042036
26,342567.058729,0.001038,342567.059248,342567.058210
27,342567.082670,0.000935,342567.082202,342567.083137
28,342567.108404,0.000977,342567.108893,342567.107916
29,342567.127726,0.005420,342567.130436,342567.125016
30,342567.146855,0.001036,342567.146337,342567.147373
31,342567.171660,0.000934,342567.172126,342567.171193
32,342567.194362,0.000946,342567.194835,342567.193890
33,342567.211699,0.000909,342567.211245,342567.212154
34,342567.226964,0.001038,342567.226445,342567.227483
35,342567.258532,0.001042,342567.258011,342567.259053
36,342567.278594,0.006381,342567.281784,342567.275404
37,342567.300049,0.000847,342567.300473,342567.299626
38,342567.322974,0.000944,342567.323446,342567.322502
39,342567.345470,0.001082,342567.344928,342567.346011
40,342567.365516,0.007183,342567.361924,342567.369107
41,342567.384585,0.010272,342567.379449,342567.389721
42,342567.409773,0.001040,342567.410292,342567.409253
43,342567.434744,0.000990,342567.435238,342567.434249
44,342567.452492,0.001336,342567.451824,342567.453160
45,342567.466866,0.001432,342567.467582,342567.466150
46,342567.497561,0.001021,342567.497050,342567.498071
47,342567.517658,0.007045,342567.521181,342567.514136
48,342567.538081,0.002346,342567.539254,342567.536908
49,342567.563075,0.000572,342567.563361,342567.562789
50,342567.583295,0.006452,342567.586521,342567.580069
51,342567.602749,0.000958,342567.602270,342567.603227
52,342567.627525,0.001195,342567.626928,342567.628123
53,342567.649616,0.000960,342567.650096,342567.649136
54,342567.662371,0.007704,342567.658520,342567.666223
55,342567.691862,0.001812,342567.690956,342567.692768
56,342567.714459,0.001027,342567.713946,342567.714973
57,342567.738775,0.000865,342567.738343,342567.739208
58,342567.761631,0.001176,342567.761043,342567.762219
59,342567.785941,0.001095,342567.786488,342567.785394
60,342567.807265,0.003428,342567.808979,342567.805551
61,342567.827009,0.000400,342567.827209,342567.826809
62,342567.850703,0.000977,342567.851191,342567.850215
63,342567.872073,0.004163,342567.869992,342567.874155
64,342567.891242,0.000975,342567.891730,342567.890755
65,342567.914879,0.001059,342567.915408,342567.914350
66,342567.936459,0.006045,342567.933437,342567.939482
67,342567.959155,0.000125,342567.959093,342567.959217
68,342567.970629,0.013281,342567.977269,342567.963988
69,342567.994326,0.004124,342567.992264,342567.996388
70,342568.013872,0.010142,342568.018943,342568.008801
71,342568.044790,0.001382,342568.045481,342568.044099
72,342568.061883,0.001007,342568.061379,342568.062387
73,342568.084028,0.005654,342568.081201,342568.086855
74,342568.107245,0.003183,342568.108836,342568.105653
75,342568.126579,0.007035,342568.130097,342568.123061
76,342568.147683,0.000898,342568.148132,342568.147234
77,342568.169940,0.001004,342568.169438,342568.170442
78,342568.186606,0.001556,342568.187384,342568.185828
79,342568.211121,0.000479,342568.210882,342568.211361
80,342568.232223,0.011337,342568.226554,342568.237891
81,342568.255307,0.002699,342568.256656,342568.253957
82,342568.275606,0.002826,342568.277019,342568.274194
83,342568.299412,0.000973,342568.299898,342568.298926
84,342568.316209,0.001353,342568.316886,342568.315532
85,342568.339129,0.001123,342568.339691,342568.338567
86,342568.362713,0.000925,342568.362251,342568.363176
87,342568.383160,0.006705,342568.386513,342568.379808
88,342568.403494,0.000714,342568.403137,342568.403851
89,342568.427404,0.001016,342568.426896,342568.427912
90,342568.450569,0.000923,342568.450108,342568.451031
91,342568.467050,0.001166,342568.466467,342568.467633
92,342568.490735,0.000923,342568.490274,342568.491197
93,342568.515653,0.000875,342568.516091,342568.515216
94,342568.530718,0.000973,342568.531204,342568.530231
95,342568.555983,0.000938,342568.555514,342568.556452
96,342568.578686,0.000946,342568.579160,342568.578213
97,342568.594914,0.000901,342568.595365,342568.594464
98,342568.618543,0.000916,342568.618085,342568.619001
99,342568.642609,0.001041,342568.643130,342568.642089
100,342568.661362,0.001214,342568.661969,342568.660755
101,342568.683056,0.001128,342568.682492,342568.683619
102,342568.695382,0.008275,342568.699520,342568.691245
103,342568.725235,0.000982,342568.725727,342568.724744
104,342568.746361,0.001006,342568.745858,342568.746864
105,342568.770479,0.000807,342568.770883,342568.770076
106,342568.786394,0.000962,342568.785913,342568.786875
107,342568.812114,0.001525,342568.812876,342568.811351
108,342568.834449,0.008525,342568.838712,342568.830186
109,342568.859283,0.000911,342568.859739,342568.858827
110,342568.874920,0.000966,342568.875402,342568.874437
111,342568.898777,0.001622,342568.897966,342568.899588
112,342568.916954,0.002254,342568.918081,342568.915827
113,342568.939468,0.000784,342568.939076,342568.939860
114,342568.964171,0.001105,342568.963618,342568.964724
115,342568.986263,0.000930,342568.986728,342568.985798
