# generated, 2026-08-28T22:18:44+00:00
# source, /Users/meli/Desktop/Kevin/UCB/FlyingRobotsLinLiweiLab/ESP32_PMW/results/flights/2026-08-28_135533
frame,t_capture,t_host,x_mm,y_mm,z_mm,theta_deg,phi_deg,psi_deg,nx,ny,nz,vx_mm_s,vy_mm_s,vz_mm_s,ellipse_cx,ellipse_cy,major_px,minor_px,ellipse_deg,area_px,fit_rms_px,ambiguity_margin_deg,n_solutions,jump_deg,t_seg_ms,t_est_ms,t_total_ms
0,359021.753025,359021.753025,-0.0670,0.4483,-0.1666,0.9758,-86.5259,95.1512,0.001032,-0.016998,0.999855,,,,614.150,384.028,422.686,362.973,95.151,51299.0,1.7429,61.277,2,,101.1956,6.3040,107.4997
1,359021.785731,359021.785731,-0.0558,0.3190,-0.1330,0.4831,-87.9639,94.0877,0.000300,-0.008427,0.999964,,,,614.683,386.321,422.636,363.032,94.088,51274.0,1.6422,61.221,2,0.493,68.9200,5.5307,74.4507
2,359021.808721,359021.808721,-0.0414,0.1977,-0.0831,0.3462,-84.2152,93.7715,0.000609,-0.006012,0.999982,,,,615.482,389.121,422.919,363.451,93.772,51415.0,1.5610,61.127,2,0.139,34.3912,5.1384,39.5296
3,359021.828462,359021.828462,-0.0318,0.0963,-0.0360,0.1591,-110.7499,93.3444,-0.000984,-0.002597,0.999996,,,,616.181,391.714,422.922,363.975,93.344,51438.0,1.7015,60.848,2,0.216,53.8842,5.8346,59.7188
4,359021.849719,359021.849719,-0.0170,-0.0073,0.0028,0.1937,-92.8655,93.2579,-0.000169,-0.003377,0.999994,,,,616.894,393.367,423.213,364.288,93.258,51516.0,1.6009,60.814,2,0.065,39.4098,5.1758,44.5856
5,359021.871938,359021.871938,0.0122,-0.0598,0.0352,0.0800,64.1630,92.6114,0.000608,0.001256,0.999999,,,,617.765,394.635,423.021,364.721,92.611,51565.0,1.5559,60.493,2,0.269,49.2088,5.9894,55.1982
6,359021.887073,359021.887073,0.0320,-0.0634,0.0478,0.1287,65.3114,92.5103,0.000938,0.002041,0.999997,,,,618.249,394.789,423.012,364.564,92.510,51524.0,1.8772,60.573,2,0.049,34.7231,5.1632,39.8863
7,359021.912203,359021.912203,0.0383,-0.0804,0.0452,0.2149,90.1280,92.2881,-0.000008,0.003750,0.999993,,,,618.327,395.165,423.075,364.621,92.288,51531.0,1.5964,60.571,2,0.112,42.3130,5.3968,47.7098
8,359021.929834,359021.929834,0.0425,-0.1403,0.0803,0.3047,99.6846,92.1314,-0.000895,0.005243,0.999986,,,,618.782,396.740,423.092,364.875,92.131,51565.0,2.0260,60.442,2,0.099,114.9426,10.6491,125.5917
9,359021.952287,359021.952287,0.0368,-0.2083,0.0770,0.4243,91.6947,91.8092,-0.000219,0.007402,0.999973,,,,618.633,398.173,423.317,364.909,91.809,51495.0,1.8374,60.528,2,0.130,41.1438,6.1305,47.2743
10,359021.965101,359021.965101,0.0262,-0.2454,0.0653,0.4673,94.2540,91.6753,-0.000605,0.008133,0.999967,,,,618.340,398.728,423.254,364.926,91.675,51563.0,1.7707,60.490,2,0.047,53.2542,3.7276,56.9818
11,359021.988031,359021.988031,0.0250,-0.2565,0.0651,0.5502,93.6260,91.4960,-0.000607,0.009584,0.999954,,,,618.314,399.185,423.316,365.032,91.496,51528.0,1.8151,60.462,2,0.083,39.7119,4.6894,44.4013
12,359022.008667,359022.008667,0.0512,-0.3234,0.0962,0.5702,99.3487,91.4968,-0.001617,0.009819,0.999950,,,,619.132,400.613,423.341,365.273,91.497,51538.0,1.7300,60.344,2,0.059,34.5001,5.7137,40.2139
13,359022.028338,359022.028338,0.0658,-0.4104,0.1425,0.7343,102.5035,91.1632,-0.002774,0.012511,0.999918,,,,619.905,402.895,423.279,365.479,91.163,51582.0,1.9205,60.205,2,0.168,46.1983,8.9376,55.1359
14,359022.048773,359022.048773,0.1133,-0.6094,0.1723,0.7724,105.2837,90.8458,-0.003553,0.013003,0.999909,,,,621.082,406.404,423.434,365.903,90.846,51651.0,1.6274,60.048,2,0.053,42.6833,5.2586,47.9419
15,359022.068273,359022.068273,0.1282,-0.9125,0.1997,1.4047,102.4236,89.3946,-0.005274,0.023940,0.999699,,,,621.635,414.331,423.753,366.399,89.395,51605.0,1.8564,59.931,2,0.634,77.9327,4.1603,82.0930
16,359022.088719,359022.088719,0.1238,-1.3151,0.1871,1.8906,104.5019,87.8730,-0.008261,0.031940,0.999456,,,,621.494,421.041,423.730,366.395,87.873,51488.0,1.8458,59.927,2,0.490,47.6507,4.0462,51.6969
