index,t_capture,skew_s,t_a,t_b
0,585194.527611,0.000848,585194.527186,585194.528035
1,585194.531822,0.000692,585194.532168,585194.531476
2,585194.536223,0.000583,585194.536515,585194.535932
3,585194.540440,0.000769,585194.540824,585194.540055
4,585194.544062,0.000824,585194.543650,585194.544474
5,585194.551764,0.000904,585194.552216,585194.551312
6,585194.558005,0.005240,585194.560625,585194.555385
7,585194.566410,0.000209,585194.566305,585194.566514
8,585194.567380,0.000542,585194.567109,585194.567652
9,585194.569831,0.000694,585194.569483,585194.570178
10,585194.580559,0.004366,585194.578376,585194.582742
11,585194.585265,0.002685,585194.586608,585194.583923
12,585194.588715,0.000685,585194.589057,585194.588372
13,585194.591695,0.000702,585194.592045,585194.591344
14,585194.593938,0.000220,585194.593828,585194.594049
15,585194.599129,0.003217,585194.597520,585194.600737
16,585194.604402,0.000771,585194.604017,585194.604788
17,585194.608271,0.000817,585194.608679,585194.607862
18,585194.611619,0.000962,585194.611138,585194.612100
19,585194.615714,0.000917,585194.615256,585194.616173
20,585194.620152,0.000616,585194.619844,585194.620460
21,585194.628027,0.000822,585194.627616,585194.628438
22,585194.632121,0.000969,585194.632606,585194.631636
23,585194.636554,0.000726,585194.636191,585194.636917
24,585194.639607,0.000923,585194.640068,585194.639145
25,585194.643946,0.000899,585194.643496,585194.644395
26,585194.650312,0.003666,585194.648479,585194.652145
27,585194.655754,0.000887,585194.655310,585194.656198
28,585194.660068,0.000447,585194.660291,585194.659844
29,585194.663726,0.000850,585194.664151,585194.663301
30,585194.667841,0.000923,585194.668303,585194.667380
31,585194.671918,0.000942,585194.671447,585194.672389
32,585194.679653,0.000912,585194.680109,585194.679197
33,585194.683978,0.000974,585194.683492,585194.684465
34,585194.688099,0.000865,585194.687667,585194.688531
35,585194.692337,0.000741,585194.692708,585194.691967
36,585194.696312,0.000266,585194.696179,585194.696445
37,585194.703554,0.000887,585194.703110,585194.703997
38,585194.707468,0.001069,585194.708002,585194.706934
39,585194.711539,0.000959,585194.711059,585194.712018
40,585194.716094,0.000906,585194.715641,585194.716547
41,585194.720135,0.000922,585194.719674,585194.720596
42,585194.729412,0.008410,585194.725207,585194.733617
43,585194.734443,0.000300,585194.734293,585194.734593
