d,tilt_deg,f,amp,pitch,model,phase_err_deg,z_eq,k_z,G_n,C_grad,C_grad_fixed_m,C_tilt,C_net,k_z_fixed_m,trace_resid,trace_resid_fixed_m,B_mean,lock,ellipticity,kappa_t,Omega_align,lambda_grad,R,max_re_root,clearance,stage,axis,factor
0.034,0.0,60.0,1.25,0.021,dipole,0.0,0.010904701954591,-0.2425808605853354,-27.49624351895769,0.1213115027996681,0.1213115027001511,-0.0067064269233688,0.1146050758762993,-0.2426229663201847,4.214501400090498e-05,3.9080117641976386e-08,0.0057842603377323,0.0514975659657838,1.0,1.0472018914105409e-05,8.272557620425605,38.1008921236737,0.2171224126084311,37.955027651463965,-9.529804540900008e-05,A,,
0.034,0.0,65.0,1.25,0.021,dipole,0.0,0.0110794555280928,-0.2388472180463597,-25.369383971864575,0.1194482082895789,0.1194482081593842,-0.007261928446388,0.1121862798431909,-0.2388963844396634,4.9198532798166994e-05,3.1879105050203194e-08,0.0058110360050074,0.0601596332778048,1.0,1.051539209725192e-05,7.667834804295339,37.80715285806745,0.2028143942253812,37.66343540732571,7.945552809285675e-05,A,,
0.034,0.0,70.0,1.25,0.021,dipole,0.0,0.0112712845305393,-0.2346087529633085,-23.101264465901004,0.117331695684933,0.1173316955193671,-0.0076691487690421,0.1096625469158908,-0.2346633669014091,5.4638406557505625e-05,2.4137325055351155e-08,0.0058381082834555,0.0694473962107976,1.0,1.0557997376377648e-05,7.148981002377185,37.47070177371126,0.1907885538293487,37.32945787318642,0.0002712845305393,A,,
0.034,0.0,75.0,1.25,0.021,dipole,0.0,0.0114812723216829,-0.2298171072886919,-20.695148541893403,0.1149373303860219,0.1149373301807433,-0.0078869012864418,0.10705042909958,-0.2298746444830341,5.75534833520408e-05,1.587845260830889e-08,0.0058650077744459,0.0793571327399524,1.0,1.0598782921204571e-05,6.698157682198021,37.08640239275596,0.1806095293704294,36.94797904155447,0.0004812723216829,A,,
0.034,0.0,80.0,1.25,0.021,dipole,0.0,0.0117107606570492,-0.2244188949361108,-18.153412676486862,0.1122380054449703,0.1122380051962484,-0.0078714290434734,0.1043665764014968,-0.2244760032580613,5.711595382973389e-05,7.134435431321862e-09,0.0058912001848221,0.0898893472631176,1.0,1.0636562810454148e-05,6.301906498724671,36.64832443841099,0.1719561970511171,36.51311094338095,0.0007107606570492,A,,
0.034,0.0,85.0,1.25,0.021,dipole,0.0,0.011961419781458,-0.2183547590162886,-15.477307287648005,0.1092037481261788,0.1092037478311739,-0.0075761503906817,0.1016275977354971,-0.2184074977156554,5.2737236069022586e-05,-2.053307607274845e-09,0.0059160709636181,0.1010500446929139,1.0,1.0669986933138852e-05,5.94984422016852,36.14955251218869,0.1645897060043105,36.01800791079396,0.000961419781458,A,,
0.034,0.0,90.0,1.25,0.021,dipole,0.0,0.0122353442545084,-0.2115580645310494,-12.66666608697123,0.105801168630682,0.1058011682877441,-0.0069512462106666,0.0988499224200153,-0.2116023482052434,4.4272730314515174e-05,-1.1629755242159593e-08,0.0059389037357299,0.1128523913690456,1.0,1.0697498553099414e-05,5.633786181429585,35.581920555316785,0.1583328300863108,35.45461115424108,0.0012353442545084,A,,
0.034,0.0,95.0,1.25,0.021,dipole,0.0,0.0125351878481028,-0.2039530640208963,-9.71952783723468,0.1019926767651123,0.1019926763740989,-0.0059430270771373,0.0960496496879749,-0.2039853742733869,3.228950932840369e-05,-2.1525189047855164e-08,0.0059588496573659,0.1253189696621729,1.0,1.0717273847476548e-05,5.347137548024913,34.93563554039421,0.1530568276578882,34.81328968327402,0.0015351878481028,A,,
0.034,0.0,100.0,1.25,0.021,dipole,0.0,0.0128643588084741,-0.195452287764548,-6.631619584618371,0.0977353539529201,0.0977353535155329,-0.0044929846606098,0.0932423692923102,-0.1954707386801643,1.8420141292191383e-05,-3.1649098342079185e-08,0.0059748829170534,0.1384849676558534,1.0,1.0727133990193736e-05,5.084454187704334,34.19873156903346,0.1486737652079542,34.08232385993381,0.0018643588084741,A,,
0.034,0.0,105.0,1.25,0.021,dipole,0.0,0.0132273123253496,-0.185952732762379,-3.395611747043658,0.0929792873562636,0.0929792868764103,-0.0025363661932425,0.0904429211630211,-0.1859586156386276,5.841950148272046e-06,-4.188580707276125e-08,0.0059857342897346,0.1524028880634557,1.0,1.0724413811153512e-05,4.841109405154525,33.35625305384469,0.1451334895840926,33.24714053273541,0.0022273123253496,A,,
0.034,0.0,110.0,1.25,0.021,dipole,0.0,0.0136300070517632,-0.1753300853914397,1.7428812257310863e-05,0.087665018200393,0.0876650176845786,1.4287902977835753e-08,0.087665032488296,-0.1753300874547012,-4.899065353392018e-08,-5.208554396118893e-08,0.0059897882571937,0.1671498277909117,1.0,1.0705758465578866e-05,4.613020547420277,32.388983402760324,0.1424256047204969,32.28913782866459,0.0026300070517632,A,,
0.034,0.0,115.0,1.25,0.021,dipole,0.0,0.0140806489245017,-0.1634296595658181,3.572776558368551,0.0817195094960212,0.0817195089537874,0.003201229920466,0.0849207394164873,-0.1634390799590433,9.3594262244312e-06,-6.205146851900878e-08,0.0059849161866007,0.1828393383752602,1.0,1.0666793908140672e-05,4.3963949173963455,31.271378698061273,0.140588458214313,31.18380792012924,0.0030806489245017,A,,
0.034,0.0,120.0,1.25,0.021,dipole,0.0,0.014590988933898,-0.1500510724538949,7.349269596341958,0.0750492716569869,0.0750492711014256,0.0071700469853668,0.0822193186423538,-0.1500986137225964,4.74708600788909e-05,-7.151974515395845e-08,0.0059681895819499,0.199642001458215,1.0,1.0601560892176375e-05,4.187445805166017,29.967974758184425,0.1397306904772536,29.89754704702073,0.003590988933898,A,,
0.034,0.0,125.0,1.25,0.021,dipole,0.0,0.0151787582074852,-0.1349205715057161,11.370906639301223,0.0675278805018705,0.0675278799502694,0.0120373378572241,0.0795652183590946,-0.1350558400269077,0.0001351894980248,-8.012636890097903e-08,0.0059353473861065,0.2178240941751032,1.0,1.0501464446107456e-05,3.981992948263707,28.42665198612372,0.1400795616102624,28.381871259409877,0.0041787582074852,A,,
0.034,0.0,130.0,1.25,0.021,dipole,0.0,0.0158727597329652,-0.1176352331963006,15.705658704762692,0.0589706816355833,0.0589706811103315,0.0179828362949398,0.0769535179305232,-0.1179414495580433,0.0003061300748661,-8.733738024457872e-08,0.0058796969319599,0.2378284452895007,1.0,1.0353108471805211e-05,3.774748708300642,26.56453555114831,0.1420972973923298,26.561890219012888,0.0048727597329652,A,,
0.034,2.0,60.0,1.25,0.021,dipole,0.0,0.0115405268511075,-0.2380227674642445,-28.439558807190284,0.1190346983964634,0.1190346982900918,-0.0069365047171542,0.1120981936793091,-0.2380693571350594,4.66293286824071e-05,3.944512425024804e-08,0.0055929187647186,0.0532593697202791,1.0,1.0124670787982294e-05,7.99816378946815,37.74165507583938,0.2119187347082782,37.59604078106726,-0.000185661676855,A,,
0.034,2.0,65.0,1.25,0.021,dipole,0.0,0.0117186007104094,-0.2342124801713843,-26.234073206657538,0.1171334398298824,0.1171334396910371,-0.0075094437726723,0.10962399605721,-0.2342668472059565,5.439948838048547e-05,3.2176117797932946e-08,0.0056202060209093,0.0622023096172552,1.0,1.0168798971548137e-05,7.415098738191297,37.43903118912273,0.1980579759324976,37.2955267762117,-7.587817553089335e-06,A,,
0.034,2.0,70.0,1.25,0.021,dipole,0.0,0.0119142007400709,-0.2298907566973692,-23.883590468414024,0.1149755669374215,0.11497556676129,-0.0079288650502881,0.1070467018871334,-0.2299511091485661,6.037717747395255e-05,2.437401408483808e-08,0.0056478143565629,0.0717873133722139,1.0,1.0212161982620532e-05,6.914810584277734,37.09257070295119,0.186420365405614,36.951494351074935,0.0001880122121084,A,,
0.034,2.0,75.0,1.25,0.021,dipole,0.0,0.0121284790023043,-0.2250090893574649,-21.39165057983176,0.1125363250148386,0.1125363247970413,-0.0081523375459548,0.1043839874688837,-0.225072633528391,6.356067221227613e-05,1.6065691638145196e-08,0.0056752684750562,0.0820102524705578,1.0,1.0253691347266647e-05,6.480068700263158,36.69699626431392,0.1765830819936812,36.55868825202574,0.0004022904743417,A,,
0.034,2.0,80.0,1.25,0.021,dipole,0.0,0.012362864525627,-0.2195138514616065,-18.760836338958747,0.1097884470724465,0.1097884468093156,-0.0081348116009947,0.1016536354714517,-0.2195768863320234,6.304268328660712e-05,7.286607789369626e-09,0.0057020260794893,0.0928715743891248,1.0,1.0292180124636392e-05,6.0978680772460585,36.24619932467807,0.1682346891773105,36.11104412798131,0.0006366759976644,A,,
0.034,2.0,85.0,1.25,0.021,dipole,0.0,0.0126191405024798,-0.2133452825319777,-15.992508529660787,0.1067017318815379,0.1067017315704153,-0.0078283416807047,0.0988733902008332,-0.2134034650585938,5.818123109826989e-05,-1.9177632260003463e-09,0.005727461649813,0.1043776932665413,1.0,1.0326251055830316e-05,5.758168734932747,35.73303358752561,0.1611441335040448,35.601488062007974,0.0008929519745173,A,,
0.034,2.0,90.0,1.25,0.021,dipole,0.0,0.0128995493437728,-0.2064361028845517,-13.086494475136943,0.1032424632694585,0.1032424629090115,-0.007181640733766,0.0960608225356924,-0.2064849373057482,4.882365436528757e-05,-1.1487725243286562e-08,0.0057508434159693,0.116542816454813,1.0,1.035431117785505e-05,5.453048200237467,35.14902901664279,0.1551407920160608,35.021661490461085,0.0011733608158102,A,,
