frame,t,nx,ny,nz,agree_deg
0,577461.025454,0.27883,-0.82497,-0.49161,4.21
1,577461.030231,0.27223,-0.8322,-0.48305,4.22
2,577461.033414,0.2779,-0.82919,-0.485,4.29
3,577461.042205,0.27369,-0.83727,-0.47336,4.32
4,577461.046072,0.27418,-0.83783,-0.4721,4.1
5,577461.049146,0.2732,-0.84174,-0.46566,4.3
6,577461.054206,0.27197,-0.84435,-0.46163,3.73
7,577461.057895,0.27948,-0.84044,-0.46428,3.97
8,577461.066442,0.27184,-0.84563,-0.45936,3.62
9,577461.070155,0.28057,-0.83847,-0.46717,3.97
10,577461.074193,0.26746,-0.84504,-0.463,3.92
11,577461.077218,0.26905,-0.84177,-0.46801,3.95
12,577461.082856,0.27146,-0.84014,-0.46954,4.15
13,577461.085475,0.27443,-0.83986,-0.46832,3.98
14,577461.093692,0.27787,-0.83729,-0.47088,4.31
15,577461.098906,0.28372,-0.83278,-0.47537,4.4
16,577461.101645,0.28614,-0.8369,-0.46662,4.27
17,577461.106157,0.28957,-0.8382,-0.46214,4.04
18,577461.121699,0.29967,-0.84043,-0.45153,4.18
19,577461.124997,0.29738,-0.84481,-0.44481,3.99
20,577461.129985,0.29523,-0.84757,-0.44098,4.08
21,577461.133454,0.29997,-0.84695,-0.43897,4.39
22,577461.141324,0.28403,-0.85832,-0.42733,4.88
23,577461.146303,0.29252,-0.85737,-0.4235,4.2
24,577461.149471,0.28627,-0.8643,-0.41357,5.41
25,577461.153287,0.29386,-0.86304,-0.41086,4.35
26,577461.158858,0.29723,-0.86329,-0.40791,4.53
27,577461.161749,0.28976,-0.8694,-0.40023,5.28
28,577461.17012,0.29499,-0.86687,-0.40189,4.96
29,577461.173853,0.29542,-0.86744,-0.40035,4.81
30,577461.177847,0.30162,-0.86877,-0.39276,5.27
31,577461.182933,0.29884,-0.86908,-0.39419,5.06
32,577461.186207,0.30691,-0.86509,-0.39677,5.45
33,577461.194075,0.30539,-0.86516,-0.39779,5.36
34,577461.206116,0.31847,-0.85472,-0.40992,5.8
35,577461.209424,0.31857,-0.85392,-0.4115,5.53
36,577461.218812,0.32031,-0.85213,-0.41386,5.52
37,577461.222311,0.32243,-0.84996,-0.41666,5.26
38,577461.225768,0.32284,-0.84556,-0.4252,5.31
39,577461.229563,0.31954,-0.84682,-0.42519,4.96
40,577461.234726,0.29605,-0.85556,-0.42471,5.0
41,577461.239017,0.27712,-0.85588,-0.43667,4.45
42,577461.246234,0.25961,-0.86422,-0.43096,5.01
43,577461.249348,0.24691,-0.86769,-0.43145,5.24
44,577461.253316,0.23847,-0.86466,-0.44214,4.23
45,577461.25808,0.24201,-0.8682,-0.43321,5.43
46,577461.261671,0.24739,-0.86587,-0.43482,4.89
47,577461.270366,0.25532,-0.86571,-0.43054,5.54
48,577461.274121,0.2609,-0.85792,-0.44262,4.38
49,577461.277491,0.27772,-0.85354,-0.44084,5.44
50,577461.291263,0.28229,-0.84798,-0.4486,4.2
51,577461.298619,0.28813,-0.84884,-0.44323,5.0
52,577461.300766,0.2857,-0.84992,-0.44273,5.01
53,577461.306022,0.28004,-0.84914,-0.44782,4.15
54,577461.309642,0.27998,-0.84577,-0.45418,4.24
55,577461.314008,0.27732,-0.84501,-0.45721,4.29
56,577461.321702,0.2749,-0.84281,-0.46271,4.39
57,577461.325644,0.27695,-0.84095,-0.46486,4.45
58,577461.32939,0.27857,-0.84043,-0.46485,4.13
59,577461.33519,0.28209,-0.83603,-0.47062,4.42
60,577461.337888,0.28489,-0.83596,-0.46904,4.29
61,577461.346637,0.28836,-0.83404,-0.47035,4.24
62,577461.349983,0.29435,-0.82977,-0.47417,4.12
63,577461.353292,0.29488,-0.82991,-0.47361,4.57
64,577461.358563,0.29888,-0.82808,-0.47429,4.17
65,577461.361875,0.30292,-0.82393,-0.47894,4.55
66,577461.379135,0.2995,-0.83083,-0.46907,4.3
67,577461.38108,0.30072,-0.83045,-0.46896,4.69
68,577461.386721,0.2988,-0.83135,-0.4686,4.38
69,577461.389056,0.29903,-0.83419,-0.46336,4.26
70,577461.397385,0.29341,-0.83898,-0.45828,4.32
71,577461.401807,0.29462,-0.84154,-0.45278,4.12
72,577461.404799,0.28793,-0.84337,-0.45368,4.6
73,577461.40968,0.29395,-0.84476,-0.44718,4.26
74,577461.413484,0.29393,-0.84327,-0.44999,3.12
75,577461.422007,0.29493,-0.84981,-0.43686,3.83
76,577461.426304,0.28795,-0.85161,-0.43801,4.65
77,577461.429096,0.29462,-0.84873,-0.43915,3.26
78,577461.434962,0.29229,-0.84845,-0.44124,4.15
79,577461.437105,0.29661,-0.84894,-0.43742,3.62
80,577461.441069,0.30059,-0.84925,-0.43408,3.28
81,577461.449668,0.30332,-0.8488,-0.43306,3.49
82,577461.453849,0.30502,-0.84823,-0.43299,3.2
83,577461.46582,0.31828,-0.84117,-0.43718,3.59
84,577461.474252,0.32503,-0.83557,-0.44291,3.58
85,577461.477633,0.33172,-0.82556,-0.45653,3.19
86,577461.481535,0.33279,-0.82058,-0.46465,3.2
87,577461.487137,0.33341,-0.81547,-0.47312,3.2
88,577461.48948,0.33447,-0.80985,-0.48195,3.27
89,577461.497645,0.32957,-0.80778,-0.48875,3.02
90,577461.501967,0.32695,-0.80497,-0.49511,3.22
91,577461.504848,0.32233,-0.8054,-0.49743,3.23
92,577461.510299,0.31986,-0.80546,-0.49892,3.24
93,577461.513404,0.31464,-0.80819,-0.49783,3.44
94,577461.517973,0.31028,-0.81105,-0.49591,3.4
95,577461.525691,0.30608,-0.81368,-0.49421,3.28
96,577461.528956,0.30133,-0.8179,-0.49014,3.36
