frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
0,605974.291745,54.657,70,-128.762,28.024,74.776,129.267,116.874,147.57,211.53,101.47,175.01,117.45
1,605974.300045,54.284,68,-128.672,27.823,75.176,128.779,117.26,147.71,211.25,102.01,174.33,117.88
2,605974.307826,54.801,72,-128.846,27.972,74.615,129.445,116.925,147.43,211.45,101.23,175.34,117.5
3,605974.31202,54.308,65,-128.631,27.822,75.085,128.695,117.074,147.76,211.26,101.87,174.34,117.65
4,605974.315312,54.858,69,-128.751,27.978,74.496,129.424,116.722,147.59,211.47,101.09,175.21,117.3
5,605974.320606,54.624,65,-128.614,28.02,74.571,128.806,116.769,147.76,211.52,101.2,174.41,117.34
6,605974.324146,54.991,64,-129.145,28.03,74.052,129.076,117.208,147.1,211.57,100.49,174.56,117.8
7,605974.332071,53.765,62,-128.389,27.571,75.865,128.344,117.153,148.06,210.9,102.96,173.82,117.74
8,605974.335828,54.687,70,-128.643,28.025,74.637,129.121,116.763,147.73,211.53,101.28,174.83,117.33
9,605974.339527,54.833,68,-128.771,28.026,74.499,129.346,116.706,147.54,211.52,101.12,175.02,117.28
10,605974.344353,54.863,68,-128.86,27.935,74.571,129.569,116.825,147.44,211.41,101.19,175.42,117.4
11,605974.347633,54.691,64,-128.994,27.683,75.071,129.885,117.157,147.26,211.06,101.87,175.85,117.74
12,605974.352661,54.711,68,-128.793,28.084,74.725,129.349,116.797,147.51,211.57,101.45,175.16,117.42
13,605974.360071,54.387,66,-128.89,27.752,75.324,129.356,117.174,147.41,211.1,102.35,175.11,117.79
14,605974.3635,54.64,68,-128.863,27.91,74.939,129.494,117.093,147.4,211.32,101.75,175.4,117.71
15,605974.367671,54.644,69,-128.805,28.066,74.796,129.256,116.874,147.49,211.57,101.52,174.9,117.45
16,605974.383611,54.3,66,-128.841,27.976,75.271,128.991,117.136,147.46,211.46,102.14,174.66,117.72
17,605974.387342,54.728,72,-128.961,28.112,74.683,129.332,116.986,147.25,211.64,101.33,174.99,117.61
18,605974.390857,55.062,64,-129.402,28.105,74.132,129.445,117.408,146.77,211.66,100.56,175.46,117.93
19,605974.395538,54.633,66,-128.699,28.216,74.714,129.08,116.77,147.59,211.76,101.38,174.75,117.35
20,605974.399525,54.525,65,-128.683,28.267,74.728,128.763,116.789,147.56,211.88,101.24,174.59,117.34
