frame,t,nx,ny,nz,agree_deg
0,607461.838081,0.43001,-0.76734,-0.47568,0.58
1,607461.848292,0.42891,-0.76358,-0.48268,0.9
2,607461.852411,0.42892,-0.76299,-0.48361,1.45
3,607461.854469,0.43143,-0.76698,-0.47499,0.29
4,607461.858091,0.42963,-0.76507,-0.47967,0.74
5,607461.860533,0.42865,-0.76298,-0.48386,1.52
6,607461.866034,0.43156,-0.76657,-0.47553,1.02
7,607461.873523,0.43129,-0.76636,-0.47611,1.02
8,607461.877834,0.42952,-0.76402,-0.48144,0.98
9,607461.881247,0.429,-0.76289,-0.4837,1.44
10,607461.885428,0.4297,-0.76934,-0.47273,0.7
11,607461.888952,0.42985,-0.76941,-0.47247,1.13
12,607461.897632,0.42621,-0.76616,-0.48099,0.62
13,607461.902233,0.43228,-0.76746,-0.47342,0.87
14,607461.904885,0.43033,-0.76829,-0.47386,1.15
15,607461.909144,0.43044,-0.76699,-0.47585,1.16
16,607461.913391,0.43132,-0.76816,-0.47318,1.21
17,607461.921577,0.42787,-0.76933,-0.4744,0.99
18,607461.933067,0.42965,-0.76652,-0.47734,1.29
19,607461.936781,0.42882,-0.76858,-0.47477,0.82
20,607461.945296,0.42992,-0.76681,-0.47663,0.91
21,607461.948881,0.43077,-0.76632,-0.47664,0.69
22,607461.953282,0.4307,-0.7673,-0.47512,0.91
23,607461.957035,0.43347,-0.76655,-0.47381,1.29
24,607461.961452,0.43211,-0.7645,-0.47834,0.99
25,607461.964654,0.43205,-0.76646,-0.47526,0.95
26,607461.973971,0.4314,-0.7615,-0.48374,1.67
27,607461.97807,0.43091,-0.76581,-0.47733,0.79
28,607461.981275,0.42766,-0.76207,-0.48616,1.2
29,607461.985499,0.43023,-0.7636,-0.48148,1.06
30,607461.988179,0.42946,-0.76225,-0.48429,1.14
31,607461.998025,0.42827,-0.76614,-0.47918,0.81
32,607462.001651,0.4298,-0.76188,-0.48458,1.1
33,607462.00598,0.4326,-0.76401,-0.47868,1.09
34,607462.017411,0.43354,-0.76133,-0.48209,1.44
35,607462.026036,0.43044,-0.76376,-0.48103,1.01
36,607462.030151,0.42745,-0.76105,-0.48795,0.6
37,607462.033843,0.43016,-0.75888,-0.48895,1.12
38,607462.037877,0.4304,-0.76433,-0.48016,0.87
39,607462.040647,0.42924,-0.76437,-0.48113,0.89
40,607462.050359,0.42855,-0.76475,-0.48115,0.84
41,607462.053917,0.42942,-0.76487,-0.48018,0.86
42,607462.05754,0.4315,-0.76562,-0.47712,0.86
43,607462.061347,0.42974,-0.76481,-0.47999,1.07
44,607462.064537,0.42755,-0.76558,-0.48072,0.94
45,607462.072992,0.42645,-0.76451,-0.48339,1.09
46,607462.077754,0.43383,-0.7616,-0.48142,1.56
47,607462.081853,0.43421,-0.76774,-0.4712,0.89
48,607462.085663,0.42977,-0.76674,-0.47686,0.7
49,607462.088431,0.42908,-0.76808,-0.47534,0.7
50,607462.093085,0.42569,-0.76897,-0.47694,0.59
51,607462.109821,0.42925,-0.76303,-0.48324,1.51
52,607462.113103,0.42973,-0.76206,-0.48436,1.37
53,607462.116304,0.43224,-0.7623,-0.48173,1.7
54,607462.125384,0.42473,-0.77152,-0.47367,0.28
55,607462.129093,0.43204,-0.76625,-0.47561,1.0
56,607462.132838,0.42834,-0.76391,-0.48267,1.54
57,607462.137081,0.43211,-0.76858,-0.47176,1.17
58,607462.140183,0.4307,-0.76325,-0.48161,1.62
