frame,t,theta_deg,area_px,cx,cy,d1,d2,ang_deg,rcx,rcy,rd1,rd2,rang
0,607461.841618,52.895,67,121.955,22.596,70.076,116.158,65.572,429.36,220.12,91.9,151.92,65.04
1,607461.846318,52.856,68,121.929,22.623,70.024,115.97,65.304,429.33,220.16,91.86,151.48,64.79
2,607461.851866,52.931,68,121.897,22.705,69.96,116.062,65.625,429.29,220.26,91.74,151.8,65.09
3,607461.853929,52.946,70,121.906,22.692,69.983,116.141,65.557,429.38,220.22,91.79,151.67,64.97
4,607461.857727,52.795,68,121.885,22.603,70.193,116.084,65.326,429.24,220.12,92.07,151.87,64.84
5,607461.865025,52.874,68,121.775,22.791,69.974,115.934,65.623,429.15,220.33,91.82,151.45,65.21
6,607461.868737,52.54,71,121.864,22.556,70.367,115.695,65.436,429.22,220.05,92.35,151.29,64.94
7,607461.872841,52.622,70,121.61,22.824,70.117,115.5,65.683,428.88,220.42,91.98,150.97,65.12
8,607461.87702,52.835,65,121.68,22.795,70.007,115.884,65.447,428.9,220.42,91.87,151.36,65.01
9,607461.880913,52.849,69,121.613,22.878,69.911,115.762,65.577,428.85,220.48,91.84,151.03,65.05
10,607461.884836,52.86,69,121.64,22.888,69.891,115.759,65.585,428.99,220.49,91.63,151.52,65.05
11,607461.892954,52.676,64,121.821,22.707,69.973,115.407,65.868,429.19,220.26,91.77,150.95,65.32
12,607461.897454,53.07,65,121.843,22.698,69.941,116.405,65.225,429.2,220.21,91.8,152.32,64.69
13,607461.901557,52.6,71,121.359,23.015,69.95,115.168,65.647,428.53,220.66,91.68,150.59,65.01
14,607461.905325,52.593,75,121.585,22.905,70.099,115.394,65.699,428.85,220.53,91.94,150.85,65.14
15,607461.909755,52.618,75,121.527,22.948,70.0,115.298,65.752,428.78,220.59,91.82,150.71,65.21
16,607461.917378,52.489,73,121.412,22.976,69.996,114.951,65.626,428.63,220.63,91.81,150.27,65.07
17,607461.921386,52.816,72,121.625,22.83,70.071,115.939,65.581,428.94,220.42,91.89,151.65,65.04
18,607461.932711,52.583,74,121.595,22.824,70.138,115.433,65.651,428.82,220.44,91.99,150.91,65.02
19,607461.940882,52.838,69,121.687,22.765,70.041,115.947,65.569,429.04,220.33,91.87,151.56,65.03
20,607461.944775,52.685,71,121.786,22.608,70.251,115.888,65.283,429.19,220.09,92.12,151.64,64.73
21,607461.948482,52.74,72,121.829,22.564,70.266,116.06,65.326,429.2,220.08,92.16,151.78,64.75
