# skew_n, 85746
# skew_median_ms, 0.9072080720216036
# skew_p95_ms, 6.82012498145923
# skew_max_ms, 55.48545904457569
# skew_dropped, 24553
index,t_capture,skew_ms,speed_px_s,incidence_a_deg,incidence_b_deg
0,1054743.6542,0.7845,18.0078,33.5133,44.1268
1,1054745.0583,1.1259,43.0581,42.7225,31.2036
2,1054746.1588,0.5487,20.3417,50.4964,25.4662
3,1054751.8760,0.7302,52.4292,48.5236,43.0544
4,1054753.3592,0.9995,22.9604,38.1080,49.8174
5,1054760.8221,0.7463,61.8124,45.3227,50.4357
6,1054761.8602,1.6666,26.0191,57.7349,38.4999
7,1054771.1060,0.0242,22.2466,21.7917,57.2491
8,1054771.4419,1.0052,17.4365,27.2115,47.6989
9,1054772.9216,0.1120,57.5125,50.1403,34.9400
10,1054777.5726,0.0475,32.5261,44.4306,47.8640
11,1054780.8510,0.8840,56.2176,58.9976,13.1940
12,1054783.2720,0.9301,36.6416,39.9266,47.0570
13,1054789.9561,0.2200,30.9844,42.3886,28.7183
14,1054814.6944,1.5893,19.5245,28.6725,47.9589
15,1054815.4601,0.1283,50.3157,28.4612,54.8561
16,1054824.4442,0.0395,55.2940,21.8261,57.5741
17,1054825.8317,0.0753,41.0299,19.9960,57.1038
