# skew_n, 2098
# skew_median_ms, 5.565667001064867
# skew_p95_ms, 20.29014380386796
# skew_max_ms, 120.10079098399729
# skew_dropped, 1180
index,t_capture
0,183716.710691
1,183716.901974
2,183716.989707
3,183717.070201
4,183717.157543
5,183717.256748
6,183717.357078
7,183717.438622
8,183717.533448
9,183717.613038
10,183717.756383
11,183717.878692
12,183717.968345
13,183718.087894
14,183718.171580
15,183718.436739
16,183718.537043
17,183718.620855
18,183718.720140
19,183718.805636
20,183718.903975
21,183718.997577
22,183719.083466
23,183719.172281
24,183719.276611
25,183719.372472
26,183719.464107
27,183719.572966
28,183719.670538
29,183719.831113
30,183719.996629
31,183720.097762
32,183720.207952
33,183720.300829
34,183720.455637
35,183720.727182
36,183720.805914
37,183720.904814
38,183720.981083
39,183721.051695
40,183721.139419
41,183721.221139
42,183721.308436
43,183721.434371
44,183721.517561
45,183721.594975
46,183721.692953
47,183721.791806
48,183721.893229
49,183722.001884
50,183722.083693
51,183722.181087
52,183722.258832
53,183722.364833
54,183722.469059
55,183722.564702
56,183722.644434
57,183722.765713
58,183722.866476
59,183723.003851
60,183723.082693
61,183723.180552
62,183723.290451
63,183723.386920
64,183723.475007
65,183723.562952
66,183723.642679
67,183723.731525
68,183723.821529
69,183723.906341
70,183724.005569
71,183724.083931
72,183724.172815
73,183724.292535
74,183724.402430
75,183724.525476
76,183724.612357
77,183724.722694
78,183724.806276
79,183725.014119
80,183725.117458
81,183725.219531
82,183725.308550
83,183725.389891
84,183725.499949
85,183725.614698
86,183725.710461
87,183725.795637
88,183725.877842
89,183725.956353
90,183726.034536
91,183726.123840
92,183726.213005
93,183726.294536
94,183726.382203
95,183726.485668
96,183726.657834
97,183726.759393
98,183726.853003
99,183726.966452
100,183727.045853
101,183727.158985
102,183727.245931
103,183727.325013
104,183727.424566
105,183727.604573
106,183727.678073
107,183727.769649
108,183727.852746
109,183727.958146
110,183728.055379
111,183728.142087
112,183728.228366
113,183728.303875
114,183728.413140
115,183728.522815
116,183728.642791
117,183728.732475
118,183728.814999
119,183729.012588
120,183729.108264
121,183729.227407
122,183729.300308
123,183729.413223
124,183729.486119
125,183729.583772
126,183729.679407
127,183729.732548
128,183729.855407
129,183729.943144
130,183730.025680
131,183730.106500
132,183730.190204
133,183730.317916
134,183730.557715
135,183730.644127
136,183730.747199
137,183730.854721
138,183730.953023
139,183731.087827
140,183731.187804
141,183731.291733
142,183731.411468
143,183731.485891
144,183731.579629
145,183731.795772
146,183731.881441
147,183731.972687
148,183732.077648
149,183732.157167
150,183732.258291
151,183732.338000
152,183732.473926
153,183732.557210
154,183732.661086
155,183732.763123
156,183732.868610
157,183732.990322
158,183733.071936
159,183733.166899
160,183733.299975
161,183733.398751
162,183733.489257
163,183733.598695
164,183733.685580
165,183733.991011
166,183734.085174
167,183734.223504
168,183734.307693
169,183734.418239
170,183734.505943
171,183734.620907
172,183734.789016
173,183734.880364
174,183734.988696
175,183735.094919
176,183735.188546
177,183735.337822
178,183735.420817
179,183735.527286
180,183735.622503
181,183735.743695
182,183735.834108
183,183735.936257
184,183736.020732
185,183736.108981
186,183736.211956
187,183736.317611
188,183736.435840
189,183736.533935
190,183736.611325
191,183736.697900
192,183736.932195
193,183737.044661
194,183737.143359
195,183737.236925
196,183737.339607
197,183737.427223
198,183737.525183
199,183737.612012
200,183737.692343
201,183737.782279
202,183737.877188
203,183737.974966
204,183738.054825
205,183738.161365
206,183738.264723
207,183738.357380
208,183738.469999
209,183738.545256
210,183738.635751
211,183738.715830
212,183738.788618
213,183738.890325
214,183738.988181
215,183739.086806
216,183739.194557
217,183739.315022
218,183739.414217
219,183739.758981
220,183739.852570
221,183739.932556
222,183740.036750
223,183740.126214
224,183740.418955
225,183740.501858
